Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,-,,,,,,,-,,,-,-,
26/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
25/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
24/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
23/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,-,,,,,,,-,,,-,-,
20/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
19/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
18/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
17/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
16/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,-,,,,,,,-,,,-,-,
13/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,-,,,,,,,-,,,-,-,
12/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,-,,,,,,,-,,,-,-,
11/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
10/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,-,,,,,,,-,,,-,-,
09/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,-,,,,,,,-,,,-,-,
06/09/2024,1860000,1760000,24500,26900,22100,-,,43,24500,24500,24500,24500,-,24500,24500,,,-,-,,,,,,,-,,,-,-,
