Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,15000000,15000000,28000,30800,25200,70,2.0,420,28000,28000,28000,28000,-,28000,28000,,,400,740,6730,7330,70.0,2.0,17,10,7,6800,7400,-600,-,
26/09/2024,15000000,15000000,28000,30800,25200,2200,62.0,420,28000,28000,28000,28000,-,28000,28000,,,513,709,5500,5600,2200.0,62.0,15,11,4,7700,7800,-100,-,
25/09/2024,15000000,15000000,27700,30400,25000,15500,437.0,420,28000,28000,28600,28000,600,28194,28000,300.0,1.08,930,720,12400,9700,15500.0,437.0,30,35,-5,27900,25200,2700,-,
24/09/2024,15000000,15000000,28000,30800,25200,1700,47.0,416,27500,27700,27700,27500,200,27624,27700,-300.0,-1.07,555,781,9400,14700,1700.0,47.0,20,21,-1,11100,16400,-5300,-,
23/09/2024,15000000,15000000,28000,30800,25200,4000,112.0,420,28000,28000,28000,28000,-,28000,28000,,,276,670,6500,11400,4000.0,112.0,38,23,15,10500,15400,-4900,-,
20/09/2024,15000000,15000000,28000,30800,25200,6800,190.0,420,27900,28000,28000,27900,100,27997,28000,,,430,726,13000,7000,6800.0,190.0,46,19,27,19800,13800,6000,-,
19/09/2024,15000000,15000000,27500,30200,24800,900,25.0,420,27100,28000,28000,27000,1000,27233,28000,500.0,1.82,434,540,22100,7200,900.0,25.0,53,15,38,23000,8100,14900,-,
18/09/2024,15000000,15000000,27500,30200,24800,5805,160.0,413,27500,27500,27600,27500,100,27562,27500,,,508,557,6395,1995,5805.0,160.0,24,14,10,12200,7800,4400,-,
17/09/2024,15000000,15000000,27000,29700,24300,5200,142.0,413,27000,27500,27500,27000,500,27190,27500,500.0,1.85,559,655,23300,2000,5200.0,142.0,51,11,40,28500,7200,21300,-,
16/09/2024,15000000,15000000,27300,30000,24600,9622,264.0,405,27500,27000,27600,27000,600,27389,27000,-300.0,-1.1,407,621,2178,5278,9622.0,264.0,29,24,5,11800,14900,-3100,-,
13/09/2024,15000000,15000000,27000,29700,24300,3723,102.0,410,27200,27300,27300,27200,100,27286,27300,300.0,1.11,256,754,9077,6077,3723.0,102.0,50,13,37,12800,9800,3000,-,
12/09/2024,15000000,15000000,27000,29700,24300,4100,111.0,405,27000,27000,27000,26900,100,26997,27000,,,216,591,9100,8900,4100.0,111.0,61,22,39,13200,13000,200,-,
11/09/2024,15000000,15000000,26900,29500,24300,2210,60.0,405,26900,27000,27000,26900,100,26984,27000,100.0,0.37,263,433,4090,5590,2210.0,60.0,24,18,6,6300,7800,-1500,-,
10/09/2024,15000000,15000000,27000,29700,24300,500,13.0,404,27000,26900,27000,26900,100,26960,26900,-100.0,-0.37,192,581,9100,8800,500.0,13.0,50,16,34,9600,9300,300,-,
09/09/2024,15000000,15000000,27000,29700,24300,101,3.0,405,27000,27000,27000,27000,-,27000,27000,,,148,650,6099,7699,101.0,3.0,42,12,30,6200,7800,-1600,-,
06/09/2024,15000000,15000000,27000,29700,24300,4000,108.0,405,27000,27000,27000,27000,-,27000,27000,,,323,682,11500,7600,4000.0,108.0,48,17,31,15500,11600,3900,-,
05/09/2024,15000000,15000000,26900,29500,24300,3201,86.0,405,27000,27000,27000,26900,100,26973,27000,100.0,0.37,304,767,13199,10599,3201.0,86.0,54,18,36,16400,13800,2600,-,
04/09/2024,15000000,15000000,27600,30300,24900,1600,44.0,404,27600,26900,27600,26900,700,27200,26900,-700.0,-2.54,392,741,8200,11000,1600.0,44.0,25,17,8,9800,12600,-2800,-,
