Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,45407161,45407161,3100,3500,2700,5106,16,141,3100,3100,3100,3100,-,3100,3100,,,1041,3100,22994,94094.0,5106,16,27,32,-5,28100,99200,-71100,-,
26/09/2024,45407161,45407161,3100,3500,2700,16913,53,141,3100,3100,3200,3100,100,3108,3100,,,1141,2281,27587,78887.0,16913,53,39,42,-3,44500,95800,-51300,-,
25/09/2024,45407161,45407161,3200,3600,2800,3058,10,145,3300,3200,3300,3100,200,3120,3200,,,1252,2421,38242,98642.0,3058,10,33,42,-9,41300,101700,-60400,-,
24/09/2024,45407161,45407161,3200,3600,2800,1255,4,145,3200,3200,3200,3200,-,3200,3200,,,538,2378,7345,93845.0,1255,4,16,40,-24,8600,95100,-86500,-,
23/09/2024,45407161,45407161,3100,3500,2700,387507,1086,145,3100,3200,3300,3100,200,3220,3200,100.0,3.23,1432,1974,13093,84193.0,75707,244,62,81,-19,88800,159900,-71100,311800,842.0
20/09/2024,45407161,45407161,3000,3400,2600,23159,72,141,3000,3100,3300,3000,300,3101,3100,100.0,3.33,1148,1245,22741,54041.0,23159,72,40,62,-22,45900,77200,-31300,-,
19/09/2024,45407161,45407161,3000,3400,2600,4746,14,136,3000,3000,3100,3000,100,3002,3000,,,1266,2353,31954,79954.0,4746,14,29,36,-7,36700,84700,-48000,-,
18/09/2024,45407161,45407161,2900,3300,2500,25908,77,136,2900,3000,3000,2900,100,2975,3000,100.0,3.45,1102,2763,25892,48692.0,25908,77,47,27,20,51800,74600,-22800,-,
17/09/2024,45407161,45407161,3000,3400,2600,7897,23,132,2900,2900,3000,2900,100,2901,2900,-100.0,-3.33,1322,1886,22503,58103.0,7897,23,23,35,-12,30400,66000,-35600,-,
16/09/2024,45407161,45407161,3000,3400,2600,7800,23,136,3000,3000,3100,3000,100,3003,3000,,,814,2237,15000,70500.0,7800,23,28,35,-7,22800,78300,-55500,-,
13/09/2024,45407161,45407161,3000,3400,2600,3000,9,141,3000,3100,3100,2900,200,2957,3100,100.0,3.33,552,1950,9700,51600.0,3000,9,23,28,-5,12700,54600,-41900,-,
12/09/2024,45407161,45407161,3000,3400,2600,12604,38,141,3000,3100,3100,2900,200,2997,3100,100.0,3.33,789,1629,22896,49296.0,12604,38,45,38,7,35500,61900,-26400,-,
11/09/2024,45407161,45407161,3000,3400,2600,4588,14,136,3000,3000,3000,3000,-,3000,3000,,,1254,2168,25512,77812.0,4588,14,24,38,-14,30100,82400,-52300,-,
10/09/2024,45407161,45407161,2900,3300,2500,4200,13,136,3000,3000,3000,3000,-,3000,3000,100.0,3.45,626,1506,20200,42500.0,4200,13,39,31,8,24400,46700,-22300,-,
09/09/2024,45407161,45407161,3000,3400,2600,4800,14,132,3000,2900,3000,2900,100,2940,2900,-100.0,-3.33,477,1512,10000,57200.0,4800,14,31,41,-10,14800,62000,-47200,-,
06/09/2024,45407161,45407161,3100,3500,2700,7207,22,136,3000,3000,3100,3000,100,3003,3000,-100.0,-3.23,618,2014,16893,77393.0,7207,22,39,42,-3,24100,84600,-60500,-,
05/09/2024,45407161,45407161,3000,3400,2600,3305,10,136,3000,3000,3100,3000,100,3070,3000,,,681,1251,17795,47995.0,3305,10,31,41,-10,21100,51300,-30200,-,
04/09/2024,45407161,45407161,3000,3400,2600,10200,31,136,3000,3000,3100,3000,100,3001,3000,,,681,1550,15000,64200.0,10200,31,37,48,-11,25200,74400,-49200,-,
30/08/2024,45407161,45407161,3100,3500,2700,13800,42,136,3100,3000,3100,3000,100,3022,3000,-100.0,-3.23,1054,706,25200,20100.0,13800,42,37,48,-11,39000,33900,5100,-,
29/08/2024,45407161,45407161,3000,3400,2600,3420,11,141,3100,3100,3200,3000,200,3100,3100,100.0,3.33,680,1037,20380,61880.0,3420,11,35,63,-28,23800,65300,-41500,-,
28/08/2024,45407161,45407161,3100,3500,2700,13511,41,141,3200,3100,3200,3000,200,3012,3100,,,841,3249,15089,100189.0,13511,41,34,35,-1,28600,113700,-85100,-,
27/08/2024,45407161,45407161,3100,3500,2700,16200,50,145,3200,3200,3200,3000,200,3096,3200,100.0,3.23,774,1395,17100,39600.0,16200,50,43,40,3,33300,55800,-22500,-,
26/08/2024,45407161,45407161,3200,3600,2800,10502,33,141,3100,3100,3200,3100,100,3101,3100,-100.0,-3.13,1650,1636,45598,66398.0,10502,33,34,47,-13,56100,76900,-20800,-,
23/08/2024,45407161,45407161,3200,3600,2800,811,3,145,3200,3200,3200,3100,100,3150,3200,,,916,1867,22089,60789.0,811,3,25,33,-8,22900,61600,-38700,-,
22/08/2024,45407161,45407161,3100,3500,2700,4212,13,141,3100,3100,3200,3100,100,3176,3100,,,646,1850,19688,73488.0,4212,13,37,42,-5,23900,77700,-53800,-,
21/08/2024,45407161,45407161,3100,3500,2700,1301,4,141,3200,3100,3200,3100,100,3108,3100,,,825,1655,25099,61599.0,1301,4,32,38,-6,26400,62900,-36500,-,
20/08/2024,45407161,45407161,3000,3400,2600,8954,28,141,3200,3100,3200,3100,100,3101,3100,100.0,3.33,1160,1253,46746,31146.0,8954,28,48,32,16,55700,40100,15600,-,
19/08/2024,45407161,45407161,3100,3500,2700,18702,57,141,3500,3100,3500,3000,500,3029,3100,,,848,2102,23698,77998.0,18702,57,50,46,4,42400,96700,-54300,-,
16/08/2024,45407161,45407161,3000,3400,2600,18230,57,141,3000,3100,3200,3000,200,3131,3100,100.0,3.33,893,2111,19270,59870.0,18230,57,42,37,5,37500,78100,-40600,-,
15/08/2024,45407161,45407161,3100,3500,2700,10250,31,145,3100,3200,3200,3000,200,3024,3200,100.0,3.23,1692,1492,33750,44950.0,10250,31,26,37,-11,44000,55200,-11200,-,
14/08/2024,45407161,45407161,3100,3500,2700,6942,22,145,3100,3200,3200,3100,100,3101,3200,100.0,3.23,784,2351,12658,84758.0,6942,22,25,39,-14,19600,91700,-72100,-,
13/08/2024,45407161,45407161,3100,3500,2700,4438,14,145,3100,3200,3200,3100,100,3107,3200,100.0,3.23,2074,2381,34962,83662.0,4438,14,19,37,-18,39400,88100,-48700,-,
12/08/2024,45407161,45407161,3100,3500,2700,20972,65,141,3100,3100,3100,3100,-,3100,3100,,,1203,2219,21128,47828.0,20972,65,35,31,4,42100,68800,-26700,-,
09/08/2024,45407161,45407161,3200,3600,2800,24005,75,141,3200,3100,3200,3100,100,3105,3100,-100.0,-3.13,1365,1977,41495,53095.0,24005,75,48,39,9,65500,77100,-11600,-,
