Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3780298,3780298,25100,28800,21400,-,,95,25100,25100,25100,25100,-,25100,25100,,,-,2500,,2500.0,,,,1.0,-1,,2500.0,-2500,-,
26/09/2024,3780298,3780298,25100,28800,21400,104000,2600.0,95,25100,25100,25100,25100,-,25100,25100,,,-,-,,,,,,,-,,,-,104000,2600.0
25/09/2024,3780298,3780298,22500,25800,19200,566100,14153.0,95,25100,25100,25100,25100,-,25100,25100,2600.0,11.56,100,100,,,100.0,3.0,1.0,1.0,-,100.0,100.0,-,566000,14150.0
24/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
23/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
20/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
19/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
18/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
17/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
16/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
13/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
12/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
11/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
10/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
09/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,,,-,,,-,-,
06/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
05/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,2500,,2500.0,,,,1.0,-1,,2500.0,-2500,-,
04/09/2024,3780298,3780298,22500,25800,19200,-,,85,22500,22500,22500,22500,-,22500,22500,,,-,-,,,,,1.0,,1,,,-,-,
30/08/2024,3780298,3780298,26000,29900,22100,100,2.0,85,22500,22500,22500,22500,-,22500,22500,-3500.0,-13.46,100,100,100.0,100.0,100.0,2.0,2.0,2.0,-,200.0,200.0,-,-,
29/08/2024,3780298,3780298,28000,32200,23800,100,3.0,98,26000,26000,26000,26000,-,26000,26000,-2000.0,-7.14,100,350,100.0,600.0,100.0,3.0,2.0,2.0,-,200.0,700.0,-500,-,
28/08/2024,3780298,3780298,30800,35400,26200,100,3.0,106,28000,28000,28000,28000,-,28000,28000,-2800.0,-9.09,100,100,,,100.0,3.0,1.0,1.0,-,100.0,100.0,-,-,
27/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,350,,700.0,,,,2.0,-2,,700.0,-700,-,
26/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
23/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
22/08/2024,3780298,3780298,30800,35400,26200,1,0.0,116,30800,31500,30800,30800,-,30800,30800,700.0,2.27,-,350,,699.0,1.0,0.0,,2.0,-2,,700.0,-700,-,
21/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
20/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
19/08/2024,3780298,3780298,30800,35400,26200,1,0.0,116,30800,31500,30800,30800,-,30800,30800,700.0,2.27,-,600,,599.0,1.0,0.0,,1.0,-1,,600.0,-600,-,
16/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
15/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,350,,700.0,,,,2.0,-2,,700.0,-700,-,
14/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
13/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
12/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
09/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
08/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
07/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
06/08/2024,3780298,3780298,30800,35400,26200,-,,116,30800,30800,30800,30800,-,30800,30800,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
05/08/2024,3780298,3780298,30000,34500,25500,200,6.0,119,30000,31500,31500,30000,1500,30750,31500,1500.0,5.0,100,120,,400.0,200.0,6.0,2.0,5.0,-3,200.0,600.0,-400,-,
02/08/2024,3780298,3780298,30000,34500,25500,-,,113,30000,30000,30000,30000,-,30000,30000,,,-,200,,400.0,,,,2.0,-2,,400.0,-400,-,
01/08/2024,3780298,3780298,30000,34500,25500,-,,113,30000,30000,30000,30000,-,30000,30000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
31/07/2024,3780298,3780298,30000,34500,25500,-,,113,30000,30000,30000,30000,-,30000,30000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
30/07/2024,3780298,3780298,30000,34500,25500,-,,113,30000,30000,30000,30000,-,30000,30000,,,-,300,,600.0,,,,2.0,-2,,600.0,-600,-,
29/07/2024,3780298,3780298,30000,34500,25500,-,,113,30000,30000,30000,30000,-,30000,30000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
26/07/2024,3780298,3780298,30000,34500,25500,-,,113,30000,30000,30000,30000,-,30000,30000,,,-,150,,300.0,,,,2.0,-2,,300.0,-300,-,
25/07/2024,3780298,3780298,30000,34500,25500,-,,113,30000,30000,30000,30000,-,30000,30000,,,-,150,,300.0,,,,2.0,-2,,300.0,-300,-,
24/07/2024,3780298,3780298,30000,34500,25500,-,,113,30000,30000,30000,30000,-,30000,30000,,,-,100,,200.0,,,,2.0,-2,,200.0,-200,-,
