Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,704248289,704248289,12250,13100,11400,18238800,232830,8627,12400,12250,12450,12150,300,12292,12300,,,5990,5114,547600.0,439000.0,6038800,74230,2079.0,3113.0,-1034,12452700.0,15921300.0,-3468600,12200000,158600.0
26/09/2024,704248289,704248289,12250,13100,11400,13189000,168374,8627,12200,12250,12300,12100,200,12186,12300,,,4286,5147,299500.0,381200.0,3789000,46174,2093.0,2187.0,-94,8970400.0,11257000.0,-2286600,9400000,122200.0
25/09/2024,704248289,704248289,11550,12350,10750,12543300,150958,8627,11600,12250,12350,11550,800,12035,12300,700.0,6.06,7093,4179,437200.0,2168600.0,12543300,150958,4125.0,4956.0,-831,29257100.0,20712000.0,8545100,-,
24/09/2024,704248289,704248289,11550,12350,10750,3238700,37129,8134,11550,11550,11550,11350,200,11464,11600,,,4203,7462,516300.0,453600.0,3238700,37129,1509.0,1044.0,465,6342000.0,7790600.0,-1448600,-,
23/09/2024,704248289,704248289,11500,12300,10700,3001200,34476,8134,11600,11550,11650,11400,250,11487,11600,50.0,0.43,3828,6295,199000.0,217100.0,3001200,34476,1397.0,1194.0,203,5348300.0,7516100.0,-2167800,-,
20/09/2024,704248289,704248289,11550,12350,10750,15424800,178371,8099,11650,11500,11850,11500,350,11564,11500,-50.0,-0.43,10940,12374,3040600.0,245400.0,15424800,178371,2948.0,2369.0,579,32251100.0,29314800.0,2936300,-,
19/09/2024,704248289,704248289,11550,12350,10750,1653000,19040,8134,11550,11550,11600,11450,150,11518,11600,,,3653,3898,281500.0,768500.0,1653000,19040,1354.0,1099.0,255,4945500.0,4284000.0,661500,-,
18/09/2024,704248289,704248289,11450,12250,10650,2019600,23200,8134,11500,11550,11550,11350,200,11487,11600,100.0,0.87,6640,3962,497600.0,557000.0,2019600,23200,1462.0,1225.0,237,9707500.0,4853800.0,4853700,-,
17/09/2024,704248289,704248289,11350,12100,10600,2008600,22809,8064,11300,11450,11450,11250,200,11356,11500,100.0,0.88,2966,4882,333900.0,163800.0,2008600,22809,1385.0,984.0,401,4108000.0,4804100.0,-696100,-,
16/09/2024,704248289,704248289,11600,12400,10800,2318600,26527,7993,11600,11350,11600,11300,300,11441,11400,-250.0,-2.16,3487,4301,379800.0,100300.0,2318600,26527,1441.0,1241.0,200,5024200.0,5337900.0,-313700,-,
13/09/2024,704248289,704248289,11450,12250,10650,2937100,32600,8169,11450,11600,11600,11450,150,11533,11600,150.0,1.31,4031,3631,437500.0,285700.0,1495000,17242,1017.0,895.0,122,4099300.0,3249800.0,849500,1442100,15358.0
