Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,45099969,45099969,3280,3500,3060,125700,411,148,3290,3280,3290,3270,20,3270,3300,,,2029,4272,23600,11800,125700,411,96.0,50.0,46,194800.0,213600.0,-18800,-,
26/09/2024,45099969,45099969,3330,3560,3100,46000,151,148,3200,3280,3330,3200,130,3283,3300,-50.0,-1.5,1045,2500,12100,13400,46000,151,87.0,61.0,26,90900.0,152500.0,-61600,-,
25/09/2024,45099969,45099969,3300,3530,3070,36700,121,150,3310,3330,3330,3300,30,3297,3300,30.0,0.91,1435,3145,19600,1300,36700,121,48.0,56.0,-8,68900.0,176100.0,-107200,-,
24/09/2024,45099969,45099969,3280,3500,3060,26800,88,149,3290,3300,3310,3290,20,3284,3300,20.0,0.61,1615,2030,28500,10900,26800,88,46.0,50.0,-4,74300.0,101500.0,-27200,-,
23/09/2024,45099969,45099969,3320,3550,3090,49500,163,148,3310,3280,3320,3280,40,3293,3300,-40.0,-1.2,1403,2318,30500,21300,49500,163,74.0,71.0,3,103800.0,164600.0,-60800,-,
20/09/2024,45099969,45099969,3370,3600,3140,9200,30,150,3370,3320,3370,3310,60,3261,3300,-50.0,-1.48,836,1959,17900,8900,9200,30,44.0,63.0,-19,36800.0,123400.0,-86600,-,
19/09/2024,45099969,45099969,3320,3550,3090,50700,167,152,3310,3370,3370,3310,60,3294,3400,50.0,1.51,1889,2961,18100,6400,50700,167,65.0,51.0,14,122800.0,151000.0,-28200,-,
18/09/2024,45099969,45099969,3390,3620,3160,5000,16,150,3320,3320,3380,3300,80,3200,3300,-70.0,-2.06,714,2139,10500,12300,5000,16,50.0,54.0,-4,35700.0,115500.0,-79800,-,
17/09/2024,45099969,45099969,3310,3540,3080,8900,29,153,3310,3390,3390,3300,90,3258,3400,80.0,2.42,1077,1417,12200,15100,8900,29,44.0,29.0,15,47400.0,41100.0,6300,-,
16/09/2024,45099969,45099969,3300,3530,3070,14800,48,149,3300,3310,3350,3300,50,3243,3300,10.0,0.3,884,1844,4400,21500,14800,48,51.0,39.0,12,45100.0,71900.0,-26800,-,
