Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,29450000,29450000,8500,9700,7300,3,0.0,250,8500,8500,8500,8500,-,8500,8500,,,483,327,2897.0,8497.0,3.0,0.0,6,26,-20,2900.0,8500,-5600,-,
26/09/2024,29450000,29450000,8500,9700,7300,1,0.0,250,8500,8500,8500,8500,-,8500,8500,,,650,383,3899.0,8799.0,1.0,0.0,6,23,-17,3900.0,8800,-4900,-,
25/09/2024,29450000,29450000,8400,9600,7200,370,3.0,250,8600,8500,8600,8500,100,8533,8500,100.0,1.19,767,309,6530.0,10130.0,370.0,3.0,9,34,-25,6900.0,10500,-3600,-,
24/09/2024,29450000,29450000,7600,8700,6500,600,5.0,241,7600,8200,8700,7600,1100,8433,8200,600.0,7.89,2830,421,56000.0,13300.0,600.0,5.0,20,33,-13,56600.0,13900,42700,-,
23/09/2024,29450000,29450000,8400,9600,7200,9600,73.0,247,8600,8400,8600,7200,1400,7646,8400,,,1453,920,12200.0,13400.0,9600.0,73.0,15,25,-10,21800.0,23000,-1200,-,
20/09/2024,29450000,29450000,7900,9000,6800,700,6.0,262,8200,8900,8900,8200,700,8443,8900,1000.0,12.66,1583,177,18300.0,3200.0,700.0,6.0,12,22,-10,19000.0,3900,15100,-,
19/09/2024,29450000,29450000,7900,9000,6800,11401,90.0,244,8300,8300,8300,7300,1000,7920,8300,400.0,5.06,1157,1231,4799.0,8299.0,11401.0,90.0,14,16,-2,16200.0,19700,-3500,-,
18/09/2024,29450000,29450000,8300,9500,7100,300,2.0,244,7100,8300,8300,7100,1200,7900,8300,,,856,1111,7400.0,9700.0,300.0,2.0,9,9,-,7700.0,10000,-2300,-,
17/09/2024,29450000,29450000,8300,9500,7100,-,,244,8300,8300,8300,8300,-,8300,8300,,,600,1017,1800.0,12200.0,,,3,12,-9,1800.0,12200,-10400,-,
16/09/2024,29450000,29450000,8300,9500,7100,-,,244,8300,8300,8300,8300,-,8300,8300,,,350,1140,700.0,11400.0,,,2,10,-8,700.0,11400,-10700,-,
13/09/2024,29450000,29450000,8300,9500,7100,34,0.0,244,8300,8100,8300,8300,-,8300,8300,-200.0,-2.41,200,425,166.0,3366.0,34.0,0.0,1,8,-7,200.0,3400,-3200,-,
12/09/2024,29450000,29450000,8400,9600,7200,601,5.0,239,8400,8100,8400,8100,300,8250,8100,-300.0,-3.57,320,700,999.0,9899.0,601.0,5.0,5,15,-10,1600.0,10500,-8900,-,
11/09/2024,29450000,29450000,8400,9600,7200,-,,247,8400,8400,8400,8400,-,8400,8400,,,-,478,,12900.0,,,1,27,-26,,12900,-12900,-,
10/09/2024,29450000,29450000,7500,8600,6400,200,2.0,250,8200,8500,8500,8200,300,8350,8500,1000.0,13.33,733,1250,6400.0,9800.0,200.0,2.0,9,8,1,6600.0,10000,-3400,-,
09/09/2024,29450000,29450000,8500,9700,7300,100,1.0,221,7500,7500,7500,7500,-,7500,7500,-1000.0,-11.76,367,991,1000.0,10800.0,100.0,1.0,3,11,-8,1100.0,10900,-9800,-,
06/09/2024,29450000,29450000,8500,9700,7300,100,1.0,250,8500,8500,8500,8500,-,8500,8500,,,100,616,100.0,19600.0,100.0,1.0,2,32,-30,200.0,19700,-19500,-,
05/09/2024,29450000,29450000,7500,8600,6400,1300,11.0,250,8500,8500,8500,8500,-,8500,8500,1000.0,13.33,540,485,4100.0,11300.0,1300.0,11.0,10,26,-16,5400.0,12600,-7200,-,
04/09/2024,29450000,29450000,7500,8600,6400,1700,13.0,250,6900,8500,8500,6900,1600,7459,8500,1000.0,13.33,520,933,3500.0,6700.0,1700.0,13.0,10,9,1,5200.0,8400,-3200,-,
30/08/2024,29450000,29450000,7100,8100,6100,5000,37.0,236,7100,8000,8000,7000,1000,7466,8000,900.0,12.68,889,838,3000.0,1700.0,5000.0,37.0,9,8,1,8000.0,6700,1300,-,
