Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,-,,,,,,,-,,,-,-,
26/09/2024,14676300,14676300,11000,12600,9400,100,1.0,161,11000,11000,11000,11000,-,11000,11000,,,100,100,100.0,,100.0,1.0,2.0,1.0,1,200.0,100.0,100,-,
25/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
24/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,450,,900.0,,,,2.0,-2,,900.0,-900,-,
23/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,300,,600.0,,,,2.0,-2,,600.0,-600,-,
20/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,833,,2500.0,,,,3.0,-3,,2500.0,-2500,-,
19/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,250,,500.0,,,,2.0,-2,,500.0,-500,-,
18/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,800,,1600.0,,,,2.0,-2,,1600.0,-1600,-,
17/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,1050,,2100.0,,,,2.0,-2,,2100.0,-2100,-,
16/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,867,,5200.0,,,,6.0,-6,,5200.0,-5200,-,
13/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,886,,6200.0,,,,7.0,-7,,6200.0,-6200,-,
12/09/2024,14676300,14676300,11000,12600,9400,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,557,,3900.0,,,,7.0,-7,,3900.0,-3900,-,
11/09/2024,14676300,14676300,11000,15400,6600,100,1.0,161,11000,11000,11000,11000,-,11000,11000,,,100,360,,1700.0,100.0,1.0,1.0,5.0,-4,100.0,1800.0,-1700,-,
10/09/2024,14676300,14676300,11000,15400,6600,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,-,,,,,,,-,,,-,-,
09/09/2024,14676300,14676300,11000,15400,6600,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,-,,,,,,,-,,,-,-,
06/09/2024,14676300,14676300,11000,15400,6600,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,-,,,,,,,-,,,-,-,
05/09/2024,14676300,14676300,11000,15400,6600,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,-,,,,,,,-,,,-,-,
04/09/2024,14676300,14676300,11000,15400,6600,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,-,,,,,,,-,,,-,-,
30/08/2024,14676300,14676300,11000,15400,6600,-,,161,11000,11000,11000,11000,-,11000,11000,,,-,-,,,,,,,-,,,-,-,
