Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,64245281,64245281,6340,6780,5900,255500,1607,405,6340,6300,6350,6260,90,6290,6300,-40.0,-0.63,1153,2599,18900.0,19100.0,255500,1607,347.0,262.0,85,400000.0,680900.0,-280900,-,
26/09/2024,64245281,64245281,6330,6770,5890,213900,1351,407,6400,6340,6400,6280,120,6316,6300,10.0,0.16,1242,2125,4400.0,16900.0,213900,1351,358.0,324.0,34,444800.0,688400.0,-243600,-,
25/09/2024,64245281,64245281,6330,6770,5890,717100,4514,407,6330,6330,6400,6200,200,6295,6300,,,2444,3002,7500.0,25500.0,717100,4514,623.0,462.0,161,1522400.0,1386900.0,135500,-,
24/09/2024,64245281,64245281,6350,6790,5910,174600,1098,407,6340,6330,6350,6260,90,6289,6300,-20.0,-0.31,1246,3066,8300.0,35300.0,174600,1098,325.0,217.0,108,405100.0,665400.0,-260300,-,
23/09/2024,64245281,64245281,6380,6820,5940,288000,1818,408,6430,6350,6430,6280,150,6313,6400,-30.0,-0.47,1440,2638,3100.0,23100.0,288000,1818,315.0,288.0,27,453600.0,759700.0,-306100,-,
20/09/2024,64245281,64245281,6430,6880,5980,862800,5471,410,6440,6380,6440,6290,150,6341,6400,-50.0,-0.78,2164,4864,86400.0,24100.0,862800,5471,630.0,329.0,301,1363300.0,1600300.0,-237000,-,
19/09/2024,64245281,64245281,6450,6900,6000,488400,3112,413,6460,6430,6460,6340,120,6372,6400,-20.0,-0.31,2170,4380,47200.0,105200.0,488400,3112,456.0,202.0,254,989400.0,884700.0,104700,-,
18/09/2024,64245281,64245281,6400,6840,5960,755600,4838,414,6440,6450,6450,6370,80,6403,6500,50.0,0.78,3472,4997,26100.0,59400.0,755600,4838,326.0,235.0,91,1132000.0,1174400.0,-42400,-,
17/09/2024,64245281,64245281,6380,6820,5940,197000,1257,411,6430,6400,6430,6350,80,6381,6400,20.0,0.31,2408,3657,3500.0,97100.0,197000,1257,161.0,201.0,-40,387700.0,735100.0,-347400,-,
16/09/2024,64245281,64245281,6400,6840,5960,105200,672,410,6400,6380,6490,6360,130,6388,6400,-20.0,-0.31,1594,3250,28600.0,57500.0,105200,672,155.0,205.0,-50,247100.0,666300.0,-419200,-,
13/09/2024,64245281,64245281,6450,6900,6000,115400,738,411,6460,6400,6460,6380,80,6395,6400,-50.0,-0.78,1740,2266,22400.0,61500.0,115400,738,147.0,183.0,-36,255800.0,414700.0,-158900,-,
12/09/2024,64245281,64245281,6380,6820,5940,179700,1157,414,6400,6450,6470,6360,110,6439,6500,70.0,1.1,2135,2114,8100.0,69700.0,179700,1157,146.0,235.0,-89,311700.0,496900.0,-185200,-,
11/09/2024,64245281,64245281,6400,6840,5960,209700,1345,410,6400,6380,6490,6360,130,6414,6400,-20.0,-0.31,2724,1905,36500.0,14300.0,209700,1345,178.0,288.0,-110,484800.0,548600.0,-63800,-,
