Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,656,-,5900.0,,,,9.0,,9,5900.0,,5900,-,
26/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,667,-,6000.0,,,,9.0,,9,6000.0,,6000,-,
25/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,738,-,5900.0,,,,8.0,,8,5900.0,,5900,-,
24/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,656,-,5900.0,,,,9.0,,9,5900.0,,5900,-,
23/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,433,-,3900.0,,,,9.0,,9,3900.0,,3900,-,
20/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,725,-,5800.0,,,,8.0,,8,5800.0,,5800,-,
19/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,1060,-,5300.0,,,,5.0,,5,5300.0,,5300,-,
18/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,475,-,3800.0,,,,8.0,,8,3800.0,,3800,-,
17/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,725,-,5800.0,,,,8.0,,8,5800.0,,5800,-,
16/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,814,-,5700.0,,,,7.0,,7,5700.0,,5700,-,
13/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,825,-,6600.0,,,,8.0,,8,6600.0,,6600,-,
12/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,825,-,6600.0,,,,8.0,,8,6600.0,,6600,-,
11/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,943,-,6600.0,,,,7.0,,7,6600.0,,6600,-,
10/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,1067,-,6400.0,,,,6.0,,6,6400.0,,6400,-,
09/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,943,-,6600.0,,,,7.0,,7,6600.0,,6600,-,
06/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,514,-,3600.0,,,,7.0,,7,3600.0,,3600,-,
05/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,943,-,6600.0,,,,7.0,,7,6600.0,,6600,-,
04/09/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,450,-,3600.0,,,,8.0,,8,3600.0,,3600,-,
30/08/2024,11700000,11700000,4100,5700,2500,-,,48,4100,4100,4100,4100,-,4100,4100,,,758,-,9100.0,,,,12.0,,12,9100.0,,9100,-,
29/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,600,-,6600.0,,,,11.0,,11,6600.0,,6600,-,
28/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,609,-,6700.0,,,,11.0,,11,6700.0,,6700,-,
27/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,591,-,6500.0,,,,11.0,,11,6500.0,,6500,-,
26/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,678,-,6100.0,,,,9.0,,9,6100.0,,6100,-,
23/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,533,-,6400.0,,,,12.0,,12,6400.0,,6400,-,
22/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,531,-,6900.0,,,,13.0,,13,6900.0,,6900,-,
21/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,507,-,7100.0,,,,14.0,,14,7100.0,,7100,-,
20/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,492,-,6400.0,,,,13.0,,13,6400.0,,6400,-,
19/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,500,-,6500.0,,,,13.0,,13,6500.0,,6500,-,
16/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,533,-,6400.0,,,,12.0,,12,6400.0,,6400,-,
15/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,485,-,6300.0,,,,13.0,,13,6300.0,,6300,-,
14/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,620,-,6200.0,,,,10.0,,10,6200.0,,6200,-,
13/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,555,-,6100.0,,,,11.0,,11,6100.0,,6100,-,
12/08/2024,11700000,11700000,4100,4700,3500,1,0.0,48,4100,4100,4100,4100,-,4100,4100,,,533,-,6399.0,,1.0,0.0,12.0,,12,6400.0,,6400,-,
09/08/2024,11700000,11700000,4100,4700,3500,-,,48,4100,4100,4100,4100,-,4100,4100,,,500,-,6500.0,,,,13.0,,13,6500.0,,6500,-,
