Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
26/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
25/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
24/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
23/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
20/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
19/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
18/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
17/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
16/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
13/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
12/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
11/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
10/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
09/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
06/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,1.0,,1,,,-,-,
05/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
04/09/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
30/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
29/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
28/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
27/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
26/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
23/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,500,-,500.0,,,,1.0,,1,500.0,,500,-,
22/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
21/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
20/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
19/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
16/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
15/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
14/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
13/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
12/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
09/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
08/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
07/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
06/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
05/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
02/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
01/08/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
31/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
30/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
29/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
26/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
25/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
24/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
23/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
22/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
19/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
18/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
17/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
16/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
15/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
12/07/2024,3943710,3937790,3700,5100,2300,-,,15,3700,3700,3700,3700,-,3700,3700,,,-,-,,,,,,,-,,,-,-,
