Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,103745067,103745067,7100,8100,6100,137900,976,737,7100,7100,7200,7000,200,7074,7100,,,1601,2699,118300,488200,137900,976,160,232,-72,256200,626100,-369900,-,
26/09/2024,103745067,103745067,7100,8100,6100,271426,1933,737,7100,7100,7300,7000,300,7122,7100,,,1999,3080,206274,677274,271426,1933,239,308,-69,477700,948700,-471000,-,
25/09/2024,103745067,103745067,7100,8100,6100,79095,563,747,7200,7200,7200,7100,100,7120,7200,100.0,1.41,1789,2528,148105,497205,79095,563,127,228,-101,227200,576300,-349100,-,
24/09/2024,103745067,103745067,7000,8000,6000,246728,1743,747,7000,7200,7200,7000,200,7064,7200,200.0,2.86,4606,3357,812572,468372,246728,1743,230,213,17,1059300,715100,344200,-,
23/09/2024,103745067,103745067,7000,8000,6000,76050,531,737,7000,7100,7100,6900,200,6986,7100,100.0,1.43,2330,2484,278150,321350,76050,531,152,160,-8,354200,397400,-43200,-,
20/09/2024,103745067,103745067,7000,8000,6000,345179,2416,726,7100,7000,7100,6900,200,7000,7000,,,5440,4600,421821,432221,345179,2416,141,169,-28,767000,777400,-10400,-,
19/09/2024,103745067,103745067,7000,8000,6000,62738,439,737,6900,7100,7100,6900,200,6989,7100,100.0,1.43,2654,2768,300862,335862,62738,439,137,144,-7,363600,398600,-35000,-,
18/09/2024,103745067,103745067,7000,8000,6000,76938,538,726,7100,7000,7100,6900,200,6996,7000,,,3868,2506,441362,366562,76938,538,134,177,-43,518300,443500,74800,-,
17/09/2024,103745067,103745067,6900,7900,5900,63060,438,726,6900,7000,7000,6900,100,6951,7000,100.0,1.45,5407,2889,504640,376040,63060,438,105,152,-47,567700,439100,128600,-,
16/09/2024,103745067,103745067,7000,8000,6000,125762,871,726,7000,7000,7000,6900,100,6927,7000,,,5246,3149,482738,330838,125762,871,116,145,-29,608500,456600,151900,-,
13/09/2024,103745067,103745067,6900,7900,5900,143294,1000,726,6900,7000,7100,6900,200,6975,7000,100.0,1.45,7773,2299,602906,245306,143294,1000,96,169,-73,746200,388600,357600,-,
12/09/2024,103745067,103745067,6900,7900,5900,85189,588,726,7000,7000,7000,6900,100,6907,7000,100.0,1.45,3034,2728,321411,348511,85189,588,134,159,-25,406600,433700,-27100,-,
11/09/2024,103745067,103745067,7000,8000,6000,146859,1014,726,7000,7000,7100,6900,200,6904,7000,,,2373,2383,194841,241541,146859,1014,144,163,-19,341700,388400,-46700,-,
10/09/2024,103745067,103745067,7000,8000,6000,106823,744,726,7000,7000,7100,6900,200,6964,7000,,,2484,2840,228577,375977,106823,744,135,170,-35,335400,482800,-147400,-,
09/09/2024,103745067,103745067,7000,8000,6000,180312,1265,726,7000,7000,7200,6900,300,7017,7000,,,2213,3184,218088,278188,180312,1265,180,144,36,398400,458500,-60100,-,
