Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,2296739847,2342672919,74000,79100,68900,561000,41414,172186,74200,73500,74300,73500,800,73799,73500,-500.0,-0.68,646,1614,70500,35900,536000,39556,1368.0,1096.0,272,883200.0,1768900.0,-885700,25000,1858.0
26/09/2024,2296739847,2342672919,73800,78900,68700,1109842,82443,173358,73800,74000,74600,73800,800,74284,74000,200.0,0.27,781,1394,24900,37700,1109800,82440,1945.0,1816.0,129,1518700.0,2532400.0,-1013700,42,3.0
25/09/2024,2296739847,2342672919,73700,78800,68600,665024,49037,172889,74000,73800,74000,73500,500,73737,73800,100.0,0.14,940,1381,123900,173800,665000,49035,1348.0,1228.0,120,1267300.0,1696100.0,-428800,24,2.0
24/09/2024,2296739847,2296739847,73000,78100,67900,853121,62782,169270,73000,73700,73900,73000,900,73590,73700,700.0,0.96,1286,1468,44800,54500,853100,62780,1394.0,1392.0,2,1792400.0,2042900.0,-250500,21,2.0
23/09/2024,2296739847,2296739847,73100,78200,68000,552300,40379,167662,73100,73000,73300,72900,400,73111,73000,-100.0,-0.14,825,1489,84800,66900,552300,40379,1395.0,943.0,452,1150600.0,1403700.0,-253100,-,
20/09/2024,2296739847,2296739847,73400,78500,68300,998513,73188,167892,73600,73100,73800,73000,800,73297,73100,-300.0,-0.41,843,1631,131800,37200,998500,73187,2168.0,1247.0,921,1827800.0,2034400.0,-206600,13,1.0
19/09/2024,2296739847,2296739847,73100,78200,68000,980660,71759,168581,73200,73400,73400,72900,500,73175,73400,300.0,0.41,1067,1394,900,167600,980600,71755,1744.0,1469.0,275,1860800.0,2047500.0,-186700,60,4.0
18/09/2024,2296739847,2296739847,72700,77700,67700,777623,56917,167892,73300,73100,73500,72900,600,73193,73100,400.0,0.55,741,1337,34000,58800,777600,56915,1867.0,1291.0,576,1382800.0,1726500.0,-343700,23,2.0
17/09/2024,2296739847,2296739847,72600,77600,67600,764124,55471,166973,72600,72700,73200,72300,900,72594,72700,100.0,0.14,780,1058,69100,5400,764100,55469,2305.0,1256.0,1049,1799000.0,1329100.0,469900,24,2.0
16/09/2024,2296739847,2296739847,74300,79500,69100,1863238,136190,166743,74000,72600,74000,72600,1400,73093,72600,-1700.0,-2.29,773,2076,117900,15300,1863200,136187,3904.0,1883.0,2021,3017500.0,3910000.0,-892500,38,3.0
13/09/2024,2296739847,2296739847,76100,81400,70800,2093200,156254,170648,76100,74300,76100,74200,1900,74648,74300,-1800.0,-2.37,805,2142,122700,51900,2093200,156254,4616.0,2085.0,2531,3715100.0,4466500.0,-751400,-,
12/09/2024,2296739847,2296739847,83600,89400,77800,1759054,147312,192007,83800,83600,84200,83400,800,83745,76100,,,853,1713,149000,118800,1759000,147307,3249.0,2483.0,766,2771300.0,4253300.0,-1482000,54,5.0
11/09/2024,2296739847,2296739847,84100,89900,78300,1490267,124511,192007,84000,83600,84000,83000,1000,83549,76100,-500.0,-0.59,956,1608,41500,16300,1490200,124505,3122.0,2059.0,1063,2985000.0,3311500.0,-326500,67,6.0
