Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
26/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
25/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
24/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
23/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
20/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
19/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
18/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
17/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,2600,,2600.0,,,,1.0,-1,,2600.0,-2600,-,
16/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
13/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
12/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,300.0,,,,3.0,-3,,300.0,-300,-,
11/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
10/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,2933,,8800.0,,,,3.0,-3,,8800.0,-8800,-,
09/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,2933,,8800.0,,,,3.0,-3,,8800.0,-8800,-,
06/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
05/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
04/09/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
30/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,7800,,7800.0,,,,1.0,-1,,7800.0,-7800,-,
29/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
28/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
27/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
26/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
23/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
22/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
21/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
20/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
19/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
16/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
15/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
14/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,500,-,500.0,,,,1.0,,1,500.0,,500,-,
13/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,5000,,5000.0,,,,1.0,-1,,5000.0,-5000,-,
12/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,900,,900.0,,,,1.0,-1,,900.0,-900,-,
09/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,1000,900,1000.0,900.0,,,1.0,1.0,-,1000.0,900.0,100,-,
08/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,900,,900.0,,,,1.0,-1,,900.0,-900,-,
07/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,900,,900.0,,,,1.0,-1,,900.0,-900,-,
06/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,900,,900.0,,,,1.0,-1,,900.0,-900,-,
05/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
02/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
01/08/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
31/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
30/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
29/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
26/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,2600,,2600.0,,,,1.0,-1,,2600.0,-2600,-,
25/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
24/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
23/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
22/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
19/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
18/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
17/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,550,,1100.0,,,,2.0,-2,,1100.0,-1100,-,
16/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
15/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1100,,1100.0,,,,1.0,-1,,1100.0,-1100,-,
12/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1100,,1100.0,,,,1.0,-1,,1100.0,-1100,-,
11/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
10/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
09/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
08/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,5050,,10100.0,,,,2.0,-2,,10100.0,-10100,-,
05/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1100,,2200.0,,,,2.0,-2,,2200.0,-2200,-,
04/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,600,,1200.0,,,,2.0,-2,,1200.0,-1200,-,
03/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
02/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
01/07/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
28/06/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
27/06/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
26/06/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,900,,900.0,,,,1.0,-1,,900.0,-900,-,
25/06/2024,4039147,4039147,18000,20700,15300,100,2.0,73,18000,18000,18000,18000,-,18000,18000,,,100,500,,900.0,100.0,2.0,1.0,2.0,-1,100.0,1000.0,-900,-,
24/06/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1050,,2100.0,,,,2.0,-2,,2100.0,-2100,-,
21/06/2024,4039147,4039147,18000,20700,15300,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1100,,1100.0,,,,1.0,-1,,1100.0,-1100,-,
20/06/2024,4039147,4039147,18000,25200,10800,100,2.0,73,18000,18000,18000,18000,-,18000,18000,,,1000,100,900.0,,100.0,2.0,1.0,1.0,-,1000.0,100.0,900,-,
19/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
18/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
17/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,100.0,,,1.0,1.0,-,,100.0,-100,-,
14/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,500,100,1000.0,100.0,,,2.0,1.0,1,1000.0,100.0,900,-,
13/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,1.0,,1,,,-,-,
12/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,550,,1100.0,,,4.0,2.0,2,,1100.0,-1100,-,
11/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,1.0,,1,,,-,-,
10/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,2600,2600,2600.0,2600.0,,,1.0,1.0,-,2600.0,2600.0,-,-,
07/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
06/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
05/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1000,,1000.0,,,,1.0,-1,,1000.0,-1000,-,
04/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,10000,,10000.0,,,,1.0,-1,,10000.0,-10000,-,
03/06/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1500,,3000.0,,,,2.0,-2,,3000.0,-3000,-,
31/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
30/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
29/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,1.0,-1,,,-,-,
28/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
27/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
24/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
23/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
22/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,3000,,3000.0,,,,1.0,-1,,3000.0,-3000,-,
21/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
20/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
17/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,2.0,-2,,,-,-,
16/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,967,,2900.0,,,,3.0,-3,,2900.0,-2900,-,
15/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,900,,900.0,,,,1.0,-1,,900.0,-900,-,
14/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
13/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,2600,,2600.0,,,,1.0,-1,,2600.0,-2600,-,
10/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,500,,1000.0,,,,2.0,-2,,1000.0,-1000,-,
09/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,500,,1000.0,,,,2.0,-2,,1000.0,-1000,-,
08/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1500,,4500.0,,,,3.0,-3,,4500.0,-4500,-,
07/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1900,,1900.0,,,,1.0,-1,,1900.0,-1900,-,
06/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
03/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1000,,2000.0,,,,2.0,-2,,2000.0,-2000,-,
02/05/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
26/04/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,1000,,1000.0,,,,1.0,-1,,1000.0,-1000,-,
25/04/2024,4039147,4039147,18000,25200,10800,-,,73,18000,18000,18000,18000,-,18000,18000,,,-,-,,,,,,,-,,,-,-,
