Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,47662500,47662500,29800,34200,25400,10400,310,1416,29800,29700,29900,29700,200,29775,29700,-100.0,-0.34,819,966,19100,17600,10400,310,36,29,7,29500,28000,1500,-,
26/09/2024,47662500,47662500,29800,34200,25400,4432,132,1420,29900,29800,29900,29800,100,29825,29800,,,483,1258,12468,25768,4432,132,35,24,11,16900,30200,-13300,-,
25/09/2024,47662500,47662500,29600,34000,25200,6777,202,1416,29700,29700,29900,29700,200,29776,29700,100.0,0.34,671,996,23423,17123,6777,202,45,24,21,30200,23900,6300,-,
24/09/2024,47662500,47662500,29700,34100,25300,3585,106,1416,29600,29700,29700,29600,100,29634,29700,,,958,990,28015,17215,3585,106,33,21,12,31600,20800,10800,-,
23/09/2024,47662500,47662500,29700,34100,25300,5247,156,1416,29700,29700,29800,29600,200,29713,29700,,,522,1063,16153,20253,5247,156,41,24,17,21400,25500,-4100,-,
20/09/2024,47662500,47662500,29700,34100,25300,6050,180,1420,29700,29800,29800,29600,200,29737,29800,100.0,0.34,612,776,19650,7150,6050,180,42,17,25,25700,13200,12500,-,
19/09/2024,47662500,47662500,29800,34200,25400,8126,242,1411,29700,29600,29800,29600,200,29740,29600,-200.0,-0.67,982,1122,30174,17674,8126,242,39,23,16,38300,25800,12500,-,
18/09/2024,47662500,47662500,29800,34200,25400,1300,39,1420,29900,29800,29900,29800,100,29808,29800,,,664,852,20600,18300,1300,39,33,23,10,21900,19600,2300,-,
17/09/2024,47662500,47662500,29700,34100,25300,1700,51,1416,30000,29700,30000,29700,300,29771,29700,,,541,819,16700,11400,1700,51,34,16,18,18400,13100,5300,-,
16/09/2024,47662500,47662500,29800,34200,25400,13649,406,1416,29800,29700,29800,29600,200,29730,29700,-100.0,-0.34,823,1725,25851,13951,13649,406,48,16,32,39500,27600,11900,-,
13/09/2024,47662500,47662500,29900,34300,25500,503,15,1425,29800,29900,29900,29800,100,29820,29900,,,659,913,20597,14097,503,15,32,16,16,21100,14600,6500,-,
12/09/2024,47662500,47662500,29900,34300,25500,20501,613,1416,29800,29700,30000,29700,300,29882,29700,-200.0,-0.67,869,1824,23799,17799,20501,613,51,21,30,44300,38300,6000,-,
11/09/2024,47662500,47662500,29900,34300,25500,5201,155,1425,29900,29900,29900,29800,100,29879,29900,,,1025,1020,23499,15199,5201,155,28,20,8,28700,20400,8300,-,
10/09/2024,47662500,47662500,29900,34300,25500,6100,182,1420,29900,29800,29900,29800,100,29884,29800,-100.0,-0.33,962,1046,21800,7500,6100,182,29,13,16,27900,13600,14300,-,
09/09/2024,47662500,47662500,29900,34300,25500,14200,424,1425,29900,29900,29900,29800,100,29879,29900,,,1587,916,33400,14200,14200,424,30,31,-1,47600,28400,19200,-,
06/09/2024,47662500,47662500,30000,34500,25500,4644,123,1425,29900,29900,29900,29900,-,29900,29900,-100.0,-0.33,1620,2071,31356,27956,1044,31,20,14,6,32400,29000,3400,3600,92.0
