Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12120000,12120000,14500,15900,13100,1700,24.0,175,14000,14400,14500,14000,500,14206,14400,-100.0,-0.69,465,1095,7600.0,20200,1700.0,24.0,20.0,20,-,9300.0,21900,-12600,-,
26/09/2024,12120000,12120000,14600,16000,13200,4500,65.0,176,14600,14500,14600,14300,300,14496,14500,-100.0,-0.68,736,1278,13900.0,24900,4500.0,65.0,25.0,23,2,18400.0,29400,-11000,-,
25/09/2024,12120000,12120000,14200,15600,12800,300,4.0,177,14600,14600,14600,14300,300,14500,14600,400.0,2.82,989,1794,17500.0,28400,300.0,4.0,18.0,16,2,17800.0,28700,-10900,-,
24/09/2024,12120000,12120000,14300,15700,12900,17800,252.0,172,14200,14200,14300,14100,200,14163,14200,-100.0,-0.7,818,1176,9200.0,16300,17800.0,252.0,33.0,29,4,27000.0,34100,-7100,-,
23/09/2024,12120000,12120000,14500,15900,13100,2400,34.0,173,14200,14300,14300,14100,200,14243,14300,-200.0,-1.38,707,1246,7500.0,27500,2400.0,34.0,14.0,24,-10,9900.0,29900,-20000,-,
20/09/2024,12120000,12120000,14700,16100,13300,800,11.0,176,14200,14500,14500,14000,500,14213,14500,-200.0,-1.36,527,1374,7100.0,25300,800.0,11.0,15.0,19,-4,7900.0,26100,-18200,-,
19/09/2024,12120000,12120000,14600,16000,13200,100,1.0,178,14700,14700,14700,14700,-,14700,14700,100.0,0.68,569,1593,7300.0,23800,100.0,1.0,13.0,15,-2,7400.0,23900,-16500,-,
18/09/2024,12120000,12120000,14600,16000,13200,4800,70.0,177,14000,14600,14600,14000,600,14492,14600,,,876,1489,10100.0,22000,4800.0,70.0,17.0,18,-1,14900.0,26800,-11900,-,
17/09/2024,12120000,12120000,14500,15900,13100,7000,101.0,177,13900,14600,14600,13900,700,14379,14600,100.0,0.69,577,1329,5700.0,30200,7000.0,101.0,22.0,28,-6,12700.0,37200,-24500,-,
16/09/2024,12120000,12120000,14600,16000,13200,400,6.0,176,14000,14500,14500,14000,500,14350,14500,-100.0,-0.68,618,1188,6400.0,28100,400.0,6.0,11.0,24,-13,6800.0,28500,-21700,-,
13/09/2024,12120000,12120000,14500,15900,13100,1700,25.0,177,14600,14600,14600,14600,-,14600,14600,100.0,0.69,760,1133,5900.0,15300,1700.0,25.0,10.0,15,-5,7600.0,17000,-9400,-,
12/09/2024,12120000,12120000,14500,15900,13100,2502,36.0,176,14500,14500,14500,14500,-,14500,14500,,,1370,1442,11198.0,14798,2502.0,36.0,10.0,12,-2,13700.0,17300,-3600,-,
11/09/2024,12120000,12120000,14500,15900,13100,500,7.0,176,14500,14500,14500,14500,-,14500,14500,,,679,1227,9000.0,13000,500.0,7.0,14.0,11,3,9500.0,13500,-4000,-,
10/09/2024,12120000,12120000,14500,15900,13100,100,1.0,176,14500,14500,14500,14500,-,14500,14500,,,531,1815,6800.0,23500,100.0,1.0,13.0,13,-,6900.0,23600,-16700,-,
09/09/2024,12120000,12120000,14500,15900,13100,3200,46.0,176,14500,14500,14500,14200,300,14369,14500,,,540,1056,7600.0,13700,3200.0,46.0,20.0,16,4,10800.0,16900,-6100,-,
06/09/2024,12120000,12120000,14400,15800,13000,2900,41.0,176,14500,14500,14500,14000,500,14228,14500,100.0,0.69,383,900,4000.0,14200,2900.0,41.0,18.0,19,-1,6900.0,17100,-10200,-,
05/09/2024,12120000,12120000,14500,15900,13100,5701,80.0,175,14000,14400,14400,14000,400,14032,14400,-100.0,-0.69,719,1879,5799.0,29999,5701.0,80.0,16.0,19,-3,11500.0,35700,-24200,-,
04/09/2024,12120000,12120000,14600,16000,13200,1200,17.0,176,14500,14500,14500,14300,200,14333,14500,-100.0,-0.68,718,2213,6700.0,34200,1200.0,17.0,11.0,16,-5,7900.0,35400,-27500,-,
30/08/2024,12120000,12120000,14500,15900,13100,400,6.0,177,14600,14600,14600,14600,-,14600,14600,100.0,0.69,636,1120,6600.0,16400,400.0,6.0,11.0,15,-4,7000.0,16800,-9800,-,
29/08/2024,12120000,12120000,14600,16000,13200,1400,20.0,176,14700,14500,14700,14400,300,14480,14500,-100.0,-0.68,675,1427,9400.0,35700,1400.0,20.0,16.0,26,-10,10800.0,37100,-26300,-,
