Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,9040697,9034451,18200,20000,16400,4700,87.0,168,18200,18600,18600,18200,400,18570,18600,400.0,2.2,523,1346,11000,12800,4700.0,87.0,30,13,17,15700,17500,-1800,-,
26/09/2024,9040697,9034451,18500,20300,16700,2400,44.0,164,18200,18200,18300,18200,100,18242,18200,-300.0,-1.62,690,900,12100,6600,2400.0,44.0,21,10,11,14500,9000,5500,-,
25/09/2024,9040697,9034451,18500,20300,16700,6300,114.0,167,18200,18500,18500,18100,400,18173,18500,,,863,1064,10100,5400,6300.0,114.0,19,11,8,16400,11700,4700,-,
24/09/2024,9040697,9034451,18500,20300,16700,-,,167,18500,18500,18500,18500,-,18500,18500,,,838,1357,10900,9500,,,13,7,6,10900,9500,1400,-,
23/09/2024,9040697,9034451,18500,20300,16700,7504,138.0,167,18100,18500,18500,18100,400,18420,18500,,,1347,1614,15396,3796,7504.0,138.0,17,7,10,22900,11300,11600,-,
20/09/2024,9040697,9034451,18900,20700,17100,500,9.0,167,18500,18500,18500,18500,-,18500,18500,-400.0,-2.12,729,1050,9700,14200,500.0,9.0,14,14,-,10200,14700,-4500,-,
19/09/2024,9040697,9034451,18900,20700,17100,13,0.0,171,18900,18900,18900,18900,-,18900,18900,,,709,2273,7787,24987,13.0,0.0,11,11,-,7800,25000,-17200,-,
18/09/2024,9040697,9034451,18700,20500,16900,1500,28.0,171,18000,18900,18900,18000,900,18560,18900,200.0,1.07,1121,480,19800,3300,1500.0,28.0,19,10,9,21300,4800,16500,-,
17/09/2024,9040697,9034451,18700,20500,16900,2200,41.0,169,18800,18700,18900,18700,200,18859,18700,,,400,1100,2600,9900,2200.0,41.0,12,11,1,4800,12100,-7300,-,
16/09/2024,9040697,9034451,18900,20700,17100,200,4.0,169,18700,18700,18700,18700,-,18700,18700,-200.0,-1.06,245,1314,2500,9000,200.0,4.0,11,7,4,2700,9200,-6500,-,
13/09/2024,9040697,9034451,18900,20700,17100,-,,171,18900,18900,18900,18900,-,18900,18900,,,233,1317,2100,7900,,,9,6,3,2100,7900,-5800,-,
12/09/2024,9040697,9034451,18900,20700,17100,-,,171,18900,18900,18900,18900,-,18900,18900,,,400,1833,4000,22000,,,10,12,-2,4000,22000,-18000,-,
11/09/2024,9040697,9034451,18900,20700,17100,-,,171,18900,18900,18900,18900,-,18900,18900,,,320,1423,3200,18500,,,10,13,-3,3200,18500,-15300,-,
10/09/2024,9040697,9034451,18900,20700,17100,-,,171,18900,18900,18900,18900,-,18900,18900,,,263,530,2100,5300,,,8,10,-2,2100,5300,-3200,-,
09/09/2024,9040697,9034451,18900,20700,17100,-,,171,18900,18900,18900,18900,-,18900,18900,,,286,573,2000,6300,,,7,11,-4,2000,6300,-4300,-,
06/09/2024,9040697,9034451,18900,20700,17100,-,,171,18900,18900,18900,18900,-,18900,18900,,,227,830,2500,8300,,,11,10,1,2500,8300,-5800,-,
05/09/2024,9040697,9034451,18900,20700,17100,-,,171,18900,18900,18900,18900,-,18900,18900,,,244,667,2200,6000,,,9,9,-,2200,6000,-3800,-,
04/09/2024,9040697,9034451,18900,20700,17100,5,0.0,171,18900,18900,18900,18900,-,18900,18900,,,263,583,2095,3495,5.0,0.0,8,6,2,2100,3500,-1400,-,
30/08/2024,9040697,9034451,18900,20700,17100,26,0.0,171,18900,18900,18900,18900,-,18900,18900,,,336,800,3674,7974,26.0,0.0,11,10,1,3700,8000,-4300,-,
29/08/2024,9040697,9034451,18600,20400,16800,1000,19.0,171,18800,18900,18900,18800,100,18840,18900,300.0,1.61,223,590,1900,4900,1000.0,19.0,13,10,3,2900,5900,-3000,-,
28/08/2024,9040697,9034451,18600,20400,16800,-,,168,18600,18600,18600,18600,-,18600,18600,,,208,1067,2500,9600,,,12,9,3,2500,9600,-7100,-,
27/08/2024,9040697,9034451,18600,20400,16800,1100,20.0,168,18600,18600,18600,18600,-,18600,18600,,,314,1860,3300,17500,1100.0,20.0,14,10,4,4400,18600,-14200,-,
26/08/2024,9040697,9034451,18600,20400,16800,-,,168,18600,18600,18600,18600,-,18600,18600,,,308,1273,4000,19100,,,13,15,-2,4000,19100,-15100,-,
23/08/2024,9040697,9034451,18700,20500,16900,1300,24.0,168,18800,18600,18900,18600,300,18715,18600,-100.0,-0.53,336,920,3400,12500,1300.0,24.0,14,15,-1,4700,13800,-9100,-,
22/08/2024,9040697,9034451,18900,20700,17100,500,9.0,169,18800,18700,18800,18700,100,18800,18700,-200.0,-1.06,293,871,3900,11700,500.0,9.0,15,14,1,4400,12200,-7800,-,
21/08/2024,9040697,9034451,18900,20700,17100,20,0.0,171,18900,18900,18900,18900,-,18900,18900,,,327,689,3580,6180,20.0,0.0,11,9,2,3600,6200,-2600,-,
20/08/2024,9040697,9034451,18900,20700,17100,28,1.0,171,18900,18900,18900,18900,-,18900,18900,,,500,582,5972,6372,28.0,1.0,12,11,1,6000,6400,-400,-,
19/08/2024,9040697,9034451,18900,20700,17100,-,,171,18900,18900,18900,18900,-,18900,18900,,,278,760,2500,11400,,,9,15,-6,2500,11400,-8900,-,
16/08/2024,9040697,9034451,18600,20400,16800,2800,52.0,171,18600,18900,18900,18600,300,18711,18900,300.0,1.61,720,663,4400,7800,2800.0,52.0,10,16,-6,7200,10600,-3400,-,
15/08/2024,9040697,9034451,18600,20400,16800,7,0.0,168,18600,18600,18600,18600,-,18600,18600,,,613,369,4893,4793,7.0,0.0,8,13,-5,4900,4800,100,-,
14/08/2024,9040697,9034451,18600,20400,16800,-,,168,18600,18600,18600,18600,-,18600,18600,,,638,560,5100,5600,,,8,10,-2,5100,5600,-500,-,
13/08/2024,9040697,9034451,18600,20400,16800,801,15.0,168,18600,18600,18600,18600,-,18600,18600,,,359,550,5299,5799,801.0,15.0,17,12,5,6100,6600,-500,-,
12/08/2024,9040697,9034451,18600,20400,16800,-,,168,18600,18600,18600,18600,-,18600,18600,,,450,355,3600,3900,,,8,11,-3,3600,3900,-300,-,
09/08/2024,9040697,9034451,18600,20400,16800,610,11.0,168,18600,18600,18600,18600,-,18600,18600,,,415,675,4790,4790,610.0,11.0,13,8,5,5400,5400,-,-,
08/08/2024,9040697,9034451,18700,20500,16900,868,16.0,168,18500,18600,18600,18500,100,18563,18600,-100.0,-0.53,500,590,6632,5032,868.0,16.0,15,10,5,7500,5900,1600,-,
07/08/2024,9040697,9034451,18700,20500,16900,100,2.0,169,18700,18700,18700,18700,-,18700,18700,,,462,867,5900,10300,100.0,2.0,13,12,1,6000,10400,-4400,-,
06/08/2024,9040697,9034451,18800,20600,17000,800,15.0,169,18700,18700,18700,18500,200,18550,18700,-100.0,-0.53,562,911,6500,7400,800.0,15.0,13,9,4,7300,8200,-900,-,
05/08/2024,9040697,9034451,18300,20100,16500,1800,33.0,170,18300,18800,18800,18300,500,18328,18800,500.0,2.73,372,625,4900,3200,1800.0,33.0,18,8,10,6700,5000,1700,-,
02/08/2024,9040697,9034451,18700,20500,16900,400,7.0,165,18200,18300,18300,18200,100,18275,18300,-400.0,-2.14,462,867,5600,10000,400.0,7.0,13,12,1,6000,10400,-4400,-,
01/08/2024,9040697,9034451,18700,20500,16900,2900,54.0,169,18600,18700,18700,18600,100,18610,18700,,,914,1107,9900,12600,2900.0,54.0,14,14,-,12800,15500,-2700,-,
31/07/2024,9040697,9034451,18800,20600,17000,8601,159.0,169,18600,18700,18700,18000,700,18520,18700,-100.0,-0.53,1007,932,19599,14699,8601.0,159.0,28,25,3,28200,23300,4900,-,
30/07/2024,9040697,9034451,18800,20600,17000,-,,170,18800,18800,18800,18800,-,18800,18800,,,945,1692,10400,20300,,,11,12,-1,10400,20300,-9900,-,
29/07/2024,9040697,9034451,18500,20300,16700,5816,109.0,170,18500,18800,18800,18500,300,18731,18800,300.0,1.62,988,707,10984,4784,5816.0,109.0,17,15,2,16800,10600,6200,-,
