Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,41594000,41594000,5500,6300,4700,175098,943.0,225,5500,5400,5600,5300,300,5384,5400,-100.0,-1.82,1615,3456,185102.0,467702.0,175098.0,943.0,223.0,186.0,37,360200.0,642800.0,-282600,-,
26/09/2024,41594000,41594000,5700,6500,4900,382220,2064.0,229,5700,5500,5800,5300,500,5458,5500,-200.0,-3.51,1909,3100,253380.0,538180.0,342220.0,1868.0,312.0,284.0,28,595600.0,880400.0,-284800,40000,196.0
25/09/2024,41594000,41594000,5500,6300,4700,364609,2075.0,237,5700,5700,5900,5600,300,5691,5700,200.0,3.64,2744,3516,255491.0,549591.0,364609.0,2075.0,226.0,260.0,-34,620100.0,914200.0,-294100,-,
24/09/2024,41594000,41594000,5100,5800,4400,991520,5439.0,237,5200,5700,5700,5200,500,5485,5700,600.0,11.76,3774,3633,952080.0,178380.0,991520.0,5439.0,515.0,322.0,193,1943600.0,1169900.0,773700,-,
23/09/2024,41594000,41594000,5200,5900,4500,217610,1108.0,216,5200,5200,5300,5000,300,5092,5200,,,3345,4629,371190.0,263790.0,217610.0,1108.0,176.0,104.0,72,588800.0,481400.0,107400,-,
20/09/2024,41594000,41594000,5300,6000,4600,261397,1363.0,216,5300,5200,5300,5100,200,5215,5200,-100.0,-1.89,3809,4995,428003.0,482903.0,261397.0,1363.0,181.0,149.0,32,689400.0,744300.0,-54900,-,
19/09/2024,41594000,41594000,5500,6300,4700,164805,876.0,220,5500,5300,5500,5200,300,5315,5300,-200.0,-3.64,4428,3539,552595.0,546595.0,164805.0,876.0,162.0,201.0,-39,717400.0,711400.0,6000,-,
18/09/2024,41594000,41594000,5000,5700,4300,566611,3098.0,220,5100,5300,5700,5100,600,5467,5300,300.0,6.0,5118,3418,717889.0,267489.0,566611.0,3098.0,251.0,244.0,7,1284500.0,834100.0,450400,-,
17/09/2024,41594000,41594000,5000,5700,4300,66501,332.0,208,5000,5000,5000,4900,100,4994,5000,,,3652,2996,342499.0,182199.0,66501.0,332.0,112.0,83.0,29,409000.0,248700.0,160300,-,
16/09/2024,41594000,41594000,4900,5600,4200,112160,557.0,208,5000,5000,5100,4900,200,4967,5000,100.0,2.04,3654,3035,370140.0,179240.0,112160.0,557.0,132.0,96.0,36,482300.0,291400.0,190900,-,
13/09/2024,41594000,41594000,4900,5600,4200,131459,643.0,204,5000,4900,5000,4800,200,4892,4900,,,6342,3253,705741.0,200341.0,131459.0,643.0,132.0,102.0,30,837200.0,331800.0,505400,-,
12/09/2024,41594000,41594000,4900,5600,4200,114521,560.0,200,5000,4800,5000,4800,200,4889,4800,-100.0,-2.04,3739,3832,446379.0,176679.0,114521.0,560.0,150.0,76.0,74,560900.0,291200.0,269700,-,
11/09/2024,41594000,41594000,5000,5700,4300,40702,201.0,208,5000,5000,5000,4900,100,4946,5000,,,5019,2268,335698.0,152098.0,40702.0,201.0,75.0,85.0,-10,376400.0,192800.0,183600,-,
