Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,28562000,28562000,21400,24600,18200,400,9.0,611,21900,21400,21900,21400,500,21525,21400,,,377,900,4500.0,11300,400.0,9.0,13.0,13,-,4900.0,11700,-6800,-,
26/09/2024,28562000,28562000,21400,24600,18200,-,,611,21400,21400,21400,21400,-,21400,21400,,,500,600,5500.0,3600,,,11.0,6,5,5500.0,3600,1900,-,
25/09/2024,28562000,28562000,21400,24600,18200,2009,43.0,614,21400,21500,21500,21100,400,21360,21500,100.0,0.47,453,559,5691.0,7491,2009.0,43.0,17.0,17,-,7700.0,9500,-1800,-,
24/09/2024,28562000,28562000,22200,25500,18900,4600,98.0,611,22900,21400,22900,21200,1700,21389,21400,-800.0,-3.6,425,657,7300.0,10500,4600.0,98.0,28.0,23,5,11900.0,15100,-3200,-,
23/09/2024,28562000,28562000,22200,25500,18900,-,,634,22200,22200,22200,22200,-,22200,22200,,,520,700,5200.0,5600,,,10.0,8,2,5200.0,5600,-400,-,
20/09/2024,28562000,28562000,22200,25500,18900,3,0.0,634,22200,22300,22200,22200,-,22200,22200,100.0,0.45,417,606,4997.0,9697,3.0,0.0,12.0,16,-4,5000.0,9700,-4700,-,
19/09/2024,28562000,28562000,22400,25700,19100,2600,58.0,637,21100,22300,22300,21100,1200,22231,22300,-100.0,-0.45,517,882,3600.0,12400,2600.0,58.0,12.0,17,-5,6200.0,15000,-8800,-,
18/09/2024,28562000,28562000,22400,25700,19100,-,,640,22400,22400,22400,22400,-,22400,22400,,,400,638,2800.0,10200,,,7.0,16,-9,2800.0,10200,-7400,-,
17/09/2024,28562000,28562000,22900,26300,19500,3700,83.0,628,22600,22000,22600,22000,600,22381,22000,-900.0,-3.93,400,673,3100.0,11100,3700.0,83.0,17.0,22,-5,6800.0,14800,-8000,-,
