Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,29181096,29176390,13000,14900,11100,10382,120.0,379,11200,13000,13000,11100,1900,11517,13000,,,608,1510,4818.0,21318.0,10382.0,120.0,25.0,21,4,15200.0,31700,-16500,-,
26/09/2024,29181096,29176390,13000,14900,11100,39,0.0,379,13000,13000,13000,13000,-,13000,13000,,,650,1455,1261.0,15961.0,39.0,0.0,2.0,11,-9,1300.0,16000,-14700,-,
25/09/2024,29181096,29176390,13100,15000,11200,11700307,131044.0,379,13000,13000,13000,13000,-,13000,13000,-100.0,-0.76,380,5019,1593.0,79993.0,307.0,4.0,5.0,16,-11,1900.0,80300,-78400,11700000,131040.0
24/09/2024,29181096,29176390,13200,15100,11300,2501779,28773.0,379,13100,13000,13100,13000,100,13071,13000,-200.0,-1.52,900,2147,921.0,30421.0,1779.0,23.0,3.0,15,-12,2700.0,32200,-29500,2500000,28750.0
23/09/2024,29181096,29176390,13200,15100,11300,500500,5757.0,385,13200,13200,13200,13200,-,13200,13200,,,343,1660,1900.0,7800.0,500.0,7.0,7.0,5,2,2400.0,8300,-5900,500000,5750.0
20/09/2024,29181096,29176390,13300,15200,11400,1710,23.0,379,13300,13000,13300,13000,300,13229,13000,-300.0,-2.26,440,429,490.0,5590.0,1710.0,23.0,5.0,17,-12,2200.0,7300,-5100,-,
19/09/2024,29181096,29176390,13300,15200,11400,-,,388,13300,13300,13300,13300,-,13300,13300,,,100,867,100.0,7800.0,,,1.0,9,-8,100.0,7800,-7700,-,
18/09/2024,29181096,29176390,13300,15200,11400,-,,388,13300,13300,13300,13300,-,13300,13300,,,100,1170,100.0,11700.0,,,1.0,10,-9,100.0,11700,-11600,-,
17/09/2024,29181096,29176390,11900,13600,10200,128,2.0,388,13300,13300,13300,13300,-,13300,13300,1400.0,11.76,440,80,2072.0,272.0,128.0,2.0,5.0,5,-,2200.0,400,1800,-,
16/09/2024,29181096,29176390,11900,13600,10200,1016,12.0,347,11900,11900,11900,11900,-,11900,11900,,,500,463,1484.0,2684.0,1016.0,12.0,5.0,8,-3,2500.0,3700,-1200,-,
13/09/2024,29181096,29176390,11900,13600,10200,517,6.0,347,11900,11900,11900,11900,-,11900,11900,,,583,183,2983.0,583.0,517.0,6.0,6.0,6,-,3500.0,1100,2400,-,
12/09/2024,29181096,29176390,11900,13600,10200,405,5.0,347,11900,11900,11900,11900,-,11900,11900,,,371,386,2195.0,2295.0,405.0,5.0,7.0,7,-,2600.0,2700,-100,-,
11/09/2024,29181096,29176390,11900,13600,10200,14,0.0,347,11900,11600,11900,11900,-,11900,11900,-300.0,-2.52,500,300,2486.0,1486.0,14.0,0.0,5.0,5,-,2500.0,1500,1000,-,
10/09/2024,29181096,29176390,13500,15500,11500,774,9.0,338,12000,11600,12000,11600,400,11943,11600,-1900.0,-14.07,280,443,626.0,5426.0,774.0,9.0,5.0,14,-9,1400.0,6200,-4800,-,
09/09/2024,29181096,29176390,13500,15500,11500,11,0.0,394,13500,13500,13500,13500,-,13500,13500,,,600,463,1189.0,3689.0,11.0,0.0,2.0,8,-6,1200.0,3700,-2500,-,
06/09/2024,29181096,29176390,13500,15500,11500,-,,394,13500,13500,13500,13500,-,13500,13500,,,100,211,100.0,1900.0,,,1.0,9,-8,100.0,1900,-1800,-,
05/09/2024,29181096,29176390,13500,15500,11500,1,0.0,394,13500,13500,13500,13500,-,13500,13500,,,-,490,,4899.0,1.0,0.0,,10,-10,,4900,-4900,-,
04/09/2024,29181096,29176390,13500,15500,11500,-,,394,13500,13500,13500,13500,-,13500,13500,,,500,500,2000.0,4000.0,,,4.0,8,-4,2000.0,4000,-2000,-,
30/08/2024,29181096,29176390,13500,15500,11500,63,1.0,394,13500,13500,13500,13500,-,13500,13500,,,300,350,537.0,3437.0,63.0,1.0,2.0,10,-8,600.0,3500,-2900,-,
29/08/2024,29181096,29176390,12800,14700,10900,111,1.0,394,13500,13500,13500,13500,-,13500,13500,700.0,5.47,80,820,289.0,16289.0,111.0,1.0,5.0,20,-15,400.0,16400,-16000,-,
28/08/2024,29181096,29176390,12200,14000,10400,1021,13.0,408,12100,14000,14000,12100,1900,12750,14000,1800.0,14.75,350,1567,1779.0,22479.0,1021.0,13.0,8.0,15,-7,2800.0,23500,-20700,-,
27/08/2024,29181096,29176390,11300,12900,9700,105,1.0,356,12200,12200,12200,12200,-,12200,12200,900.0,7.96,450,1863,5295.0,14795.0,105.0,1.0,12.0,8,4,5400.0,14900,-9500,-,
26/08/2024,29181096,29176390,13000,14900,11100,2102,24.0,338,13600,11600,13600,11100,2500,11290,11600,-1400.0,-10.77,372,1594,4598.0,24998.0,2102.0,24.0,18.0,17,1,6700.0,27100,-20400,-,
23/08/2024,29181096,29176390,11400,13100,9700,100,1.0,379,13000,13000,13000,13000,-,13000,13000,1600.0,14.04,256,850,2200.0,6700.0,100.0,1.0,9.0,8,1,2300.0,6800,-4500,-,
22/08/2024,29181096,29176390,12600,14400,10800,605,7.0,368,11100,12600,12600,11100,1500,11350,12600,,,192,2820,1695.0,13495.0,605.0,7.0,12.0,5,7,2300.0,14100,-11800,-,
21/08/2024,29181096,29176390,12600,14400,10800,1842,23.0,368,12000,12600,12600,12000,600,12550,12600,,,290,3833,1058.0,32658.0,1842.0,23.0,10.0,9,1,2900.0,34500,-31600,-,
20/08/2024,29181096,29176390,13300,15200,11400,521,7.0,350,14500,12000,14500,12000,2500,12580,12000,-1300.0,-9.77,150,2893,79.0,42879.0,521.0,7.0,4.0,15,-11,600.0,43400,-42800,-,
19/08/2024,29181096,29176390,11700,13400,10000,1039,14.0,391,13300,13400,13400,13300,100,13320,13400,1700.0,14.53,450,960,2561.0,8561.0,1039.0,14.0,8.0,10,-2,3600.0,9600,-6000,-,
16/08/2024,29181096,29176390,11400,13100,9700,2412,28.0,382,12000,13100,13100,10100,3000,11671,13100,1700.0,14.91,321,300,3688.0,,2412.0,28.0,19.0,8,11,6100.0,2400,3700,-,
15/08/2024,29181096,29176390,11400,13100,9700,40,0.0,333,11400,11400,11400,11400,-,11400,11400,,,600,1300,1760.0,2560.0,40.0,0.0,3.0,2,1,1800.0,2600,-800,-,
14/08/2024,29181096,29176390,11400,13100,9700,94,1.0,333,11400,11400,11400,11400,-,11400,11400,,,380,825,1806.0,3206.0,94.0,1.0,5.0,4,1,1900.0,3300,-1400,-,
13/08/2024,29181096,29176390,12200,14000,10400,200,2.0,333,11400,11400,11400,11400,-,11400,11400,-800.0,-6.56,167,400,800.0,2200.0,200.0,2.0,6.0,6,-,1000.0,2400,-1400,-,
12/08/2024,29181096,29176390,12200,14000,10400,3,0.0,356,12200,12200,12200,12200,-,12200,12200,,,100,720,397.0,3597.0,3.0,0.0,4.0,5,-1,400.0,3600,-3200,-,
09/08/2024,29181096,29176390,12200,14000,10400,-,,356,12200,12200,12200,12200,-,12200,12200,,,200,400,400.0,1600.0,,,2.0,4,-2,400.0,1600,-1200,-,
08/08/2024,29181096,29176390,12200,14000,10400,-,,356,12200,12200,12200,12200,-,12200,12200,,,200,1360,400.0,6800.0,,,2.0,5,-3,400.0,6800,-6400,-,
07/08/2024,29181096,29176390,12200,14000,10400,-,,356,12200,12200,12200,12200,-,12200,12200,,,500,1243,1500.0,8700.0,,,3.0,7,-4,1500.0,8700,-7200,-,
06/08/2024,29181096,29176390,12200,14000,10400,16,0.0,356,12200,12200,12200,12200,-,12200,12200,,,500,700,1484.0,1384.0,16.0,0.0,3.0,2,1,1500.0,1400,100,-,
05/08/2024,29181096,29176390,12200,14000,10400,-,,356,12200,12200,12200,12200,-,12200,12200,,,400,520,1600.0,2600.0,,,4.0,5,-1,1600.0,2600,-1000,-,
02/08/2024,29181096,29176390,12200,14000,10400,23243852,325414.0,356,12200,12200,12200,12200,-,12200,12200,,,483,814,2895.0,5695.0,5.0,0.0,6.0,7,-1,2900.0,5700,-2800,23243847,325414.0
01/08/2024,29181096,29176390,12200,14000,10400,210153,2942.0,356,12200,12200,12200,12200,-,12200,12200,,,380,300,3800.0,2400.0,,,10.0,8,2,3800.0,2400,1400,210153,2942.0
31/07/2024,29181096,29176390,12200,14000,10400,3616,44.0,356,12400,12200,12400,12000,400,12181,12200,,,406,983,2884.0,2284.0,3616.0,44.0,16.0,6,10,6500.0,5900,600,-,
30/07/2024,29181096,29176390,11200,12800,9600,2009,24.0,362,11900,12400,12400,11900,500,12174,12400,1200.0,10.71,287,600,4591.0,2791.0,2009.0,24.0,23.0,8,15,6600.0,4800,1800,-,
29/07/2024,29181096,29176390,12300,14100,10500,3200,36.0,353,12200,12100,12200,10500,1700,11163,12100,-200.0,-1.63,386,614,2200.0,5400.0,3200.0,36.0,14.0,14,-,5400.0,8600,-3200,-,
