Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,9638061,9638061,30000,34500,25500,-,,289,30000,30000,30000,30000,-,30000,30000,,,1000,200,1000.0,200.0,,,1.0,1.0,-,1000.0,200.0,800,-,
26/09/2024,9638061,9638061,30000,34500,25500,-,,289,30000,30000,30000,30000,-,30000,30000,,,1750,-,7000.0,,,,4.0,,4,7000.0,,7000,-,
25/09/2024,9638061,9638061,30000,34500,25500,-,,289,30000,30000,30000,30000,-,30000,30000,,,650,-,1300.0,,,,2.0,,2,1300.0,,1300,-,
24/09/2024,9638061,9638061,30000,34500,25500,-,,289,30000,30000,30000,30000,-,30000,30000,,,650,-,1300.0,,,,2.0,,2,1300.0,,1300,-,
23/09/2024,9638061,9638061,30000,34500,25500,-,,289,30000,30000,30000,30000,-,30000,30000,,,750,-,1500.0,,,,2.0,,2,1500.0,,1500,-,
20/09/2024,9638061,9638061,30000,34500,25500,-,,289,30000,30000,30000,30000,-,30000,30000,,,929,200,6500.0,200.0,,,7.0,1.0,6,6500.0,200.0,6300,-,
19/09/2024,9638061,9638061,30000,34500,25500,-,,289,30000,30000,30000,30000,-,30000,30000,,,750,-,1500.0,,,,2.0,,2,1500.0,,1500,-,
18/09/2024,9638061,9638061,30000,34500,25500,-,,289,30000,30000,30000,30000,-,30000,30000,,,750,-,1500.0,,,,2.0,,2,1500.0,,1500,-,
17/09/2024,9638061,9638061,30000,34500,25500,-,,289,30000,30000,30000,30000,-,30000,30000,,,1900,-,9500.0,,,,5.0,,5,9500.0,,9500,-,
16/09/2024,9638061,9638061,30000,34500,25500,700,21.0,289,30000,30000,30000,30000,-,30000,30000,,,1900,600,6900.0,500.0,700.0,21.0,4.0,2.0,2,7600.0,1200.0,6400,-,
13/09/2024,9638061,9638061,29000,33300,24700,200,6.0,289,30000,30000,30000,30000,-,30000,30000,1000.0,3.45,550,250,2000.0,300.0,200.0,6.0,4.0,2.0,2,2200.0,500.0,1700,-,
12/09/2024,9638061,9638061,29000,33300,24700,-,,280,29000,29000,29000,29000,-,29000,29000,,,700,300,2800.0,300.0,,,4.0,1.0,3,2800.0,300.0,2500,-,
11/09/2024,9638061,9638061,29000,33300,24700,-,,280,29000,29000,29000,29000,-,29000,29000,,,500,300,1500.0,300.0,,,3.0,1.0,2,1500.0,300.0,1200,-,
10/09/2024,9638061,9638061,29000,33300,24700,-,,280,29000,29000,29000,29000,-,29000,29000,,,2183,300,13100.0,300.0,,,6.0,1.0,5,13100.0,300.0,12800,-,
09/09/2024,9638061,9638061,29000,33300,24700,-,,280,29000,29000,29000,29000,-,29000,29000,,,620,300,3100.0,300.0,,,5.0,1.0,4,3100.0,300.0,2800,-,
06/09/2024,9638061,9638061,29900,34300,25500,300,9.0,280,29000,29000,29000,29000,-,29000,29000,-900.0,-3.01,650,300,2300.0,300.0,300.0,9.0,4.0,2.0,2,2600.0,600.0,2000,-,
05/09/2024,9638061,9638061,29900,34300,25500,-,,288,29900,29900,29900,29900,-,29900,29900,,,367,300,1100.0,600.0,,,3.0,2.0,1,1100.0,600.0,500,-,
04/09/2024,9638061,9638061,29900,34300,25500,-,,288,29900,29900,29900,29900,-,29900,29900,,,2520,300,12600.0,300.0,,,5.0,1.0,4,12600.0,300.0,12300,-,
30/08/2024,9638061,9638061,29900,34300,25500,-,,288,29900,29900,29900,29900,-,29900,29900,,,525,300,2100.0,300.0,,,4.0,1.0,3,2100.0,300.0,1800,-,
29/08/2024,9638061,9638061,29000,33300,24700,1500,45.0,289,29500,30000,30000,29500,500,29900,30000,1000.0,3.45,1875,450,13500.0,300.0,1500.0,45.0,8.0,4.0,4,15000.0,1800.0,13200,-,
28/08/2024,9638061,9638061,29800,34200,25400,17250,500.0,280,29000,29000,29000,29000,-,29000,29000,-800.0,-2.68,3840,4500,1950.0,750.0,17250.0,500.0,5.0,4.0,1,19200.0,18000.0,1200,-,
27/08/2024,9638061,9638061,29800,34200,25400,-,,287,29800,29800,29800,29800,-,29800,29800,,,500,400,2000.0,800.0,,,4.0,2.0,2,2000.0,800.0,1200,-,
26/08/2024,9638061,9638061,29800,34200,25400,-,,287,29800,29800,29800,29800,-,29800,29800,,,233,400,700.0,1200.0,,,3.0,3.0,-,700.0,1200.0,-500,-,
23/08/2024,9638061,9638061,29800,34200,25400,-,,287,29800,29800,29800,29800,-,29800,29800,,,1525,400,6100.0,800.0,,,4.0,2.0,2,6100.0,800.0,5300,-,
22/08/2024,9638061,9638061,29000,33300,24700,1100,33.0,289,29500,30000,30000,29500,500,29818,30000,1000.0,3.45,663,414,4200.0,1800.0,1100.0,33.0,8.0,7.0,1,5300.0,2900.0,2400,-,
21/08/2024,9638061,9638061,29000,33300,24700,-,,280,29000,29000,29000,29000,-,29000,29000,,,700,1150,3500.0,2300.0,,,5.0,2.0,3,3500.0,2300.0,1200,-,
20/08/2024,9638061,9638061,29000,33300,24700,-,,280,29000,29000,29000,29000,-,29000,29000,,,400,900,2000.0,2700.0,,,5.0,3.0,2,2000.0,2700.0,-700,-,
19/08/2024,9638061,9638061,29000,33300,24700,-,,280,29000,29000,29000,29000,-,29000,29000,,,480,425,2400.0,1700.0,,,5.0,4.0,1,2400.0,1700.0,700,-,
16/08/2024,9638061,9638061,29000,33300,24700,-,,280,29000,29000,29000,29000,-,29000,29000,,,900,760,4500.0,3800.0,,,5.0,5.0,-,4500.0,3800.0,700,-,
15/08/2024,9638061,9638061,29000,33300,24700,1700,49.0,280,29000,29000,29000,29000,-,29000,29000,,,1240,920,4500.0,2900.0,1700.0,49.0,5.0,5.0,-,6200.0,4600.0,1600,-,
14/08/2024,9638061,9638061,29000,33300,24700,1,0.0,280,29000,29000,29000,29000,-,29000,29000,,,750,425,1499.0,1699.0,1.0,0.0,2.0,4.0,-2,1500.0,1700.0,-200,-,
13/08/2024,9638061,9638061,29000,33300,24700,-,,280,29000,29000,29000,29000,-,29000,29000,,,600,525,1200.0,2100.0,,,2.0,4.0,-2,1200.0,2100.0,-900,-,
12/08/2024,9638061,9638061,28400,32600,24200,200,6.0,280,29000,29000,29000,29000,-,29000,29000,600.0,2.11,567,400,1500.0,3000.0,200.0,6.0,3.0,8.0,-5,1700.0,3200.0,-1500,-,
09/08/2024,9638061,9638061,29300,33600,25000,1000,28.0,280,28000,29000,29000,28000,1000,28350,29000,-300.0,-1.02,467,400,1800.0,1000.0,1000.0,28.0,6.0,5.0,1,2800.0,2000.0,800,-,
08/08/2024,9638061,9638061,28800,33100,24500,500,15.0,284,29000,29500,29500,29000,500,29300,29500,700.0,2.43,425,320,1200.0,1100.0,500.0,15.0,4.0,5.0,-1,1700.0,1600.0,100,-,
07/08/2024,9638061,9638061,28800,33100,24500,-,,278,28800,28800,28800,28800,-,28800,28800,,,667,660,2000.0,3300.0,,,3.0,5.0,-2,2000.0,3300.0,-1300,-,
06/08/2024,9638061,9638061,29100,33400,24800,200,6.0,265,30000,27500,30000,27500,2500,28750,27500,-1600.0,-5.5,1100,220,4200.0,900.0,200.0,6.0,4.0,5.0,-1,4400.0,1100.0,3300,-,
05/08/2024,9638061,9638061,32700,37600,27800,1000,29.0,284,28500,29500,29500,28500,1000,29100,29500,-3200.0,-9.79,420,400,1100.0,2200.0,1000.0,29.0,5.0,8.0,-3,2100.0,3200.0,-1100,-,
02/08/2024,9638061,9638061,32700,37600,27800,-,,315,32700,32700,32700,32700,-,32700,32700,,,500,667,500.0,2000.0,,,1.0,3.0,-2,500.0,2000.0,-1500,-,
01/08/2024,9638061,9638061,32700,37600,27800,-,,315,32700,32700,32700,32700,-,32700,32700,,,500,575,500.0,2300.0,,,1.0,4.0,-3,500.0,2300.0,-1800,-,
31/07/2024,9638061,9638061,32700,37600,27800,-,,315,32700,32700,32700,32700,-,32700,32700,,,650,433,1300.0,1300.0,,,2.0,3.0,-1,1300.0,1300.0,-,-,
30/07/2024,9638061,9638061,32700,37600,27800,-,,315,32700,32700,32700,32700,-,32700,32700,,,650,600,1300.0,1200.0,,,2.0,2.0,-,1300.0,1200.0,100,-,
29/07/2024,9638061,9638061,32700,37600,27800,100,3.0,315,32700,32700,32700,32700,-,32700,32700,,,467,200,1300.0,100.0,100.0,3.0,3.0,1.0,2,1400.0,200.0,1200,-,
