Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,111097772,110942302,4200,4490,3910,120400,498,459,4200,4140,4240,4100,140,4136,4100,-60.0,-1.43,1129,3724,18200,11000.0,120400,498,189.0,87.0,102,213300.0,324000.0,-110700,-,
26/09/2024,111097772,110942302,4200,4490,3910,67300,282,466,4200,4200,4250,4180,70,4190,4200,,,1452,3587,7400,82400.0,67300,282,88.0,84.0,4,127800.0,301300.0,-173500,-,
25/09/2024,111097772,110942302,4190,4480,3900,49500,206,466,4170,4200,4200,4120,80,4162,4200,10.0,0.24,1314,2503,10600,10000.0,49500,206,109.0,59.0,50,143200.0,147700.0,-4500,-,
24/09/2024,111097772,110942302,4160,4450,3870,51900,217,465,4190,4190,4190,4160,30,4181,4200,30.0,0.72,877,1774,9000,29900.0,51900,217,125.0,74.0,51,109600.0,131300.0,-21700,-,
23/09/2024,111097772,110942302,4200,4490,3910,41200,171,462,4200,4160,4270,4150,120,4150,4200,-40.0,-0.95,1066,2140,13000,26800.0,41200,171,111.0,78.0,33,118300.0,166900.0,-48600,-,
20/09/2024,111097772,110942302,4240,4530,3950,32900,138,466,4240,4200,4270,4200,70,4195,4200,-40.0,-0.94,858,2018,5000,18300.0,32900,138,69.0,82.0,-13,59200.0,165500.0,-106300,-,
19/09/2024,111097772,110942302,4190,4480,3900,7800,32,470,4250,4240,4290,4200,90,4103,4200,50.0,1.19,816,3917,5700,11900.0,7800,32,76.0,71.0,5,62000.0,278100.0,-216100,-,
18/09/2024,111097772,110942302,4190,4480,3900,15600,65,465,4190,4190,4240,4190,50,4167,4200,,,1157,1938,16300,18600.0,15600,65,69.0,64.0,5,79800.0,124000.0,-44200,-,
17/09/2024,111097772,110942302,4170,4460,3880,67000,280,465,4170,4190,4230,4170,60,4179,4200,20.0,0.48,1433,3954,17500,140200.0,67000,280,97.0,81.0,16,139000.0,320300.0,-181300,-,
16/09/2024,111097772,110942302,4270,4560,3980,51100,214,463,4150,4170,4250,4150,100,4188,4200,-100.0,-2.34,973,3984,20800,38800.0,51100,214,134.0,51.0,83,130400.0,203200.0,-72800,-,
