Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3123000,3123000,42000,46200,37800,2000,80.0,125,40100,40000,40100,40000,100,40060,40000,-2000.0,-4.76,689,820,4200.0,2100.0,2000.0,80.0,9.0,5.0,4,6200.0,4100.0,2100,-,
26/09/2024,3123000,3123000,42000,46200,37800,508,21.0,131,42000,42000,42000,42000,-,42000,42000,,,163,275,792.0,592.0,508.0,21.0,8.0,4.0,4,1300.0,1100.0,200,-,
25/09/2024,3123000,3123000,45000,49500,40500,1100,46.0,131,42500,42000,42500,42000,500,42091,42000,-3000.0,-6.67,500,886,3900.0,5100.0,1100.0,46.0,10.0,7.0,3,5000.0,6200.0,-1200,-,
24/09/2024,3123000,3123000,44000,48400,39600,1900,86.0,141,45000,45000,45200,45000,200,45042,45000,1000.0,2.27,420,636,200.0,5100.0,1900.0,86.0,5.0,11.0,-6,2100.0,7000.0,-4900,-,
23/09/2024,3123000,3123000,44000,48400,39600,-,,137,44000,44000,44000,44000,-,44000,44000,,,225,233,900.0,1400.0,,,4.0,6.0,-2,900.0,1400.0,-500,-,
20/09/2024,3123000,3123000,45100,49600,40600,1100,48.0,137,44200,44000,44200,43800,400,43945,44000,-1100.0,-2.44,220,229,1100.0,2100.0,1100.0,48.0,10.0,14.0,-4,2200.0,3200.0,-1000,-,
19/09/2024,3123000,3123000,49000,53900,44100,4502,217.0,150,49000,48100,49000,48100,900,48238,45100,-900.0,-1.84,639,626,6998.0,7398.0,4502.0,217.0,18.0,19.0,-1,11500.0,11900.0,-400,-,
18/09/2024,3123000,3123000,49000,53900,44100,2506,122.0,153,48500,49000,49000,48500,500,48820,45900,,,367,453,1894.0,6094.0,2506.0,122.0,12.0,19.0,-7,4400.0,8600.0,-4200,-,
17/09/2024,3123000,3123000,49000,53900,44100,302,15.0,153,49000,49000,49000,49000,-,49000,45900,,,533,883,4498.0,4998.0,302.0,15.0,9.0,6.0,3,4800.0,5300.0,-500,-,
16/09/2024,3123000,3123000,47000,51700,42300,2541,121.0,153,49000,49000,49000,47000,2000,47571,45900,2000.0,4.26,419,940,4159.0,2159.0,2541.0,121.0,16.0,5.0,11,6700.0,4700.0,2000,-,
13/09/2024,3123000,3123000,46000,50600,41400,207,10.0,147,46400,47000,47000,46400,600,46700,44100,1000.0,2.17,191,1125,1893.0,8793.0,207.0,10.0,11.0,8.0,3,2100.0,9000.0,-6900,-,
12/09/2024,3123000,3123000,46000,50600,41400,1,0.0,144,46000,46000,46000,46000,-,46000,43100,,,210,1733,2099.0,5199.0,1.0,0.0,10.0,3.0,7,2100.0,5200.0,-3100,-,
11/09/2024,3123000,3123000,47000,51700,42300,1800,83.0,144,46000,46000,46000,46000,-,46000,43100,-1000.0,-2.13,583,490,1700.0,3100.0,1800.0,83.0,6.0,10.0,-4,3500.0,4900.0,-1400,-,
10/09/2024,3123000,3123000,47000,51700,42300,-,,147,47000,47000,47000,47000,-,47000,44100,,,350,633,700.0,1900.0,,,2.0,3.0,-1,700.0,1900.0,-1200,-,
09/09/2024,3123000,3123000,47000,51700,42300,10,0.0,147,47000,47000,47000,47000,-,47000,44100,,,200,1267,990.0,3790.0,10.0,0.0,5.0,3.0,2,1000.0,3800.0,-2800,-,
06/09/2024,3123000,3123000,47000,51700,42300,3000,141.0,147,47000,47000,47000,47000,-,47000,44100,,,411,2350,700.0,1700.0,3000.0,141.0,9.0,2.0,7,3700.0,4700.0,-1000,-,
05/09/2024,3123000,3123000,47000,51700,42300,-,,147,47000,47000,47000,47000,-,47000,44100,,,1000,1550,5000.0,3100.0,,,5.0,2.0,3,5000.0,3100.0,1900,-,
04/09/2024,3123000,3123000,47000,51700,42300,-,,147,47000,47000,47000,47000,-,47000,44100,,,983,1033,5900.0,3100.0,,,6.0,3.0,3,5900.0,3100.0,2800,-,
30/08/2024,3123000,3123000,47000,51700,42300,100,5.0,147,47000,47000,47000,47000,-,47000,44100,,,443,900,3000.0,5300.0,100.0,5.0,7.0,6.0,1,3100.0,5400.0,-2300,-,
29/08/2024,3123000,3123000,47000,51700,42300,1300,61.0,147,47000,47000,47000,47000,-,47000,44100,,,825,875,2000.0,2200.0,1300.0,61.0,4.0,4.0,-,3300.0,3500.0,-200,-,
28/08/2024,3123000,3123000,47000,51700,42300,500,24.0,147,47000,47000,47000,47000,-,47000,44100,,,775,867,2600.0,2100.0,500.0,24.0,4.0,3.0,1,3100.0,2600.0,500,-,
27/08/2024,3123000,3123000,47000,51700,42300,-,,147,47000,47000,47000,47000,-,47000,44100,,,800,1550,3200.0,3100.0,,,4.0,2.0,2,3200.0,3100.0,100,-,
26/08/2024,3123000,3123000,48000,52800,43200,700,33.0,147,47000,47000,47000,47000,-,47000,44100,-1000.0,-2.08,717,800,3600.0,4100.0,700.0,33.0,6.0,6.0,-,4300.0,4800.0,-500,-,
