Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,107439681,107439681,16900,18050,15750,600000,10053,1794,16900,16700,16950,16650,300,16755,16700,-200.0,-1.18,1469,2432,106000,86400.0,600000,10053,817.0,662.0,155,1200400.0,1609800.0,-409400,-,
26/09/2024,107439681,107439681,17000,18150,15850,462800,7874,1816,17100,16900,17350,16850,500,17014,16900,-100.0,-0.59,1763,2130,58000,53300.0,462800,7874,653.0,782.0,-129,1151100.0,1665600.0,-514500,-,
25/09/2024,107439681,107439681,16650,17800,15500,2050900,34401,1826,16750,17000,17300,16550,750,16774,17000,350.0,2.1,2457,3233,28800,73000.0,2050900,34401,1442.0,1187.0,255,3542500.0,3837500.0,-295000,-,
24/09/2024,107439681,107439681,16650,17800,15500,1655300,27713,1789,16600,16650,16800,16600,200,16698,16700,,,1817,2776,107800,72700.0,255300,4263,479.0,376.0,103,870500.0,1043700.0,-173200,1400000,23450.0
23/09/2024,107439681,107439681,16800,17950,15650,469800,7836,1789,16750,16650,16800,16600,200,16679,16700,-150.0,-0.89,1694,2909,122200,27800.0,469800,7836,662.0,430.0,232,1121100.0,1250700.0,-129600,-,
20/09/2024,107439681,107439681,16900,18050,15750,598600,10112,1805,16900,16800,17000,16800,200,16893,16800,-100.0,-0.59,1417,2644,124300,32100.0,598600,10112,766.0,688.0,78,1085800.0,1819300.0,-733500,-,
19/09/2024,107439681,107439681,17000,18150,15850,500000,8430,1816,17000,16900,17000,16800,200,16860,16900,-100.0,-0.59,1568,2770,101200,239300.0,500000,8430,765.0,569.0,196,1199400.0,1576100.0,-376700,-,
18/09/2024,107439681,107439681,17000,18150,15850,525400,8913,1826,17000,17000,17150,16900,250,16964,17000,,,1839,2293,141300,154000.0,525400,8913,644.0,650.0,-6,1184100.0,1490700.0,-306600,-,
17/09/2024,107439681,107439681,16650,17800,15500,471900,7899,1826,16650,17000,17000,16550,450,16739,17000,350.0,2.1,1754,2925,8700,63300.0,471900,7899,627.0,407.0,220,1099700.0,1190600.0,-90900,-,
16/09/2024,107439681,107439681,16950,18100,15800,828800,13905,1789,17150,16650,17150,16500,650,16777,16700,-300.0,-1.77,2431,3165,64300,32900.0,828800,13905,861.0,597.0,264,2093400.0,1889500.0,203900,-,
13/09/2024,107439681,107439681,16800,17950,15650,377500,6379,1821,17000,16950,17000,16800,200,16898,17000,150.0,0.89,1745,2320,101600,102700.0,377500,6379,568.0,480.0,88,991100.0,1113500.0,-122400,-,
12/09/2024,107439681,107439681,17000,18150,15850,635300,10874,1805,17150,16800,17400,16800,600,17116,16800,-200.0,-1.18,1957,2577,53700,98400.0,635300,10874,581.0,841.0,-260,1137200.0,2167300.0,-1030100,-,
11/09/2024,107439681,107439681,17000,18150,15850,785000,13271,1826,17000,17000,17100,16750,350,16906,17000,,,2384,2717,78600,80700.0,785000,13271,702.0,590.0,112,1673400.0,1603300.0,70100,-,
10/09/2024,107439681,107439681,16900,18050,15750,656100,11155,1826,17150,17000,17300,16800,500,17002,17000,100.0,0.59,1810,2375,20900,113100.0,656100,11155,853.0,771.0,82,1544200.0,1831100.0,-286900,-,
09/09/2024,107439681,107439681,17200,18400,16000,766000,13052,1816,17050,16900,17300,16900,400,17039,16900,-300.0,-1.74,1787,3189,104100,3900.0,766000,13052,807.0,562.0,245,1442200.0,1792200.0,-350000,-,
06/09/2024,107439681,107439681,17350,18550,16150,674400,11580,1848,17350,17200,17500,17050,450,17171,17200,-150.0,-0.86,2748,3051,109600,121700.0,674400,11580,910.0,670.0,240,2500500.0,2044100.0,456400,-,
05/09/2024,107439681,107439681,17850,19050,16650,741400,12943,1864,17800,17350,17800,17100,700,17458,17400,-500.0,-2.8,1669,2430,66100,51300.0,741400,12943,1125.0,930.0,195,1877400.0,2259800.0,-382400,-,
04/09/2024,107439681,107439681,16700,17850,15550,2720500,47186,1918,16600,17850,17850,15800,2050,17345,17900,1150.0,6.89,3177,2263,94800,161600.0,2720500,47186,1742.0,1743.0,-1,5534500.0,3943600.0,1590900,-,
30/08/2024,107439681,107439681,16850,18000,15700,457300,7666,1794,16800,16700,16900,16700,200,16764,16700,-150.0,-0.89,1146,1392,106400,34200.0,457300,7666,492.0,353.0,139,563700.0,491500.0,72200,-,
29/08/2024,107439681,107439681,16600,17750,15450,882000,14770,1810,16550,16850,16900,16550,350,16746,16900,250.0,1.51,2813,2767,118700,64600.0,882000,14770,739.0,643.0,96,2078700.0,1779000.0,299700,-,
28/08/2024,107439681,107439681,16700,17850,15550,685400,11417,1783,16950,16600,16950,16450,500,16657,16600,-100.0,-0.6,1596,2342,88800,35500.0,685400,11417,1256.0,719.0,537,2004500.0,1683600.0,320900,-,
27/08/2024,107439681,107439681,17050,18200,15900,1066900,17912,1794,17250,16700,17250,16600,650,16789,16700,-350.0,-2.05,1664,2713,113200,50300.0,1066900,17912,1725.0,905.0,820,2870900.0,2454900.0,416000,-,
26/08/2024,107439681,107439681,17650,18850,16450,1244600,21475,1832,17650,17050,17650,17000,650,17255,17100,-600.0,-3.4,1733,2347,101400,17900.0,1244600,21475,1458.0,1087.0,371,2526200.0,2550900.0,-24700,-,
23/08/2024,107439681,107439681,17600,18800,16400,894400,15656,1896,17900,17650,17900,17300,600,17504,17700,50.0,0.28,1741,2341,78700,47400.0,894400,15656,1134.0,1176.0,-42,1974400.0,2753200.0,-778800,-,
22/08/2024,107439681,107439681,17150,18350,15950,2907300,50910,1891,17100,17600,17850,16900,950,17511,17600,450.0,2.62,2827,2843,72400,106100.0,2907300,50910,2091.0,1948.0,143,5910900.0,5539000.0,371900,-,
21/08/2024,107439681,107439681,17350,18550,16150,1556500,27104,1843,17350,17150,17900,17100,800,17413,17200,-200.0,-1.15,2408,2491,41700,84100.0,1556500,27104,1380.0,1572.0,-192,3323200.0,3915800.0,-592600,-,
20/08/2024,107439681,107439681,17100,18250,15950,1399000,23883,1864,17300,17350,17400,16850,550,17071,17400,250.0,1.46,2284,2472,157200,73200.0,1399000,23883,1500.0,1492.0,8,3425700.0,3687500.0,-261800,-,
19/08/2024,107439681,107439681,16000,17100,14900,2224500,37643,1837,16200,17100,17100,16100,1000,16922,17100,1100.0,6.88,3146,2263,546300,,2224500,37643,1673.0,1123.0,550,5263400.0,2541300.0,2722100,-,
16/08/2024,107439681,107439681,15450,16500,14400,1168800,18618,1719,15450,16000,16200,15450,750,15929,16000,550.0,3.56,2452,2625,92300,29300.0,1168800,18618,992.0,901.0,91,2432600.0,2364800.0,67800,-,
15/08/2024,107439681,107439681,15800,16900,14700,737400,11458,1660,15800,15450,15800,15400,400,15538,15500,-350.0,-2.22,1290,1587,274000,70500.0,737400,11458,784.0,509.0,275,1011400.0,807900.0,203500,-,
14/08/2024,107439681,107439681,16200,17300,15100,810500,13060,1698,16200,15800,16700,15800,900,16114,15800,-400.0,-2.47,1212,1648,30500,6800.0,810500,13060,694.0,496.0,198,841000.0,817300.0,23700,-,
13/08/2024,107439681,107439681,16200,17300,15100,613500,9876,1741,16200,16200,16300,15900,400,16098,16200,,,1164,1661,31600,52700.0,613500,9876,554.0,401.0,153,645100.0,666200.0,-21100,-,
12/08/2024,107439681,107439681,15650,16700,14600,1210400,19470,1741,15700,16200,16300,15600,700,16086,16200,550.0,3.51,1704,1600,117200,105000.0,1210400,19470,779.0,822.0,-43,1327600.0,1315400.0,12200,-,
09/08/2024,107439681,107439681,15400,16450,14350,453400,7019,1681,15450,15650,15700,15250,450,15481,15700,250.0,1.62,1140,1372,34600,51600.0,453400,7019,428.0,368.0,60,488000.0,505000.0,-17000,-,
08/08/2024,107439681,107439681,15800,16900,14700,603000,9329,1655,15750,15400,15750,15200,550,15471,15400,-400.0,-2.53,1370,1602,106700,28100.0,603000,9329,518.0,394.0,124,709700.0,631100.0,78600,-,
07/08/2024,107439681,107439681,15500,16550,14450,299800,4637,1698,15500,15800,15800,15300,500,15467,15800,300.0,1.94,780,1301,22300,21500.0,299800,4637,413.0,247.0,166,322100.0,321300.0,800,-,
06/08/2024,107439681,107439681,15450,16500,14400,573100,8836,1665,15500,15500,15650,15150,500,15418,15500,50.0,0.32,1415,1304,165700,5700.0,573100,8836,522.0,444.0,78,738800.0,578800.0,160000,-,
05/08/2024,107439681,107439681,16000,17100,14900,2430800,37445,1660,15900,15450,15900,15100,800,15368,15500,-550.0,-3.44,2691,3017,216200,33800.0,1468600,22569,626.0,498.0,128,1684800.0,1502400.0,182400,962200,14876.0
02/08/2024,107439681,107439681,15300,16350,14250,1312700,20459,1719,14950,16000,16350,14950,1400,15585,16000,700.0,4.58,1594,2103,46600,104700.0,1312700,20459,853.0,674.0,179,1359300.0,1417400.0,-58100,-,
01/08/2024,107439681,107439681,15650,16700,14600,2269900,35091,1644,15500,15300,15700,15150,550,15459,15300,-350.0,-2.24,3190,4346,167200,11900.0,2269900,35091,764.0,525.0,239,2437100.0,2281800.0,155300,-,
31/07/2024,107439681,107439681,15950,17050,14850,1226800,19402,1681,16050,15650,16050,15650,400,15815,15700,-300.0,-1.88,2324,2693,114000,14800.0,1226800,19402,577.0,461.0,116,1340800.0,1241600.0,99200,-,
30/07/2024,107439681,107439681,15550,16600,14500,1590200,24992,1714,15550,15950,15950,15400,550,15716,16000,400.0,2.57,2102,2530,61700,62100.0,1590200,24992,786.0,653.0,133,1651900.0,1652300.0,-400,-,
29/07/2024,107439681,107439681,15400,16450,14350,463600,7150,1671,15700,15550,15700,15250,450,15423,15600,150.0,0.97,908,1067,18600,48600.0,463600,7150,531.0,480.0,51,482200.0,512200.0,-30000,-,
26/07/2024,107439681,107439681,15450,16500,14400,423300,6514,1655,15450,15400,15600,15250,350,15389,15400,-50.0,-0.32,1140,1501,39500,36000.0,423300,6514,406.0,306.0,100,462800.0,459300.0,3500,-,
25/07/2024,107439681,107439681,15450,16500,14400,317600,4864,1660,15250,15450,15450,15050,400,15315,15500,,,825,1118,14100,53600.0,317600,4864,402.0,332.0,70,331700.0,371200.0,-39500,-,
24/07/2024,107439681,107439681,15050,16100,14000,1053200,15807,1660,14700,15450,15450,14700,750,15009,15500,400.0,2.66,1334,1913,2000,33600.0,1053200,15807,791.0,568.0,223,1055200.0,1086800.0,-31600,-,
23/07/2024,107439681,107439681,15550,16600,14500,1131900,17199,1617,15700,15050,15700,14700,1000,15195,15100,-500.0,-3.22,1504,2130,62200,15900.0,1131900,17199,794.0,539.0,255,1194100.0,1147800.0,46300,-,
22/07/2024,107439681,107439681,16000,17100,14900,1669500,25828,1671,15900,15550,15950,15200,750,15471,15600,-450.0,-2.81,1712,2232,44200,11400.0,1669500,25828,1001.0,753.0,248,1713700.0,1680900.0,32800,-,
19/07/2024,107439681,107439681,16500,17650,15350,776500,12530,1719,16450,16000,16500,15950,550,16137,16000,-500.0,-3.03,1049,1668,104900,59200.0,776500,12530,840.0,501.0,339,881400.0,835700.0,45700,-,
18/07/2024,107439681,107439681,15900,17000,14800,1195700,19156,1773,15800,16500,16500,15800,700,16021,16500,600.0,3.77,1202,1791,8500,38100.0,1195700,19156,1002.0,689.0,313,1204200.0,1233800.0,-29600,-,
17/07/2024,107439681,107439681,17050,18200,15900,2885400,47381,1708,17100,15900,17300,15900,1400,16421,15900,-1150.0,-6.74,2349,3010,170600,70700.0,2885400,47381,1301.0,982.0,319,3056000.0,2956100.0,99900,-,
16/07/2024,107439681,107439681,17400,18600,16200,1131200,19620,1832,17550,17050,17800,16900,900,17344,17100,-350.0,-2.01,1432,1413,85700,57200.0,1131200,19620,850.0,841.0,9,1216900.0,1188400.0,28500,-,
15/07/2024,107439681,107439681,17200,18400,16000,856700,14976,1869,17200,17400,17800,17100,700,17481,17400,200.0,1.16,1447,1418,67900,96000.0,856700,14976,639.0,672.0,-33,924600.0,952700.0,-28100,-,
12/07/2024,107439681,107439681,17300,18500,16100,1800400,30812,1848,17350,17200,17450,16800,650,17114,17200,-100.0,-0.58,1538,2413,29400,13900.0,1800400,30812,1190.0,752.0,438,1829800.0,1814300.0,15500,-,
11/07/2024,107439681,107439681,17600,18800,16400,2235200,39565,1859,18000,17300,18300,17100,1200,17701,17300,-300.0,-1.7,1699,1954,39500,29000.0,2235200,39565,1339.0,1159.0,180,2274700.0,2264200.0,10500,-,
10/07/2024,107439681,107439681,16450,17600,15300,2772100,48315,1891,16800,17600,17600,16700,900,17429,17600,1150.0,6.99,2371,14143,549800,,2772100,48315,1401.0,196.0,1205,3321900.0,2772100.0,549800,-,
09/07/2024,107439681,107439681,16300,17400,15200,1692300,27973,1767,16450,16450,16800,16250,550,16530,16500,150.0,0.92,2304,2601,141900,35300.0,1692300,27973,1810.0,1546.0,264,4170600.0,4021900.0,148700,-,
08/07/2024,107439681,107439681,16500,17650,15350,1069000,17574,1751,16700,16300,16750,16250,500,16440,16300,-200.0,-1.21,2094,2562,225700,38300.0,1069000,17574,1141.0,1160.0,-19,2389500.0,2972400.0,-582900,-,
05/07/2024,107439681,107439681,16200,17300,15100,2043000,33867,1773,16150,16500,16850,16150,700,16577,16500,300.0,1.85,2781,2514,106000,108300.0,2043000,33867,1671.0,1899.0,-228,4646600.0,4774700.0,-128100,-,
04/07/2024,107439681,107439681,16150,17250,15050,1289300,20853,1741,16000,16200,16400,16000,400,16174,16200,50.0,0.31,2058,2587,52100,75800.0,1289300,20853,1624.0,1057.0,567,3341500.0,2734900.0,606600,-,
03/07/2024,107439681,107439681,16500,17650,15350,945100,15365,1735,16450,16150,16450,16150,300,16258,16200,-350.0,-2.12,1438,3106,87600,72700.0,945100,15365,1195.0,915.0,280,1718500.0,2842200.0,-1123700,-,
02/07/2024,107439681,107439681,16500,17650,15350,1388900,22736,1773,16550,16500,16750,16050,700,16370,16500,,,1650,2909,30200,155200.0,1388900,22736,1429.0,1380.0,49,2358300.0,4015000.0,-1656700,-,
01/07/2024,107439681,107439681,16150,17250,15050,1131600,18343,1773,16500,16500,16500,15850,650,16210,16500,350.0,2.17,1705,2211,13300,100900.0,1131600,18343,1369.0,1180.0,189,2333600.0,2608500.0,-274900,-,
28/06/2024,107439681,107439681,16550,17700,15400,1319300,21147,1735,16250,16150,16550,15550,1000,16029,16200,-400.0,-2.42,1862,2226,37100,5300.0,1319300,21147,1402.0,1165.0,237,2609900.0,2593500.0,16400,-,
27/06/2024,107439681,107439681,15950,17050,14850,2773900,45885,1778,15950,16550,16850,15900,950,16542,16600,600.0,3.76,2710,1949,52000,144800.0,2773900,45885,2041.0,2922.0,-881,5531300.0,5694700.0,-163400,-,
26/06/2024,107439681,107439681,15300,16350,14250,1424100,22426,1714,15350,15950,16150,15200,950,15747,16000,650.0,4.25,2511,1753,34900,115700.0,1424100,22426,1282.0,1804.0,-522,3218800.0,3162600.0,56200,-,
25/06/2024,107439681,107439681,15100,16150,14050,506200,7726,1644,15050,15300,15450,15050,400,15263,15300,200.0,1.32,1952,1740,79800,34000.0,506200,7726,789.0,690.0,99,1540200.0,1200800.0,339400,-,
24/06/2024,107439681,107439681,15550,16600,14500,1619000,24847,1622,15600,15100,15800,15100,700,15347,15100,-450.0,-2.89,2672,2693,120900,20500.0,1619000,24847,905.0,1016.0,-111,2418200.0,2736000.0,-317800,-,
21/06/2024,107439681,107439681,15500,16550,14450,1309900,20696,1671,15750,15550,16150,15550,600,15800,15600,50.0,0.32,2358,1708,82300,23400.0,1309900,20696,1117.0,1719.0,-602,2633800.0,2936800.0,-303000,-,
20/06/2024,107439681,107439681,15300,16350,14250,644600,9980,1665,15350,15500,15750,15300,450,15482,15500,200.0,1.31,1677,1513,45200,101000.0,644600,9980,838.0,1282.0,-444,1405300.0,1939900.0,-534600,-,
19/06/2024,107439681,107439681,15500,16550,14450,461100,7113,1644,15500,15300,15600,15300,300,15426,15300,-200.0,-1.29,1318,2089,72600,364800.0,461100,7113,804.0,914.0,-110,1059400.0,1909200.0,-849800,-,
18/06/2024,107439681,107439681,15250,16300,14200,538100,8292,1665,15300,15500,15550,15200,350,15410,15500,250.0,1.64,1751,1520,108500,76400.0,538100,8292,879.0,1058.0,-179,1539000.0,1608000.0,-69000,-,
17/06/2024,107439681,107439681,15150,16200,14100,877300,13296,1638,15100,15250,15500,15000,500,15156,15300,100.0,0.66,1687,1236,42700,10900.0,877300,13296,1052.0,1206.0,-154,1774300.0,1490500.0,283800,-,
14/06/2024,107439681,107439681,15450,16500,14400,1058000,16230,1628,15550,15150,15600,15150,450,15340,15200,-300.0,-1.94,1557,3248,112500,33000.0,1058000,16230,1053.0,741.0,312,1640000.0,2407000.0,-767000,-,
13/06/2024,107439681,107439681,15700,16750,14650,840500,13094,1660,15800,15450,15800,15450,350,15579,15500,-250.0,-1.59,1546,2933,77600,15000.0,840500,13094,989.0,646.0,343,1529300.0,1894400.0,-365100,-,
