Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,704811532,703971114,31050,33200,28900,10149500,314470,21682,31200,30800,31300,30800,500,30984,30800,-250.0,-0.81,3159,4472,436000,13600.0,10049500,311375,5668.0,4367.0,1301,17904300.0,19530900.0,-1626600,100000,3095.0
26/09/2024,704811532,703971114,31200,33350,29050,13568600,421397,21858,31250,31050,31350,30800,550,31054,31100,-150.0,-0.48,3728,4789,165900,71100.0,13391600,415866,5721.0,5369.0,352,21328100.0,25711200.0,-4383100,177000,5531.0
25/09/2024,704811532,703971114,30700,32800,28600,16179700,507802,21964,30950,31200,31800,30900,900,31386,31200,500.0,1.63,4517,3284,293700,258000.0,16079700,504682,6343.0,8662.0,-2319,28652900.0,28442200.0,210700,100000,3120.0
24/09/2024,704811532,703971114,30450,32550,28350,6583800,201433,21612,30500,30700,30800,30450,350,30599,30700,250.0,0.82,3832,3395,130900,565300.0,6478800,198244,4136.0,3741.0,395,15848300.0,12701100.0,3147200,105000,3189.0
23/09/2024,704811532,703971114,30650,32750,28550,9725500,297628,21436,30650,30450,30900,30450,450,30629,30500,-200.0,-0.65,4576,3381,648300,64400.0,9420500,288538,5061.0,5121.0,-60,23157300.0,17316300.0,5841000,305000,9090.0
20/09/2024,704811532,703971114,30500,32600,28400,11188800,342992,21577,30900,30650,30950,30500,450,30671,30700,150.0,0.49,4582,3229,688200,733400.0,10913800,334742,5180.0,7131.0,-1951,23734000.0,23025400.0,708600,275000,8250.0
19/09/2024,704811532,703971114,30150,32250,28050,12314200,373461,21471,30450,30500,30700,30050,650,30355,30500,350.0,1.16,4046,3374,26500,349200.0,11799200,358161,6275.0,7080.0,-805,25389000.0,23890000.0,1499000,515000,15300.0
18/09/2024,704811532,703971114,29000,31000,27000,29706000,898405,21225,29150,30150,30800,29050,1750,30249,30200,1150.0,3.97,3774,3650,111600,160800.0,29546000,893733,13648.0,13769.0,-121,51500800.0,50256100.0,1244700,160000,4672.0
17/09/2024,704811532,703971114,28200,30150,26250,9936500,284398,20415,28200,29000,29000,28050,950,28584,29000,800.0,2.84,4685,3638,248300,61600.0,9246500,264303,5078.0,4370.0,708,23791700.0,15899400.0,7892300,690000,20095.0
16/09/2024,704811532,703971114,29200,31200,27200,15669200,448822,19852,29200,28200,29350,28200,1150,28643,28200,-1000.0,-3.42,2799,5983,493400,26200.0,15529200,444808,9117.0,4727.0,4390,25520700.0,28281000.0,-2760300,140000,4014.0
13/09/2024,704811532,703971114,28850,30850,26850,13972200,410581,20556,28900,29200,29700,28900,800,29384,29200,350.0,1.21,5546,3720,440200,369800.0,13782200,404976,5053.0,8012.0,-2959,28025300.0,29804200.0,-1778900,190000,5605.0
12/09/2024,704811532,703971114,29000,31000,27000,5349800,155593,20310,29300,28850,29300,28850,450,29083,28900,-150.0,-0.52,3649,3592,229700,129900.0,5209800,151517,2668.0,3937.0,-1269,9734200.0,14140100.0,-4405900,140000,4076.0
11/09/2024,704811532,703971114,28850,30850,26850,10316300,297850,20415,28700,29000,29300,28350,950,28852,29000,150.0,0.52,4586,4228,149000,99500.0,9904300,285763,5953.0,4551.0,1402,27302000.0,19241600.0,8060400,412000,12087.0
10/09/2024,704811532,703971114,29150,31150,27150,11805100,341051,20310,29300,28850,29350,28350,1000,28890,28900,-300.0,-1.03,3144,5602,567200,292500.0,11805100,341051,7363.0,3874.0,3489,23145900.0,21700900.0,1445000,-,
09/09/2024,704811532,703971114,29300,31350,27250,7297300,212712,20521,29050,29150,29450,28750,700,29147,29200,-150.0,-0.51,4484,4707,324500,574300.0,7050300,205498,3672.0,3271.0,401,16463500.0,15396300.0,1067200,247000,7214.0
06/09/2024,704811532,703971114,29150,31150,27150,9378200,272506,20626,29000,29300,29400,28650,750,29056,29300,150.0,0.51,4349,4243,336600,447600.0,9328200,271043,5053.0,4255.0,798,21973100.0,18052600.0,3920500,50000,1463.0
05/09/2024,704811532,703971114,29150,31150,27150,14545500,427401,20521,29300,29150,29800,28800,1000,29386,29200,,,4244,3781,208300,128300.0,14355500,421852,5846.0,7006.0,-1160,24811500.0,26492800.0,-1681300,190000,5549.0
