Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,31882470,31882470,15000,17200,12800,400,7.0,545,17100,17100,17100,17100,-,17100,17100,2100.0,14.0,317,1367,1500,3700.0,400.0,7.0,6,3.0,3,1900,4100.0,-2200,-,
26/09/2024,31882470,31882470,15000,17200,12800,-,,478,15000,15000,15000,15000,-,15000,15000,,,500,250,500,500.0,,,1,2.0,-1,500,500.0,-,-,
25/09/2024,31882470,31882470,15000,17200,12800,-,,478,15000,15000,15000,15000,-,15000,15000,,,200,100,200,100.0,,,1,1.0,-,200,100.0,100,-,
24/09/2024,31882470,31882470,15000,17200,12800,-,,478,15000,15000,15000,15000,-,15000,15000,,,367,100,1100,100.0,,,3,1.0,2,1100,100.0,1000,-,
23/09/2024,31882470,31882470,15000,17200,12800,-,,478,15000,15000,15000,15000,-,15000,15000,,,100,80,300,400.0,,,3,5.0,-2,300,400.0,-100,-,
20/09/2024,31882470,31882470,15000,17200,12800,-,,478,15000,15000,15000,15000,-,15000,15000,,,500,200,1500,200.0,,,3,1.0,2,1500,200.0,1300,-,
19/09/2024,31882470,31882470,15000,17200,12800,-,,478,15000,15000,15000,15000,-,15000,15000,,,167,100,500,100.0,,,3,1.0,2,500,100.0,400,-,
18/09/2024,31882470,31882470,15000,17200,12800,1,0.0,478,15000,15800,15000,15000,-,15000,15000,800.0,5.33,325,150,1299,299.0,1.0,0.0,4,2.0,2,1300,300.0,1000,-,
17/09/2024,31882470,31882470,15800,18100,13500,-,,504,15800,15800,15800,15800,-,15800,15000,,,500,300,1000,900.0,,,2,3.0,-1,1000,900.0,100,-,
