Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4400000,4400000,10500,12000,9000,1200,11.0,42,9500,9500,9500,9500,-,9500,9500,-1000.0,-9.52,538,2630,3100.0,25100,1200.0,11.0,8.0,10,-2,4300.0,26300,-22000,-,
26/09/2024,4400000,4400000,10000,11500,8500,100,1.0,46,10500,10500,10500,10500,-,10500,10500,500.0,5.0,1367,2331,4000.0,30200,100.0,1.0,3.0,13,-10,4100.0,30300,-26200,-,
25/09/2024,4400000,4400000,10800,12400,9200,100,1.0,44,10000,10000,10000,10000,-,10000,10000,-800.0,-7.41,133,767,300.0,6800,100.0,1.0,3.0,9,-6,400.0,6900,-6500,-,
24/09/2024,4400000,4400000,10000,11500,8500,100,1.0,48,10800,10800,10800,10800,-,10800,10800,800.0,8.0,100,915,900.0,11800,100.0,1.0,10.0,13,-3,1000.0,11900,-10900,-,
23/09/2024,4400000,4400000,10200,11700,8700,1000,10.0,44,10000,10000,10000,10000,-,10000,10000,-200.0,-1.96,1033,2920,2100.0,28200,1000.0,10.0,3.0,10,-7,3100.0,29200,-26100,-,
20/09/2024,4400000,4400000,9500,10900,8100,100,1.0,45,10200,10200,10200,10200,-,10200,10200,700.0,7.37,363,877,2800.0,11300,100.0,1.0,8.0,13,-5,2900.0,11400,-8500,-,
19/09/2024,4400000,4400000,10700,12300,9100,2400,23.0,40,9500,9100,9600,9100,500,9488,9100,-1600.0,-14.95,780,368,5400.0,4600,2400.0,23.0,10.0,19,-9,7800.0,7000,800,-,
18/09/2024,4400000,4400000,10700,12300,9100,-,,47,10700,10700,10700,10700,-,10700,10700,,,25,475,100.0,5700,,,4.0,12,-8,100.0,5700,-5600,-,
17/09/2024,4400000,4400000,10000,11500,8500,100,1.0,47,10700,10700,10700,10700,-,10700,10700,700.0,7.0,233,811,600.0,7200,100.0,1.0,3.0,9,-6,700.0,7300,-6600,-,
16/09/2024,4400000,4400000,11100,12700,9500,700,7.0,44,10000,10000,10000,10000,-,10000,10000,-1100.0,-9.91,186,356,600.0,2500,700.0,7.0,7.0,9,-2,1300.0,3200,-1900,-,
