Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12600000,11920720,73000,80300,65700,77900,5733.0,894,72100,75000,80300,72000,8300,73556,75000,2000.0,2.74,1606,3246,7200.0,,77900.0,5733.0,53.0,24.0,29,85100.0,77900.0,7200,-,
26/09/2024,12600000,11920720,75000,82500,67500,67920,4891.0,870,72000,73000,73000,70100,2900,71997,73000,-2000.0,-2.67,2040,5385,3480.0,2080.0,67920.0,4891.0,35.0,13.0,22,71400.0,70000.0,1400,-,
25/09/2024,12600000,11920720,75000,82500,67500,66500,4789.0,894,71100,75000,75900,71100,4800,74000,75000,,,356,190,11600.0,1400.0,500.0,37.0,34.0,10.0,24,12100.0,1900.0,10200,66000,4752.0
24/09/2024,12600000,11920720,68500,75300,61700,83700,5764.0,894,69900,75000,75000,69500,5500,70538,75000,6500.0,9.49,756,281,23800.0,,8700.0,632.0,43.0,31.0,12,32500.0,8700.0,23800,75000,5133.0
23/09/2024,12600000,11920720,68000,74800,61200,67200,4571.0,817,73500,68500,73500,68500,5000,71750,68500,500.0,0.74,677,196,26900.0,3100.0,2200.0,151.0,43.0,27.0,16,29100.0,5300.0,23800,65000,4420.0
20/09/2024,12600000,11920720,65700,72200,59200,66200,4350.0,811,68000,68000,68000,68000,-,65700,68000,2300.0,3.5,834,175,39000.0,2600.0,200.0,14.0,47.0,16.0,31,39200.0,2800.0,36400,66000,4336.0
19/09/2024,12600000,11920720,64700,71100,58300,66000,4338.0,783,66000,65700,66000,65700,300,65720,65700,1000.0,1.55,1627,16675,17000.0,700.0,66000.0,4338.0,51.0,4.0,47,83000.0,66700.0,16300,-,
18/09/2024,12600000,11920720,64700,71100,58300,65100,4219.0,771,65500,64700,66000,64700,1300,64806,64700,,,1636,13060,16700.0,200.0,65100.0,4219.0,50.0,5.0,45,81800.0,65300.0,16500,-,
17/09/2024,12600000,11920720,64000,70400,57600,5400,372.0,771,62500,64700,70400,62500,7900,68848,64700,700.0,1.09,226,257,4300.0,,5400.0,372.0,43.0,21.0,22,9700.0,5400.0,4300,-,
16/09/2024,12600000,11920720,65000,71500,58500,800,50.0,763,65000,64000,65000,60900,4100,63013,64000,-1000.0,-1.54,152,143,2400.0,200.0,800.0,50.0,21.0,7.0,14,3200.0,1000.0,2200,-,
13/09/2024,12600000,11920720,67000,73700,60300,500,33.0,775,64100,65000,72000,64100,7900,66733,65000,-2000.0,-2.99,275,125,1700.0,,500.0,33.0,8.0,4.0,4,2200.0,500.0,1700,-,
