Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
22/07/2024,24878291,24878291,8000,9200,6800,400,3.0,199,8100,8000,8100,8000,100,8025,8000,,,6050,3525,23800.0,13700.0,400.0,3.0,4.0,4.0,-,24200.0,14100.0,10100,-,
19/07/2024,24878291,24878291,9400,10800,8000,100,1.0,199,8000,8000,8000,8000,-,8000,8000,-1400.0,-14.89,6025,5050,24000.0,10000.0,100.0,1.0,4.0,2.0,2,24100.0,10100.0,14000,-,
18/07/2024,24878291,24878291,9400,10800,8000,-,,234,9400,9400,9400,9400,-,9400,9400,,,20000,10000,20000.0,10000.0,,,1.0,1.0,-,20000.0,10000.0,10000,-,
17/07/2024,24878291,24878291,9400,10800,8000,-,,234,9400,9400,9400,9400,-,9400,9400,,,8367,10000,25100.0,10000.0,,,3.0,1.0,2,25100.0,10000.0,15100,-,
16/07/2024,24878291,24878291,9400,10800,8000,-,,234,9400,9400,9400,9400,-,9400,9400,,,4680,6500,23400.0,13000.0,,,5.0,2.0,3,23400.0,13000.0,10400,-,
15/07/2024,24878291,24878291,9400,10800,8000,-,,234,9400,9400,9400,9400,-,9400,9400,,,4357,6850,30500.0,13700.0,,,7.0,2.0,5,30500.0,13700.0,16800,-,
12/07/2024,24878291,24878291,8400,9600,7200,200,2.0,234,9400,9400,9400,9400,-,9400,9400,1000.0,11.9,8100,4633,56500.0,13700.0,200.0,2.0,7.0,3.0,4,56700.0,13900.0,42800,-,
11/07/2024,24878291,24878291,8400,9600,7200,-,,209,8400,8400,8400,8400,-,8400,8400,,,5775,5050,23100.0,10100.0,,,4.0,2.0,2,23100.0,10100.0,13000,-,
10/07/2024,24878291,24878291,8400,9600,7200,-,,209,8400,8400,8400,8400,-,8400,8400,,,13017,3275,78100.0,13100.0,,,6.0,4.0,2,78100.0,13100.0,65000,-,
09/07/2024,24878291,24878291,8900,10200,7600,2000,17.0,209,8400,8400,8400,8400,-,8400,8400,-500.0,-5.62,6283,1950,35700.0,5800.0,2000.0,17.0,6.0,4.0,2,37700.0,7800.0,29900,-,
08/07/2024,24878291,24878291,7800,8900,6700,100,1.0,221,8900,8900,8900,8900,-,8900,8900,1100.0,14.1,5843,100,40800.0,,100.0,1.0,7.0,1.0,6,40900.0,100.0,40800,-,
05/07/2024,24878291,24878291,7800,8900,6700,-,,194,7800,7800,7800,7800,-,7800,7800,,,28020,-,140100.0,,,,5.0,,5,140100.0,,140100,-,
04/07/2024,24878291,24878291,9000,10300,7700,1100,9.0,194,7900,7800,7900,7800,100,7809,7800,-1200.0,-13.33,5400,3425,31300.0,12600.0,1100.0,9.0,6.0,4.0,2,32400.0,13700.0,18700,-,
03/07/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,9000,,,10220,5550,51100.0,11100.0,,,5.0,2.0,3,51100.0,11100.0,40000,-,
02/07/2024,24878291,24878291,9000,10300,7700,600,6.0,224,9000,9000,9000,9000,-,9000,9000,,,11100,5050,33300.0,10100.0,,,3.0,2.0,1,33300.0,10100.0,23200,600,6.0
01/07/2024,24878291,24878291,9000,10300,7700,3900,39.0,224,9000,9000,9000,9000,-,9000,9000,,,4033,5000,12100.0,5000.0,,,3.0,1.0,2,12100.0,5000.0,7100,3900,39.0
28/06/2024,24878291,24878291,8800,10100,7500,4300,39.0,224,9000,9000,9100,9000,100,9027,9000,200.0,2.27,736,4600,4400.0,10100.0,3700.0,33.0,11.0,3.0,8,8100.0,13800.0,-5700,600,6.0
27/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,120,6850,600.0,13700.0,,,5.0,2.0,3,600.0,13700.0,-13100,-,
26/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,200,3600,200.0,3600.0,,,1.0,1.0,-,200.0,3600.0,-3400,-,
25/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,633,3600,1900.0,3600.0,,,3.0,1.0,2,1900.0,3600.0,-1700,-,
24/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,600,3600,1200.0,3600.0,,,2.0,1.0,1,1200.0,3600.0,-2400,-,
21/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,1867,3600,5600.0,3600.0,,,3.0,1.0,2,5600.0,3600.0,2000,-,
20/06/2024,24878291,24878291,9000,10300,7700,3400,34.0,224,9000,9000,9000,9000,-,9000,8800,,,5050,5100,10100.0,5100.0,,,2.0,1.0,1,10100.0,5100.0,5000,3400,34.0
19/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,1550,-,3100.0,,,,2.0,,2,3100.0,,3100,-,
18/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,-,10100,,10100.0,,,,1.0,-1,,10100.0,-10100,-,
17/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,550,3600,1100.0,3600.0,,,2.0,1.0,1,1100.0,3600.0,-2500,-,
14/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,1700,3600,5100.0,3600.0,,,3.0,1.0,2,5100.0,3600.0,1500,-,
13/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,100,-,300.0,,,,3.0,,3,300.0,,300,-,
12/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,10033,3067,30100.0,9200.0,,,3.0,3.0,-,30100.0,9200.0,20900,-,
11/06/2024,24878291,24878291,9000,10300,7700,2,0.0,224,9000,9000,9000,9000,-,9000,8800,,,26025,600,104098.0,598.0,2.0,0.0,4.0,1.0,3,104100.0,600.0,103500,-,
10/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,600,600,1200.0,600.0,,,2.0,1.0,1,1200.0,600.0,600,-,
07/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,640,2800,3200.0,5600.0,,,5.0,2.0,3,3200.0,5600.0,-2400,-,
06/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,1033,-,3100.0,,,,3.0,,3,3100.0,,3100,-,
05/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,433,-,1300.0,,,,3.0,,3,1300.0,,1300,-,
04/06/2024,24878291,24878291,9000,10300,7700,2800,28.0,224,9000,9000,9000,9000,-,9000,8800,,,733,600,2200.0,600.0,,,3.0,1.0,2,2200.0,600.0,1600,2800,28.0
03/06/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,550,600,2200.0,600.0,,,4.0,1.0,3,2200.0,600.0,1600,-,
31/05/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,900,600,1800.0,600.0,,,2.0,1.0,1,1800.0,600.0,1200,-,
30/05/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
29/05/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,533,500,1600.0,500.0,,,3.0,1.0,2,1600.0,500.0,1100,-,
28/05/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,1000,500,1000.0,500.0,,,1.0,1.0,-,1000.0,500.0,500,-,
27/05/2024,24878291,24878291,9000,10300,7700,-,,224,9000,9000,9000,9000,-,9000,8800,,,325,500,1300.0,500.0,,,4.0,1.0,3,1300.0,500.0,800,-,
24/05/2024,24878291,24878291,9500,10900,8100,7100,71.0,224,9000,9000,9000,9000,-,9000,8800,-500.0,-5.26,425,5050,1200.0,9600.0,500.0,5.0,4.0,2.0,2,1700.0,10100.0,-8400,6600,66.0
23/05/2024,24878291,24878291,9500,10900,8100,-,,236,9500,9500,9500,9500,-,9500,9300,,,300,5150,600.0,10300.0,,,2.0,2.0,-,600.0,10300.0,-9700,-,
22/05/2024,24878291,24878291,9500,10900,8100,-,,236,9500,9500,9500,9500,-,9500,9300,,,533,9600,1600.0,9600.0,,,3.0,1.0,2,1600.0,9600.0,-8000,-,
21/05/2024,24878291,24878291,9500,10900,8100,-,,236,9500,9500,9500,9500,-,9500,9300,,,5000,9600,5000.0,9600.0,,,1.0,1.0,-,5000.0,9600.0,-4600,-,
20/05/2024,24878291,24878291,9500,10900,8100,-,,236,9500,9500,9500,9500,-,9500,9300,,,2600,9600,5200.0,9600.0,,,2.0,1.0,1,5200.0,9600.0,-4400,-,
17/05/2024,24878291,24878291,10500,12000,9000,600,6.0,236,9500,9500,9500,9500,-,9500,9300,-1000.0,-9.52,1150,5100,1700.0,9600.0,600.0,6.0,2.0,2.0,-,2300.0,10200.0,-7900,-,
16/05/2024,24878291,24878291,10500,12000,9000,-,,261,10500,10500,10500,10500,-,10500,10300,,,-,9600,,9600.0,,,,1.0,-1,,9600.0,-9600,-,
15/05/2024,24878291,24878291,10500,12000,9000,-,,261,10500,10500,10500,10500,-,10500,10300,,,-,9600,,9600.0,,,,1.0,-1,,9600.0,-9600,-,
14/05/2024,24878291,24878291,10500,12000,9000,-,,261,10500,10500,10500,10500,-,10500,10300,,,-,9600,,9600.0,,,,1.0,-1,,9600.0,-9600,-,
