Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,86554343,86554343,9450,10100,8790,138400,1299,816,9440,9430,9480,9300,180,9386,9400,-20.0,-0.21,1448,3663,8300,30300.0,138400,1299,141.0,132.0,9,204100.0,483500.0,-279400,-,
26/09/2024,86554343,86554343,9470,10100,8810,131400,1234,818,9470,9450,9470,9350,120,9391,9500,-20.0,-0.21,1712,4588,2500,17000.0,131400,1234,107.0,97.0,10,183200.0,445000.0,-261800,-,
25/09/2024,86554343,86554343,9360,10000,8710,313700,2928,820,9360,9470,9500,9260,240,9334,9500,110.0,1.18,2040,4628,1300,25300.0,313700,2928,212.0,137.0,75,432500.0,634100.0,-201600,-,
24/09/2024,86554343,86554343,9370,10000,8720,85800,802,810,9370,9360,9370,9300,70,9347,9400,-10.0,-0.11,2257,4352,18800,53200.0,85800,802,81.0,65.0,16,182800.0,282900.0,-100100,-,
23/09/2024,86554343,86554343,9400,10050,8750,137600,1285,811,9220,9370,9400,9220,180,9339,9400,-30.0,-0.32,1962,5605,2000,22700.0,137600,1285,122.0,62.0,60,239400.0,347500.0,-108100,-,
20/09/2024,86554343,86554343,9350,10000,8700,167000,1563,814,9350,9400,9400,9330,70,9359,9400,50.0,0.53,1808,4418,11400,66400.0,167000,1563,137.0,102.0,35,247700.0,450600.0,-202900,-,
19/09/2024,86554343,86554343,9440,10100,8780,109000,1023,809,9440,9350,9440,9320,120,9385,9400,-90.0,-0.95,1682,4894,10600,11400.0,109000,1023,135.0,72.0,63,227100.0,352400.0,-125300,-,
18/09/2024,86554343,86554343,9430,10050,8770,117900,1112,817,9430,9440,9500,9400,100,9432,9400,10.0,0.11,1360,3813,17700,21500.0,117900,1112,130.0,75.0,55,176800.0,286000.0,-109200,-,
17/09/2024,86554343,86554343,9440,10100,8780,138400,1298,816,9430,9430,9430,9300,130,9379,9400,-10.0,-0.11,1846,3169,6100,10400.0,138400,1298,133.0,71.0,62,245500.0,225000.0,20500,-,
