Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,367985968,367985968,8760,9370,8150,786800,6890,3209,8790,8720,8810,8710,100,8757,8700,-40.0,-0.46,2563,3608,78200.0,53400.0,786800,6890,588.0,620.0,-32,1507200.0,2236700.0,-729500,-,
26/09/2024,367985968,367985968,8720,9330,8110,1237100,10865,3224,8750,8760,8830,8720,110,8783,8800,40.0,0.46,5962,3341,125100.0,70900.0,1237100,10865,838.0,791.0,47,4996500.0,2642700.0,2353800,-,
25/09/2024,367985968,367985968,8590,9190,7990,1869000,16145,3209,8600,8720,8770,8580,190,8638,8700,130.0,1.51,6299,3875,97300.0,23300.0,1869000,16145,913.0,768.0,145,5750900.0,2976100.0,2774800,-,
24/09/2024,367985968,367985968,8600,9200,8000,958700,8203,3161,8600,8590,8640,8520,120,8556,8600,-10.0,-0.12,1782,4121,22400.0,272100.0,958700,8203,961.0,791.0,170,1712800.0,3259500.0,-1546700,-,
23/09/2024,367985968,367985968,8780,9390,8170,1197400,10375,3165,8810,8600,8810,8600,210,8665,8600,-180.0,-2.05,1963,4588,7300.0,247800.0,1197400,10375,773.0,650.0,123,1517100.0,2982000.0,-1464900,-,
20/09/2024,367985968,367985968,8850,9460,8240,991300,8778,3231,8950,8780,8950,8740,210,8855,8800,-70.0,-0.79,3062,3042,65000.0,63300.0,991300,8778,567.0,897.0,-330,1736300.0,2728900.0,-992600,-,
19/09/2024,367985968,367985968,8710,9310,8110,1329200,11687,3257,8770,8850,8850,8750,100,8793,8900,140.0,1.61,5822,3380,18400.0,75000.0,1329200,11687,514.0,723.0,-209,2992700.0,2443800.0,548900,-,
18/09/2024,367985968,367985968,8700,9300,8100,1156900,10132,3205,8710,8710,8830,8700,130,8758,8700,10.0,0.11,3667,2346,533900.0,23600.0,1156900,10132,731.0,1165.0,-434,2680700.0,2733600.0,-52900,-,
17/09/2024,367985968,367985968,8720,9330,8110,1266300,10906,3201,8650,8700,8710,8450,260,8612,8700,-20.0,-0.23,2481,4773,15500.0,274600.0,1266300,10906,986.0,682.0,304,2446300.0,3255500.0,-809200,-,
16/09/2024,367985968,367985968,8760,9370,8150,1090800,9469,3209,8780,8720,8780,8650,130,8689,8700,-40.0,-0.46,2915,3254,33200.0,11000.0,990800,8609,526.0,508.0,18,1533100.0,1653200.0,-120100,100000,860.0
13/09/2024,367985968,367985968,8780,9390,8170,737700,6431,3224,8780,8760,8780,8660,120,8718,8800,-20.0,-0.23,3962,3239,44400.0,79600.0,737700,6431,524.0,500.0,24,2076100.0,1619500.0,456600,-,
12/09/2024,367985968,367985968,8830,9440,8220,1300300,11340,3231,8770,8780,8890,8650,240,8721,8800,-50.0,-0.57,2629,4581,2500.0,173400.0,1300300,11340,860.0,515.0,345,2260700.0,2359400.0,-98700,-,
11/09/2024,367985968,367985968,8870,9490,8250,855900,7466,3249,8640,8830,8830,8610,220,8723,8800,-40.0,-0.45,2342,3131,4300.0,31600.0,855900,7466,801.0,572.0,229,1875700.0,1790700.0,85000,-,
10/09/2024,367985968,367985968,8870,9490,8250,1369200,11992,3264,8880,8870,8880,8600,280,8758,8900,,,2557,5098,6900.0,44400.0,1369200,11992,816.0,445.0,371,2086800.0,2268500.0,-181700,-,
09/09/2024,367985968,367985968,8900,9520,8280,915200,8055,3264,8850,8870,8870,8730,140,8801,8900,-30.0,-0.34,2119,4711,13500.0,65900.0,915200,8055,679.0,381.0,298,1438600.0,1795000.0,-356400,-,
06/09/2024,367985968,367985968,8930,9550,8310,655800,5808,3275,8910,8900,8910,8780,130,8856,8900,-30.0,-0.34,1917,4925,7800.0,38800.0,655800,5808,599.0,366.0,233,1148500.0,1802600.0,-654100,-,
05/09/2024,367985968,367985968,8870,9490,8250,1106900,9850,3286,8900,8930,9000,8840,160,8899,8900,60.0,0.68,2608,4244,105600.0,73800.0,1106900,9850,693.0,515.0,178,1807000.0,2185600.0,-378600,-,
