Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12853052,12853052,4700,5400,4000,57,0.0,60,4700,4700,4700,4700,-,4700,4700,,,743,-,22243.0,,57.0,0.0,30.0,,30,22300.0,,22300,-,
26/09/2024,12853052,12853052,5500,6300,4700,2100,10.0,60,4700,4700,4700,4700,-,4700,4700,-800.0,-14.55,294,1100,7000.0,100.0,2100.0,10.0,31.0,2.0,29,9100.0,2200.0,6900,-,
25/09/2024,12853052,12853052,5500,6300,4700,-,,71,5500,5500,5500,5500,-,5500,5500,,,529,-,3700.0,,,,7.0,,7,3700.0,,3700,-,
24/09/2024,12853052,12853052,5600,6400,4800,8401,46.0,69,5500,5400,5500,5400,100,5470,5400,-200.0,-3.57,695,1050,6199.0,,8401.0,46.0,21.0,8.0,13,14600.0,8400.0,6200,-,
23/09/2024,12853052,12853052,5800,6600,5000,200,1.0,72,5600,5600,5600,5600,-,5600,5600,-200.0,-3.45,550,933,2000.0,5400.0,200.0,1.0,4.0,6.0,-2,2200.0,5600.0,-3400,-,
20/09/2024,12853052,12853052,6000,6900,5100,23800,137.0,75,5800,5800,5900,5700,200,5775,5800,-200.0,-3.33,1518,2013,2000.0,8400.0,23800.0,137.0,17.0,16.0,1,25800.0,32200.0,-6400,-,
19/09/2024,12853052,12853052,6000,6900,5100,-,,77,6000,6000,6000,6000,-,6000,6000,,,682,2631,7500.0,34200.0,,,11.0,13.0,-2,7500.0,34200.0,-26700,-,
18/09/2024,12853052,12853052,6000,6900,5100,1000,6.0,77,6000,6000,6000,6000,-,6000,6000,,,550,3689,100.0,32200.0,1000.0,6.0,2.0,9.0,-7,1100.0,33200.0,-32100,-,
17/09/2024,12853052,12853052,6200,7100,5300,1001,6.0,77,6000,6000,6000,6000,-,6000,6000,-200.0,-3.23,560,3109,4599.0,33199.0,1001.0,6.0,10.0,11.0,-1,5600.0,34200.0,-28600,-,
16/09/2024,12853052,12853052,6300,7200,5400,5001,31.0,80,6200,6200,6200,6200,-,6200,6200,-100.0,-1.59,1500,3509,999.0,33599.0,5001.0,31.0,4.0,11.0,-7,6000.0,38600.0,-32600,-,
13/09/2024,12853052,12853052,6300,7200,5400,-,,81,6300,6300,6300,6300,-,6300,6300,,,586,3008,4100.0,39100.0,,,7.0,13.0,-6,4100.0,39100.0,-35000,-,
12/09/2024,12853052,12853052,6300,7200,5400,1000,6.0,81,6300,6300,6300,6300,-,6300,6300,,,3833,7840,22000.0,38200.0,1000.0,6.0,6.0,5.0,1,23000.0,39200.0,-16200,-,
11/09/2024,12853052,12853052,6500,7400,5600,2100,13.0,81,6300,6300,6300,6300,-,6300,6300,-200.0,-3.08,820,3158,2000.0,35800.0,2100.0,13.0,5.0,12.0,-7,4100.0,37900.0,-33800,-,
10/09/2024,12853052,12853052,6900,7900,5900,1000,7.0,84,6500,6500,6500,6500,-,6500,6500,-400.0,-5.8,2033,2725,5100.0,31700.0,1000.0,7.0,3.0,12.0,-9,6100.0,32700.0,-26600,-,
09/09/2024,12853052,12853052,7100,8100,6100,4201,29.0,89,7200,6900,7200,6900,300,6914,6900,-200.0,-2.82,940,1676,499.0,30999.0,4201.0,29.0,5.0,21.0,-16,4700.0,35200.0,-30500,-,
06/09/2024,12853052,12853052,6800,7800,5800,9302,66.0,93,6800,7200,7200,6800,400,7065,7200,400.0,5.88,5347,1094,70898.0,8198.0,9302.0,66.0,15.0,16.0,-1,80200.0,17500.0,62700,-,
05/09/2024,12853052,12853052,6300,7200,5400,31800,216.0,90,6500,7000,7000,6500,500,6785,7000,700.0,11.11,911,1668,2800.0,14900.0,31800.0,216.0,38.0,28.0,10,34600.0,46700.0,-12100,-,
04/09/2024,12853052,12853052,5900,6700,5100,1800,11.0,81,6000,6300,6300,6000,300,6283,6300,400.0,6.78,5300,988,67100.0,6100.0,1800.0,11.0,13.0,8.0,5,68900.0,7900.0,61000,-,
30/08/2024,12853052,12853052,5900,6700,5100,100,1.0,76,5900,5900,5900,5900,-,5900,5900,,,80,925,300.0,3600.0,100.0,1.0,5.0,4.0,1,400.0,3700.0,-3300,-,
29/08/2024,12853052,12853052,5900,6700,5100,-,,76,5900,5900,5900,5900,-,5900,5900,,,50,500,100.0,1000.0,,,2.0,2.0,-,100.0,1000.0,-900,-,
28/08/2024,12853052,12853052,5900,6700,5100,-,,76,5900,5900,5900,5900,-,5900,5900,,,375,300,1500.0,600.0,,,4.0,2.0,2,1500.0,600.0,900,-,
27/08/2024,12853052,12853052,5900,6700,5100,36,0.0,76,5900,5600,5900,5900,-,5900,5900,-300.0,-5.08,200,1033,964.0,6164.0,36.0,0.0,5.0,6.0,-1,1000.0,6200.0,-5200,-,
26/08/2024,12853052,12853052,5900,6700,5100,-,,76,5900,5900,5900,5900,-,5900,5900,,,800,3833,1600.0,23000.0,,,2.0,6.0,-4,1600.0,23000.0,-21400,-,
23/08/2024,12853052,12853052,5900,6700,5100,-,,76,5900,5900,5900,5900,-,5900,5900,,,525,2143,2100.0,15000.0,,,4.0,7.0,-3,2100.0,15000.0,-12900,-,
