Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,20000000,20000000,26500,29100,23900,36700,986,538,26600,26900,27000,26600,400,26853,26900,400.0,1.51,889,1341,13100,45100.0,36700,986,56,61,-5,49800,81800,-32000,-,
26/09/2024,20000000,20000000,27000,29700,24300,17000,456,530,27000,26500,27000,26500,500,26833,26500,-500.0,-1.85,833,789,18800,27200.0,17000,456,43,56,-13,35800,44200,-8400,-,
25/09/2024,20000000,20000000,27000,29700,24300,18102,489,540,26900,27000,27000,26900,100,26997,27000,,,886,811,20898,28098.0,18102,489,44,57,-13,39000,46200,-7200,-,
24/09/2024,20000000,20000000,26700,29300,24100,7600,204,540,26500,27000,27000,26500,500,26583,27000,300.0,1.12,850,661,17900,12900.0,7600,204,30,31,-1,25500,20500,5000,-,
23/09/2024,20000000,20000000,26700,29300,24100,13100,349,534,26700,26700,26700,26200,500,26629,26700,,,693,956,14600,29900.0,13100,349,40,45,-5,27700,43000,-15300,-,
20/09/2024,20000000,20000000,26600,29200,24000,11302,301,534,26600,26700,26800,26600,200,26624,26700,100.0,0.38,630,917,13898,37298.0,11302,301,40,53,-13,25200,48600,-23400,-,
19/09/2024,20000000,20000000,26800,29400,24200,7200,192,532,26500,26600,26900,26500,400,26673,26600,-200.0,-0.75,709,749,15500,23500.0,7200,192,32,41,-9,22700,30700,-8000,-,
18/09/2024,20000000,20000000,26200,28800,23600,77027,2063,536,26200,26800,27500,26200,1300,26785,26800,600.0,2.29,1281,1300,21573,38673.0,77027,2063,77,89,-12,98600,115700,-17100,-,
17/09/2024,20000000,20000000,26200,28800,23600,14200,373,524,26400,26200,26500,26100,400,26305,26200,,,953,570,16300,8600.0,14200,373,32,40,-8,30500,22800,7700,-,
16/09/2024,20000000,20000000,26200,28800,23600,8300,218,524,26300,26200,26400,26200,200,26304,26200,,,714,485,12400,14500.0,8300,218,29,47,-18,20700,22800,-2100,-,
13/09/2024,20000000,20000000,26000,28600,23400,15906,418,524,25900,26200,26300,25900,400,26284,26200,200.0,0.77,1113,900,19694,15594.0,15906,418,32,35,-3,35600,31500,4100,-,
12/09/2024,20000000,20000000,26000,28600,23400,13400,348,520,26100,26000,26100,25800,300,26004,26000,,,753,563,15200,9700.0,13400,348,38,41,-3,28600,23100,5500,-,
11/09/2024,20000000,20000000,26300,28900,23700,12900,336,520,26000,26000,26100,26000,100,26019,26000,-300.0,-1.14,714,906,18500,19700.0,12900,336,44,36,8,31400,32600,-1200,-,
10/09/2024,20000000,20000000,26400,29000,23800,14101,369,526,26500,26300,26500,26100,400,26166,26300,-100.0,-0.38,590,734,20699,31399.0,14101,369,59,62,-3,34800,45500,-10700,-,
09/09/2024,20000000,20000000,26500,29100,23900,9800,259,528,26700,26400,26700,26400,300,26455,26400,-100.0,-0.38,788,568,16200,15200.0,9800,259,33,44,-11,26000,25000,1000,-,
06/09/2024,20000000,20000000,26500,29100,23900,31500,835,530,26400,26500,26600,26400,200,26494,26500,,,1344,833,20900,9300.0,31500,835,39,49,-10,52400,40800,11600,-,
