Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,500000000,500000000,13700,15700,11700,1810,25,6850,13700,13700,13700,13600,100,13694,13700,,,1209,1455,51390,46190,1810,25,44,33,11,53200,48000,5200,-,
26/09/2024,500000000,500000000,13600,15600,11600,4206,57,6800,14500,13600,14500,13500,1000,13662,13600,,,1053,838,55794,41894,4206,57,57,55,2,60000,46100,13900,-,
25/09/2024,500000000,500000000,13700,15700,11700,19114,259,6850,13800,13700,13800,13500,300,13563,13700,,,1016,1340,50986,27786,19114,259,69,35,34,70100,46900,23200,-,
24/09/2024,500000000,500000000,13700,15700,11700,26814,372,6850,13600,13700,13800,13600,200,13710,13700,,,713,1183,28186,29486,6014,82,48,30,18,34200,35500,-1300,20800,289.0
23/09/2024,500000000,500000000,13900,15900,11900,6903,95,6850,13700,13700,13700,13600,100,13699,13700,-200.0,-1.44,648,1047,24197,30797,6903,95,48,36,12,31100,37700,-6600,-,
20/09/2024,500000000,500000000,13900,15900,11900,9900,137,6800,13900,13600,13900,13600,300,13862,13600,-300.0,-2.16,588,1419,19500,34100,9900,137,50,31,19,29400,44000,-14600,-,
19/09/2024,500000000,500000000,13800,15800,11800,1100,15,6900,13900,13800,13900,13800,100,13891,13800,,,659,1732,24600,42200,1100,15,39,25,14,25700,43300,-17600,-,
18/09/2024,500000000,500000000,13600,15600,11600,3114,43,6900,13800,13800,13800,13800,-,13800,13800,200.0,1.47,782,1496,32086,37286,3114,43,45,27,18,35200,40400,-5200,-,
17/09/2024,500000000,500000000,13700,15700,11700,806,11,6800,13500,13600,13600,13500,100,13575,13600,-100.0,-0.73,749,1465,40394,28494,806,11,55,20,35,41200,29300,11900,-,
16/09/2024,500000000,500000000,13800,15800,11800,14103,193,6850,13700,13700,13900,13700,200,13707,13700,-100.0,-0.72,1042,2003,35897,43997,14103,193,48,29,19,50000,58100,-8100,-,
13/09/2024,500000000,500000000,13700,15700,11700,1300,18,6900,13800,13800,13800,13800,-,13800,13800,100.0,0.73,851,1450,33600,30600,1300,18,41,22,19,34900,31900,3000,-,
