Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,23778900,23778900,23000,26400,19600,204,5.0,606,25500,25500,25500,25500,-,25500,25500,2500.0,10.87,870,617,8496.0,3496,204.0,5.0,10,6,4,8700,3700,5000,-,
26/09/2024,23778900,23778900,23000,26400,19600,-,,547,23000,23000,23000,23000,-,23000,23000,,,1057,1040,7400.0,5200,,,7,5,2,7400,5200,2200,-,
25/09/2024,23778900,23778900,23800,27300,20300,100,2.0,547,23000,23000,23000,23000,-,23000,23000,-800.0,-3.36,1021,683,14200.0,4000,100.0,2.0,14,6,8,14300,4100,10200,-,
24/09/2024,23778900,23778900,22600,25900,19300,300,7.0,561,22600,23600,25300,22600,2700,23833,23600,1000.0,4.42,1123,717,14300.0,8300,300.0,7.0,13,12,1,14600,8600,6000,-,
23/09/2024,23778900,23778900,22500,25800,19200,200,5.0,537,22600,22600,22600,22600,-,22600,22600,100.0,0.44,1000,1678,8800.0,14900,200.0,5.0,9,9,-,9000,15100,-6100,-,
20/09/2024,23778900,23778900,22500,25800,19200,-,,535,22500,22500,22500,22500,-,22500,22500,,,886,450,12400.0,2700,,,14,6,8,12400,2700,9700,-,
19/09/2024,23778900,23778900,24000,27600,20400,100,2.0,535,22500,22500,22500,22500,-,22500,22500,-1500.0,-6.25,806,663,13600.0,5200,100.0,2.0,17,8,9,13700,5300,8400,-,
18/09/2024,23778900,23778900,22800,26200,19400,10600,254.0,590,24000,24800,24800,23000,1800,23981,24800,2000.0,8.77,1195,994,12100.0,6300,10600.0,254.0,19,17,2,22700,16900,5800,-,
17/09/2024,23778900,23778900,23600,27100,20100,300,7.0,564,21100,23700,23700,21100,2600,22833,23700,100.0,0.42,1050,1500,10200.0,13200,300.0,7.0,10,9,1,10500,13500,-3000,-,
16/09/2024,23778900,23778900,23400,26900,19900,700,17.0,561,22600,23600,24100,22600,1500,23614,23600,200.0,0.85,700,839,7700.0,14400,700.0,17.0,12,18,-6,8400,15100,-6700,-,
13/09/2024,23778900,23778900,25600,29400,21800,2227,52.0,559,23500,23500,25500,23000,2500,23436,23500,-2100.0,-8.2,575,1618,6973.0,25273,2227.0,52.0,16,17,-1,9200,27500,-18300,-,
12/09/2024,23778900,23778900,25600,29400,21800,-,,609,25600,25600,25600,25600,-,25600,25600,,,800,444,4000.0,4000,,,5,9,-4,4000,4000,-,-,
11/09/2024,23778900,23778900,25600,29400,21800,-,,609,25600,25600,25600,25600,-,25600,25600,,,840,538,4200.0,4300,,,5,8,-3,4200,4300,-100,-,
10/09/2024,23778900,23778900,25600,29400,21800,-,,609,25600,25600,25600,25600,-,25600,25600,,,843,475,5900.0,3800,,,7,8,-1,5900,3800,2100,-,
09/09/2024,23778900,23778900,25600,29400,21800,-,,609,25600,25600,25600,25600,-,25600,25600,,,1000,313,5000.0,2500,,,5,8,-3,5000,2500,2500,-,
06/09/2024,23778900,23778900,25200,28900,21500,100,3.0,609,25600,25600,25600,25600,-,25600,25600,400.0,1.59,667,318,5900.0,3400,100.0,3.0,9,11,-2,6000,3500,2500,-,
05/09/2024,23778900,23778900,25800,29600,22000,627,16.0,611,25000,25700,25700,25000,700,25233,25700,-100.0,-0.39,683,333,7573.0,2373,627.0,16.0,12,9,3,8200,3000,5200,-,
04/09/2024,23778900,23778900,24100,27700,20500,101,3.0,613,25800,25800,25800,25800,-,25800,25800,1700.0,7.05,967,400,5699.0,2699,101.0,3.0,6,7,-1,5800,2800,3000,-,
30/08/2024,23778900,23778900,24100,27700,20500,8200,198.0,628,24100,26400,26400,23600,2800,24122,26400,2300.0,9.54,1229,1008,17600.0,3900,8200.0,198.0,21,12,9,25800,12100,13700,-,
29/08/2024,23778900,23778900,24100,27700,20500,101,2.0,573,24100,24100,24100,24100,-,24100,24100,,,1192,317,14199.0,1799,101.0,2.0,12,6,6,14300,1900,12400,-,
28/08/2024,23778900,23778900,25500,29300,21700,100,2.0,573,24100,24100,24100,24100,-,24100,24100,-1400.0,-5.49,850,275,10100.0,2100,100.0,2.0,12,8,4,10200,2200,8000,-,
27/08/2024,23778900,23778900,25000,28700,21300,2900,74.0,606,26400,25500,26400,25500,900,25531,25500,500.0,2.0,1538,640,17100.0,3500,2900.0,74.0,13,10,3,20000,6400,13600,-,
26/08/2024,23778900,23778900,26000,29900,22100,3500,87.0,594,26000,25000,26000,23500,2500,24986,25000,-1000.0,-3.85,940,536,10600.0,2400,3500.0,87.0,15,11,4,14100,5900,8200,-,
23/08/2024,23778900,23778900,26000,29900,22100,100,3.0,618,26000,26000,26000,26000,-,26000,26000,,,957,870,13300.0,8600,100.0,3.0,14,10,4,13400,8700,4700,-,
22/08/2024,23778900,23778900,25300,29000,21600,1100,29.0,618,26000,26000,26000,26000,-,26000,26000,700.0,2.77,1218,1420,12300.0,6000,1100.0,29.0,11,5,6,13400,7100,6300,-,
21/08/2024,23778900,23778900,25200,28900,21500,801,20.0,594,26300,25000,26300,25000,1300,25325,25000,-200.0,-0.79,1567,1010,17999.0,9299,801.0,20.0,12,10,2,18800,10100,8700,-,
20/08/2024,23778900,23778900,25300,29000,21600,3406,86.0,594,26400,25000,26400,25000,1400,25185,25000,-300.0,-1.19,1230,720,24894.0,3794,3406.0,86.0,23,10,13,28300,7200,21100,-,
19/08/2024,23778900,23778900,25500,29300,21700,940,24.0,606,25500,25500,25500,25000,500,25333,25500,,,700,643,16560.0,3560,940.0,24.0,25,7,18,17500,4500,13000,-,
16/08/2024,23778900,23778900,24400,28000,20800,201,5.0,606,25500,25500,25500,25500,-,25500,25500,1100.0,4.51,967,629,8499.0,4199,201.0,5.0,9,7,2,8700,4400,4300,-,
15/08/2024,23778900,23778900,27500,31600,23400,5906,144.0,571,24500,24000,24500,24000,500,24424,24000,-3500.0,-12.73,1500,794,6094.0,7594,5906.0,144.0,8,17,-9,12000,13500,-1500,-,
14/08/2024,23778900,23778900,24100,27700,20500,147,4.0,654,27500,27500,27500,27500,-,27500,27500,3400.0,14.11,864,1064,9353.0,14753,147.0,4.0,11,14,-3,9500,14900,-5400,-,
13/08/2024,23778900,23778900,25400,29200,21600,7103,171.0,573,25400,24100,25400,24100,1300,24137,24100,-1300.0,-5.12,1887,1588,21197.0,5597,7103.0,171.0,15,8,7,28300,12700,15600,-,
12/08/2024,23778900,23778900,24700,28400,21000,206,5.0,604,25400,25400,25400,25400,-,25400,25400,700.0,2.83,1631,1940,20994.0,9494,206.0,5.0,13,5,8,21200,9700,11500,-,
09/08/2024,23778900,23778900,25500,29300,21700,4608,114.0,575,25500,24200,25500,24200,1300,24652,24200,-1300.0,-5.1,1754,1454,18192.0,14292,4608.0,114.0,13,13,-,22800,18900,3900,-,
08/08/2024,23778900,23778900,24000,27600,20400,341,9.0,604,25500,25400,25500,25400,100,25467,25400,1400.0,5.83,1967,2088,17359.0,16359,341.0,9.0,9,8,1,17700,16700,1000,-,
07/08/2024,23778900,23778900,24000,27600,20400,5003,120.0,606,24000,25500,25500,24000,1500,24030,25500,1500.0,6.25,1620,1364,11197.0,9997,5003.0,120.0,10,11,-1,16200,15000,1200,-,
06/08/2024,23778900,23778900,24000,27600,20400,-,,571,24000,24000,24000,24000,-,24000,24000,,,1500,1575,9000.0,6300,,,6,4,2,9000,6300,2700,-,
05/08/2024,23778900,23778900,24000,27600,20400,1000,24.0,571,24000,24000,24000,24000,-,24000,24000,,,1938,1250,14500.0,6500,1000.0,24.0,8,6,2,15500,7500,8000,-,
02/08/2024,23778900,23778900,24000,27600,20400,-,,571,24000,24000,24000,24000,-,24000,24000,,,2750,1100,16500.0,2200,,,6,2,4,16500,2200,14300,-,
01/08/2024,23778900,23778900,24000,27600,20400,-,,571,24000,24000,24000,24000,-,24000,24000,,,1283,1150,7700.0,2300,,,6,2,4,7700,2300,5400,-,
31/07/2024,23778900,23778900,24000,27600,20400,8144,195.0,556,24000,23400,24000,23400,600,23993,23400,-600.0,-2.5,2125,1900,8856.0,3256,8144.0,195.0,8,6,2,17000,11400,5600,-,
30/07/2024,23778900,23778900,23400,26900,19900,2100,50.0,571,23900,24000,24000,23900,100,23995,24000,600.0,2.56,950,1600,5500.0,7500,2100.0,50.0,8,6,2,7600,9600,-2000,-,
29/07/2024,23778900,23778900,23500,27000,20000,5900,138.0,559,23400,23500,23500,23400,100,23449,23500,,,1200,1783,7300.0,4800,5900.0,138.0,11,6,5,13200,10700,2500,-,
26/07/2024,23778900,23778900,23200,26600,19800,13200,310.0,559,23400,23500,23500,23400,100,23499,23500,300.0,1.29,1240,2463,5400.0,6500,13200.0,310.0,15,8,7,18600,19700,-1100,-,
25/07/2024,23778900,23778900,23200,26600,19800,-,,552,23200,23200,23200,23200,-,23200,23200,,,1533,4383,9200.0,26300,,,6,6,-,9200,26300,-17100,-,
24/07/2024,23778900,23778900,23300,26700,19900,3900,91.0,564,23800,23700,23800,23200,600,23241,23700,400.0,1.72,1117,2180,16200.0,28800,3900.0,91.0,18,15,3,20100,32700,-12600,-,
23/07/2024,23778900,23778900,24100,27700,20500,5500,128.0,568,24000,23900,24000,23000,1000,23255,23900,-200.0,-0.83,721,1458,8200.0,12000,5500.0,128.0,19,12,7,13700,17500,-3800,-,
22/07/2024,23778900,23778900,23800,27300,20300,2400,58.0,602,24000,25300,25300,24000,1300,24108,25300,1500.0,6.3,840,1342,6000.0,23100,2400.0,58.0,10,19,-9,8400,25500,-17100,-,
19/07/2024,23778900,23778900,24300,27900,20700,600,14.0,571,22900,24000,24000,22900,1100,23817,24000,-300.0,-1.23,500,1256,3400.0,10700,600.0,14.0,8,9,-1,4000,11300,-7300,-,
18/07/2024,23778900,23778900,23500,27000,20000,100,2.0,578,24300,24300,24300,24300,-,24300,24300,800.0,3.4,475,686,3700.0,4700,100.0,2.0,8,7,1,3800,4800,-1000,-,
17/07/2024,23778900,23778900,23900,27400,20400,1100,26.0,547,25500,23000,25500,23000,2500,23455,23000,-900.0,-3.77,700,894,5200.0,13200,1100.0,26.0,9,16,-7,6300,14300,-8000,-,
16/07/2024,23778900,23778900,23900,27400,20400,-,,568,23900,23900,23900,23900,-,23900,23900,,,591,530,6500.0,5300,,,11,10,1,6500,5300,1200,-,
15/07/2024,23778900,23778900,23800,27300,20300,1200,29.0,571,24500,24000,24500,23300,1200,23942,24000,200.0,0.84,905,658,16900.0,6700,1200.0,29.0,20,12,8,18100,7900,10200,-,
