Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8306590,8306590,23400,26900,19900,3200,74.0,193,23200,23200,23200,23000,200,23172,23200,-200.0,-0.85,467,705,3800,11600,3200.0,74.0,15,21,-6,7000,14800,-7800,-,
26/09/2024,8306590,8306590,23700,27200,20200,2500,58.0,194,23700,23300,23700,23300,400,23356,23300,-400.0,-1.69,400,747,4300,10200,2500.0,58.0,17,17,-,6800,12700,-5900,-,
25/09/2024,8306590,8306590,23700,27200,20200,-,,197,23700,23700,23700,23700,-,23700,23700,,,408,846,4900,11000,,,12,13,-1,4900,11000,-6100,-,
24/09/2024,8306590,8306590,23800,27300,20300,1502,36.0,194,23800,23400,23800,23300,500,23671,23400,-400.0,-1.68,484,436,7698,10698,1502.0,36.0,19,28,-9,9200,12200,-3000,-,
23/09/2024,8306590,8306590,24000,27600,20400,1200,29.0,195,23600,23500,23900,23500,400,23792,23500,-500.0,-2.08,420,361,5100,5300,1200.0,29.0,15,18,-3,6300,6500,-200,-,
20/09/2024,8306590,8306590,23900,27400,20400,500,12.0,199,24000,24000,24000,24000,-,24000,24000,100.0,0.42,383,480,6400,6700,500.0,12.0,18,15,3,6900,7200,-300,-,
19/09/2024,8306590,8306590,23700,27200,20200,502,12.0,199,23900,23900,23900,23900,-,23900,23900,200.0,0.84,647,633,9198,5198,502.0,12.0,15,9,6,9700,5700,4000,-,
18/09/2024,8306590,8306590,23600,27100,20100,1500,35.0,199,23800,23900,23900,23500,400,23653,23900,300.0,1.27,455,800,8500,10500,1500.0,35.0,22,15,7,10000,12000,-2000,-,
17/09/2024,8306590,8306590,23900,27400,20400,3400,80.0,195,23800,23500,23800,23500,300,23565,23500,-400.0,-1.67,487,442,7800,5000,3400.0,80.0,23,19,4,11200,8400,2800,-,
