Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,74206940,74206940,22000,25300,18700,-,,1633,22000,22000,22000,22000,-,22000,22000,,,200,367,600,1100.0,,,3,3.0,-,600,1100.0,-500,-,
26/09/2024,74206940,74206940,22000,25300,18700,-,,1633,22000,22000,22000,22000,-,22000,22000,,,300,167,600,500.0,,,2,3.0,-1,600,500.0,100,-,
25/09/2024,74206940,74206940,22000,25300,18700,500,11.0,1633,22000,22000,22000,22000,-,22000,22000,,,275,200,600,300.0,500.0,11.0,4,4.0,-,1100,800.0,300,-,
24/09/2024,74206940,74206940,22000,25300,18700,-,,1633,22000,22000,22000,22000,-,22000,22000,,,100,150,200,300.0,,,2,2.0,-,200,300.0,-100,-,
23/09/2024,74206940,74206940,21000,24100,17900,100,2.0,1633,22000,22000,22000,22000,-,22000,22000,1000.0,4.76,75,233,200,600.0,100.0,2.0,4,3.0,1,300,700.0,-400,-,
20/09/2024,74206940,74206940,21000,24100,17900,-,,1558,21000,21000,21000,21000,-,21000,21000,,,117,400,700,400.0,,,6,1.0,5,700,400.0,300,-,
19/09/2024,74206940,74206940,20000,23000,17000,600,13.0,1558,21000,21000,21000,21000,-,21000,21000,1000.0,5.0,213,375,1100,900.0,600.0,13.0,8,4.0,4,1700,1500.0,200,-,
18/09/2024,74206940,74206940,20000,23000,17000,-,,1484,20000,20000,20000,20000,-,20000,20000,,,375,100,1500,100.0,,,4,1.0,3,1500,100.0,1400,-,
17/09/2024,74206940,74206940,19900,22800,17000,500,10.0,1484,20000,20000,20000,20000,-,20000,20000,100.0,0.5,314,500,1700,500.0,500.0,10.0,7,2.0,5,2200,1000.0,1200,-,
16/09/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,200,50,1000,100.0,,,5,2.0,3,1000,100.0,900,-,
13/09/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,400,100,1600,100.0,,,4,1.0,3,1600,100.0,1500,-,
12/09/2024,74206940,74206940,19000,21800,16200,600,12.0,1477,19900,19900,19900,19900,-,19900,19900,900.0,4.74,180,550,1200,500.0,600.0,12.0,10,2.0,8,1800,1100.0,700,-,
11/09/2024,74206940,74206940,19000,21800,16200,31,1.0,1410,19000,19000,19000,19000,-,19000,19000,,,400,100,1169,69.0,31.0,1.0,3,1.0,2,1200,100.0,1100,-,
10/09/2024,74206940,74206940,19000,21800,16200,-,,1410,19000,19000,19000,19000,-,19000,19000,,,200,-,800,,,,4,,4,800,,800,-,
09/09/2024,74206940,74206940,19000,21800,16200,1000,19.0,1410,19000,19000,19000,19000,-,19000,19000,,,388,1000,2100,1000.0,1000.0,19.0,8,2.0,6,3100,2000.0,1100,-,
06/09/2024,74206940,74206940,19000,21800,16200,2500,48.0,1410,19000,19000,19000,19000,-,19000,19000,,,369,1300,2300,100.0,2500.0,48.0,13,2.0,11,4800,2600.0,2200,-,
05/09/2024,74206940,74206940,19000,21800,16200,-,,1410,19000,19000,19000,19000,-,19000,19000,,,240,300,1200,300.0,,,5,1.0,4,1200,300.0,900,-,
04/09/2024,74206940,74206940,19000,21800,16200,-,,1410,19000,19000,19000,19000,-,19000,19000,,,260,500,1300,500.0,,,5,1.0,4,1300,500.0,800,-,
30/08/2024,74206940,74206940,19000,21800,16200,-,,1410,19000,19000,19000,19000,-,19000,19000,,,100,-,200,,,,2,,2,200,,200,-,
29/08/2024,74206940,74206940,19000,21800,16200,-,,1410,19000,19000,19000,19000,-,19000,19000,,,67,100,200,100.0,,,3,1.0,2,200,100.0,100,-,
28/08/2024,74206940,74206940,17500,20100,14900,100,2.0,1410,19000,19000,19000,19000,-,19000,19000,1500.0,8.57,167,300,400,500.0,100.0,2.0,3,2.0,1,500,600.0,-100,-,
27/08/2024,74206940,74206940,17500,20100,14900,-,,1299,17500,17500,17500,17500,-,17500,17500,,,600,200,3000,200.0,,,5,1.0,4,3000,200.0,2800,-,
26/08/2024,74206940,74206940,19900,22800,17000,100,2.0,1299,17500,17500,17500,17500,-,17500,17500,-2400.0,-12.06,800,100,5500,200.0,100.0,2.0,7,3.0,4,5600,300.0,5300,-,
23/08/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,200,100,200,100.0,,,1,1.0,-,200,100.0,100,-,
22/08/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,100,350,100,700.0,,,1,2.0,-1,100,700.0,-600,-,
21/08/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,1350,2350,5400,4700.0,,,4,2.0,2,5400,4700.0,700,-,
20/08/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,100,2350,200,4700.0,,,2,2.0,-,200,4700.0,-4500,-,
19/08/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,100,200,200,200.0,,,2,1.0,1,200,200.0,-,-,
16/08/2024,74206940,74206940,19900,22800,17000,5031,100.0,1477,19900,19900,19900,19900,-,19900,19900,,,1125,1240,3969,1169.0,5031.0,100.0,8,5.0,3,9000,6200.0,2800,-,
15/08/2024,74206940,74206940,19900,22800,17000,600,12.0,1477,19900,19900,19900,19900,-,19900,19900,,,350,600,800,,600.0,12.0,4,1.0,3,1400,600.0,800,-,
14/08/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,67,600,200,600.0,,,3,1.0,2,200,600.0,-400,-,
13/08/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,167,1600,500,4800.0,,,3,3.0,-,500,4800.0,-4300,-,
12/08/2024,74206940,74206940,19900,22800,17000,1900,38.0,1477,19900,19900,19900,19900,-,19900,19900,,,667,1300,100,700.0,1900.0,38.0,3,2.0,1,2000,2600.0,-600,-,
09/08/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,1000,2500,3000,2500.0,,,3,1.0,2,3000,2500.0,500,-,
08/08/2024,74206940,74206940,19900,22800,17000,-,,1477,19900,19900,19900,19900,-,19900,19900,,,567,933,3400,2800.0,,,6,3.0,3,3400,2800.0,600,-,
