Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,5000,1600,5000.0,1600.0,,,1.0,1.0,-,5000.0,1600.0,3400,-,
26/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,2550,2000,5100.0,2000.0,,,2.0,1.0,1,5100.0,2000.0,3100,-,
25/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,5000,4350,5000.0,8700.0,,,1.0,2.0,-1,5000.0,8700.0,-3700,-,
24/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,-,,,,,,,-,,,-,-,
23/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,8100,,8100.0,,,,1.0,-1,,8100.0,-8100,-,
20/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,4350,,8700.0,,,,2.0,-2,,8700.0,-8700,-,
19/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,-,,,,,,,-,,,-,-,
18/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,2000,1600,2000.0,1600.0,,,1.0,1.0,-,2000.0,1600.0,400,-,
17/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,8100,,8100.0,,,1.0,1.0,-,,8100.0,-8100,-,
16/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,-,,,,,,,-,,,-,-,
13/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,-,,,,,,,-,,,-,-,
12/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
11/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,8100,,8100.0,,,,1.0,-1,,8100.0,-8100,-,
10/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,-,,,,,,,-,,,-,-,
09/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,8100,,8100.0,,,,1.0,-1,,8100.0,-8100,-,
06/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,-,,,,,,,-,,,-,-,
05/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,-,8100,,8100.0,,,,1.0,-1,,8100.0,-8100,-,
04/09/2024,12027086,12027086,12400,17300,7500,-,,149,12400,12400,12400,12400,-,12400,12400,,,300,8100,300.0,8100.0,,,1.0,1.0,-,300.0,8100.0,-7800,-,
