Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,15749994,15749994,4400,5000,3800,390676,1530,61,4300,3900,4300,3800,500,3915,3900,-500.0,-11.36,1772,3900,100124.0,459624.0,390676,1530,277,218,59,490800,850300,-359500,-,
26/09/2024,15749994,15749994,4000,4600,3400,428328,1882,68,4200,4300,4600,4200,400,4395,4300,300.0,7.5,3867,2703,681472.0,382672.0,428328,1882,287,300,-13,1109800,811000,298800,-,
25/09/2024,15749994,15749994,3600,4100,3100,587679,2336,65,3800,4100,4100,3700,400,3975,4100,500.0,13.89,3228,3158,613321.0,,587679,2336,372,186,186,1201000,587400,613600,-,
24/09/2024,15749994,15749994,3600,4100,3100,590143,2140,58,3600,3700,3800,3600,200,3626,3700,100.0,2.78,5279,5550,180557.0,336757.0,590143,2140,146,167,-21,770700,926900,-156200,-,
23/09/2024,15749994,15749994,3600,4100,3100,66832,241,57,3600,3600,3600,3600,-,3600,3600,,,3321,4270,188868.0,351668.0,66832,241,77,98,-21,255700,418500,-162800,-,
20/09/2024,15749994,15749994,3600,4100,3100,72744,262,58,3700,3700,3700,3600,100,3601,3700,100.0,2.78,2789,3340,175456.0,338056.0,72744,262,89,123,-34,248200,410800,-162600,-,
19/09/2024,15749994,15749994,3500,4000,3000,170864,617,58,3600,3700,3700,3500,200,3609,3700,200.0,5.71,3185,3963,217736.0,376036.0,170864,617,122,138,-16,388600,546900,-158300,-,
18/09/2024,15749994,15749994,3500,4000,3000,120150,421,57,3500,3600,3600,3500,100,3503,3600,100.0,2.86,2305,5114,163350.0,329850.0,120150,421,123,88,35,283500,450000,-166500,-,
17/09/2024,15749994,15749994,3500,4000,3000,41200,145,57,3600,3600,3600,3500,100,3519,3600,100.0,2.86,1200,4227,57200.0,220900.0,41200,145,82,62,20,98400,262100,-163700,-,
16/09/2024,15749994,15749994,3500,4000,3000,10545,37,57,3600,3600,3600,3500,100,3507,3600,100.0,2.86,2186,4495,146855.0,245655.0,10545,37,72,57,15,157400,256200,-98800,-,
13/09/2024,15749994,15749994,3500,4000,3000,35922,126,55,3500,3500,3500,3500,-,3500,3500,,,2763,4611,179578.0,245378.0,35922,126,78,61,17,215500,281300,-65800,-,
12/09/2024,15749994,15749994,3500,4000,3000,22734,80,55,3600,3500,3600,3500,100,3500,3500,,,1329,4431,79566.0,260866.0,22734,80,77,64,13,102300,283600,-181300,-,
11/09/2024,15749994,15749994,3600,4100,3100,48925,171,57,3600,3600,3600,3500,100,3503,3600,,,1677,3769,138875.0,207375.0,48925,171,112,68,44,187800,256300,-68500,-,
10/09/2024,15749994,15749994,3700,4200,3200,44229,160,57,3800,3600,3800,3500,300,3624,3600,-100.0,-2.7,1525,4675,120471.0,441971.0,44229,160,108,104,4,164700,486200,-321500,-,
09/09/2024,15749994,15749994,3500,4000,3000,133914,495,58,3600,3700,3800,3500,300,3693,3700,200.0,5.71,2274,3245,175286.0,330186.0,133914,495,136,143,-7,309200,464100,-154900,-,
06/09/2024,15749994,15749994,3500,4000,3000,876901,2701,57,3600,3600,3600,3400,200,3545,3600,100.0,2.86,3531,3801,251999.0,239299.0,129401,459,108,97,11,381400,368700,12700,747500,2243.0
05/09/2024,15749994,15749994,3400,3900,2900,840158,2488,54,3500,3400,3600,3400,200,3474,3400,,,2104,5045,187542.0,293242.0,90158,313,132,76,56,277700,383400,-105700,750000,2175.0
