Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,381589911,381589911,12100,12900,11300,441600,5312,4579,12150,12000,12150,11950,200,12029,12000,-100.0,-0.83,1576,2145,99000.0,86400.0,441600,5312,515.0,476.0,39,811500.0,1021100.0,-209600,-,
26/09/2024,381589911,381589911,12100,12900,11300,220700,2672,4617,12100,12100,12200,12050,150,12107,12100,,,1995,1773,78200.0,78100.0,220700,2672,330.0,409.0,-79,658200.0,725000.0,-66800,-,
25/09/2024,381589911,381589911,12050,12850,11250,827700,10084,4617,12050,12100,12350,12050,300,12183,12100,50.0,0.41,10962,2608,106900.0,49200.0,827700,10084,546.0,705.0,-159,5985000.0,1838300.0,4146700,-,
24/09/2024,381589911,381589911,12050,12850,11250,271800,3258,4598,12050,12050,12100,11900,200,11987,12100,,,1733,2924,85400.0,167800.0,271800,3258,355.0,362.0,-7,615200.0,1058600.0,-443400,-,
23/09/2024,381589911,381589911,12000,12800,11200,233600,2815,4598,12000,12050,12150,12000,150,12051,12100,50.0,0.42,2351,2798,86500.0,111400.0,233600,2815,252.0,382.0,-130,592500.0,1069000.0,-476500,-,
20/09/2024,381589911,381589911,12100,12900,11300,706400,8505,4579,12100,12000,12150,12000,150,12040,12000,-100.0,-0.83,3163,2359,176600.0,112700.0,706400,8505,428.0,650.0,-222,1353900.0,1533400.0,-179500,-,
19/09/2024,381589911,381589911,11950,12750,11150,281000,3386,4617,12000,12100,12150,11950,200,12050,12100,150.0,1.26,3448,1908,53600.0,172200.0,281000,3386,340.0,434.0,-94,1172300.0,828200.0,344100,-,
18/09/2024,381589911,381589911,11950,12750,11150,453300,5408,4560,11900,11950,12000,11900,100,11930,12000,,,3675,3446,240300.0,170500.0,453300,5408,362.0,326.0,36,1330300.0,1123400.0,206900,-,
17/09/2024,381589911,381589911,11900,12700,11100,266100,3159,4560,11750,11950,11950,11750,200,11871,12000,50.0,0.42,1874,2923,89500.0,59500.0,266100,3159,396.0,266.0,130,742000.0,777500.0,-35500,-,
