Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,36002708,36002708,43550,46550,40550,10200,443,1570,43550,43600,43600,43450,150,43431,43600,50.0,0.11,682,837,3100,10600.0,10200,443,44.0,49.0,-5,30000.0,41000.0,-11000,-,
26/09/2024,36002708,36002708,43400,46400,40400,4500,196,1568,43500,43550,43800,43500,300,43556,43600,150.0,0.35,380,440,2900,10200.0,4500,196,30.0,40.0,-10,11400.0,17600.0,-6200,-,
25/09/2024,36002708,36002708,43100,46100,40100,6200,268,1563,43200,43400,43800,43200,600,43226,43400,300.0,0.7,530,586,4100,8900.0,6200,268,61.0,59.0,2,32300.0,34600.0,-2300,-,
24/09/2024,36002708,36002708,43100,46100,40100,13500,583,1552,43000,43100,44200,43000,1200,43185,43100,,,606,621,3300,3500.0,13500,583,86.0,63.0,23,52100.0,39100.0,13000,-,
23/09/2024,36002708,36002708,43100,46100,40100,1800,78,1552,44750,43100,44750,43050,1700,43333,43100,,,495,666,1500,10000.0,1800,78,59.0,76.0,-17,29200.0,50600.0,-21400,-,
20/09/2024,36002708,36002708,43600,46650,40550,8100,351,1552,43600,43100,43650,43000,650,43333,43100,-500.0,-1.15,735,535,4600,9500.0,8100,351,75.0,43.0,32,55100.0,23000.0,32100,-,
19/09/2024,36002708,36002708,43500,46500,40500,7000,305,1570,43600,43600,43600,43500,100,43571,43600,100.0,0.23,1132,350,2300,3000.0,7000,305,34.0,46.0,-12,38500.0,16100.0,22400,-,
18/09/2024,36002708,36002708,43500,46500,40500,5500,238,1566,43400,43500,43500,43200,300,43273,43500,,,1267,663,7600,3300.0,5500,238,27.0,57.0,-30,34200.0,37800.0,-3600,-,
17/09/2024,36002708,36002708,42700,45650,39750,3900,167,1566,43750,43500,43750,42700,1050,42821,43500,800.0,1.87,996,445,5100,1600.0,3900,167,56.0,71.0,-15,55800.0,31600.0,24200,-,
16/09/2024,36002708,36002708,42600,45550,39650,4800,205,1537,42600,42700,43000,42600,400,42708,42700,100.0,0.23,833,452,5900,700.0,4800,205,27.0,29.0,-2,22500.0,13100.0,9400,-,
13/09/2024,36002708,36002708,42500,45450,39550,9900,420,1534,42400,42600,42600,42300,300,42424,42600,100.0,0.24,1139,617,18000,3700.0,9900,420,61.0,30.0,31,69500.0,18500.0,51000,-,
12/09/2024,36002708,36002708,42300,45250,39350,7300,309,1530,42350,42500,42500,42350,150,42329,42500,200.0,0.47,667,1514,4000,2800.0,7300,309,39.0,22.0,17,26000.0,33300.0,-7300,-,
11/09/2024,36002708,36002708,42500,45450,39550,5800,246,1523,42500,42300,42700,42000,700,42414,42300,-200.0,-0.47,789,1081,6300,10300.0,5800,246,44.0,26.0,18,34700.0,28100.0,6600,-,
10/09/2024,36002708,36002708,42800,45750,39850,16200,690,1530,42800,42500,42900,42500,400,42593,42500,-300.0,-0.7,625,964,5000,4600.0,16200,690,36.0,53.0,-17,22500.0,51100.0,-28600,-,
09/09/2024,36002708,36002708,42850,45800,39900,6200,265,1541,42800,42800,42900,42800,100,42742,42800,-50.0,-0.12,909,953,12200,13700.0,6200,265,35.0,30.0,5,31800.0,28600.0,3200,-,
06/09/2024,36002708,36002708,42950,45950,39950,12700,545,1543,42950,42850,42950,42850,100,42913,42900,-100.0,-0.23,1333,707,1300,8700.0,12700,545,42.0,55.0,-13,56000.0,38900.0,17100,-,
05/09/2024,36002708,36002708,43000,46000,40000,21500,922,1546,42900,42950,43000,42800,200,42884,43000,-50.0,-0.12,873,725,4400,10800.0,21500,922,56.0,81.0,-25,48900.0,58700.0,-9800,-,
04/09/2024,36002708,36002708,43000,46000,40000,18000,773,1548,43350,43000,43350,42700,650,42944,43000,,,1048,573,2100,3500.0,18000,773,63.0,67.0,-4,66000.0,38400.0,27600,-,
30/08/2024,36002708,36002708,43000,46000,40000,10400,443,1548,42500,43000,43000,42500,500,42596,43000,,,327,339,5600,2500.0,10400,443,49.0,38.0,11,16000.0,12900.0,3100,-,
29/08/2024,36002708,36002708,43000,46000,40000,500,21,1548,42650,43000,43000,42650,350,42000,43000,,,1069,514,1300,2300.0,500,21,32.0,36.0,-4,34200.0,18500.0,15700,-,
28/08/2024,36002708,36002708,43400,46400,40400,4500,192,1548,43300,43000,43300,42700,600,42667,43000,-400.0,-0.92,492,365,5500,2100.0,4500,192,50.0,86.0,-36,24600.0,31400.0,-6800,-,
27/08/2024,36002708,36002708,42900,45900,39900,27300,1174,1563,42900,43400,43500,42750,750,43004,43400,500.0,1.17,1066,890,900,3600.0,27300,1174,44.0,51.0,-7,46900.0,45400.0,1500,-,
26/08/2024,36002708,36002708,43150,46150,40150,8900,385,1545,43000,42900,43500,42700,800,43258,42900,-250.0,-0.58,961,534,11200,2200.0,8900,385,64.0,50.0,14,61500.0,26700.0,34800,-,
23/08/2024,36002708,36002708,43150,46150,40150,6600,281,1554,42950,43150,43150,42500,650,42576,43200,,,727,471,1300,700.0,6600,281,66.0,35.0,31,48000.0,16500.0,31500,-,
22/08/2024,36002708,36002708,43150,46150,40150,15800,684,1554,44000,43150,44000,43150,850,43291,43200,,,803,891,1400,4800.0,15800,684,39.0,76.0,-37,31300.0,67700.0,-36400,-,
21/08/2024,36002708,36002708,43000,46000,40000,13000,559,1554,43000,43150,43200,43000,200,43000,43200,150.0,0.35,1044,510,6700,700.0,13000,559,59.0,62.0,-3,61600.0,31600.0,30000,-,
20/08/2024,36002708,36002708,43000,46000,40000,11500,491,1548,43000,43000,43100,42200,900,42696,43000,,,805,433,7300,1800.0,11500,491,85.0,79.0,6,68400.0,34200.0,34200,-,
19/08/2024,36002708,36002708,43000,46000,40000,46700,1992,1548,43000,43000,43000,42300,700,42655,43000,,,801,1254,4000,7500.0,46700,1992,122.0,85.0,37,97700.0,106600.0,-8900,-,
16/08/2024,36002708,36002708,42650,45600,39700,16900,729,1548,42500,43000,43800,42200,1600,43136,43000,350.0,0.82,906,447,2500,3300.0,16900,729,86.0,70.0,16,77900.0,31300.0,46600,-,
15/08/2024,36002708,36002708,42900,45900,39900,20100,843,1536,42050,42650,42650,41500,1150,41940,42700,-250.0,-0.58,311,605,6300,2300.0,20100,843,85.0,37.0,48,26400.0,22400.0,4000,-,
14/08/2024,36002708,36002708,43700,46750,40650,14500,624,1545,43600,42900,43600,42700,900,43034,42900,-800.0,-1.83,491,500,1700,6500.0,14500,624,33.0,42.0,-9,16200.0,21000.0,-4800,-,
13/08/2024,36002708,36002708,43200,46200,40200,11900,517,1573,43350,43700,43800,43200,600,43445,43700,500.0,1.16,435,274,5500,2600.0,11900,517,40.0,53.0,-13,17400.0,14500.0,2900,-,
12/08/2024,36002708,36002708,42400,45350,39450,14300,623,1555,42500,43200,44450,42500,1950,43566,43200,800.0,1.89,268,318,3100,5100.0,14300,623,65.0,61.0,4,17400.0,19400.0,-2000,-,
09/08/2024,36002708,36002708,42300,45250,39350,8500,359,1527,43000,42400,43000,42000,1000,42235,42400,100.0,0.24,198,280,1000,3000.0,8500,359,48.0,41.0,7,9500.0,11500.0,-2000,-,
08/08/2024,36002708,36002708,41000,43850,38150,24000,1005,1523,41000,42300,43000,40500,2500,41875,42300,1300.0,3.17,211,358,1800,4300.0,24000,1005,122.0,79.0,43,25800.0,28300.0,-2500,-,
07/08/2024,36002708,36002708,41400,44250,38550,26400,1069,1476,41400,41000,41400,40050,1350,40492,41000,-400.0,-0.97,247,724,3200,6200.0,26400,1069,120.0,45.0,75,29600.0,32600.0,-3000,-,
06/08/2024,36002708,36002708,39700,42450,36950,10400,418,1491,39750,41400,41400,39750,1650,40192,41400,1700.0,4.28,203,197,3800,1800.0,10400,418,70.0,62.0,8,14200.0,12200.0,2000,-,
05/08/2024,36002708,36002708,42500,45450,39550,95500,3891,1429,41900,39700,42000,39550,2450,40743,39700,-2800.0,-6.59,858,871,7400,8100.0,95500,3891,120.0,119.0,1,102900.0,103600.0,-700,-,
02/08/2024,36002708,36002708,43900,46950,40850,141800,6023,1530,43000,42500,43000,42000,1000,42475,42500,-1400.0,-3.19,812,1025,3500,15100.0,141800,6023,179.0,153.0,26,145300.0,156900.0,-11600,-,
01/08/2024,36002708,36002708,45500,48650,42350,87700,3856,1581,45550,43900,45800,42500,3300,43968,43900,-1600.0,-3.52,524,633,6600,6000.0,87700,3856,180.0,148.0,32,94300.0,93700.0,600,-,
31/07/2024,36002708,36002708,43400,46400,40400,99700,4434,1638,43400,45500,45800,43200,2600,44473,45500,2100.0,4.84,556,710,1000,3900.0,99700,4434,181.0,146.0,35,100700.0,103600.0,-2900,-,
30/07/2024,36002708,36002708,43900,46950,40850,42500,1826,1563,43100,43400,43400,42900,500,42965,43400,-500.0,-1.14,430,802,18500,800.0,42500,1826,142.0,54.0,88,61000.0,43300.0,17700,-,
29/07/2024,36002708,36002708,44100,47150,41050,21300,926,1581,44100,43900,44100,43000,1100,43474,43900,-200.0,-0.45,334,361,10100,5800.0,21300,926,94.0,75.0,19,31400.0,27100.0,4300,-,
