Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12000000,12000000,22600,24150,21050,9900,219.0,271,22300,22550,22550,21600,950,22121.0,22600,-50.0,-0.22,497,460,3300.0,2000.0,9900.0,219.0,39.0,62.0,-23,19400.0,28500.0,-9100,-,
26/09/2024,12000000,12000000,21650,23150,20150,14800,331.0,271,23000,22600,23000,21700,1300,22365.0,22600,950.0,4.39,596,419,2000.0,1100.0,14800.0,331.0,53.0,69.0,-16,31600.0,28900.0,2700,-,
25/09/2024,12000000,12000000,20250,21650,18850,15500,334.0,260,20550,21650,21650,20550,1100,21548.0,21700,1400.0,6.91,479,474,1700.0,,15500.0,334.0,61.0,34.0,27,29200.0,16100.0,13100,-,
24/09/2024,12000000,12000000,18950,20250,17650,11400,229.0,243,19100,20250,20250,19100,1150,20088.0,20300,1300.0,6.86,691,196,6500.0,,11400.0,229.0,56.0,70.0,-14,38700.0,13700.0,25000,-,
23/09/2024,12000000,12000000,18700,20000,17400,8600,162.0,227,18800,18950,18950,18800,150,18837.0,19000,250.0,1.34,461,514,3300.0,2100.0,8600.0,162.0,31.0,29.0,2,14300.0,14900.0,-600,-,
20/09/2024,12000000,12000000,18600,19900,17300,1500,28.0,224,18600,18700,18700,18600,100,18667.0,18700,100.0,0.54,168,607,700.0,1600.0,1500.0,28.0,25.0,14.0,11,4200.0,8500.0,-4300,-,
19/09/2024,12000000,12000000,18400,19650,17150,300,5.0,223,18600,18600,18600,18600,-,16667.0,18600,200.0,1.09,291,450,2400.0,800.0,300.0,5.0,23.0,10.0,13,6700.0,4500.0,2200,-,
18/09/2024,12000000,12000000,18400,19650,17150,400,7.0,221,18400,18400,18400,18400,-,17500.0,18400,,,358,544,2300.0,1500.0,400.0,7.0,19.0,9.0,10,6800.0,4900.0,1900,-,
17/09/2024,12000000,12000000,18300,19550,17050,1600,29.0,221,18500,18400,18500,18350,150,18125.0,18400,100.0,0.55,304,425,3200.0,1500.0,1600.0,29.0,26.0,20.0,6,7900.0,8500.0,-600,-,
