Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,220000000,219958600,9800,11200,8400,100,1.0,2178,9900,9900,9900,9900,-,9900,9900,100.0,1.02,627,1927,9300,21100.0,100.0,1.0,15,11,4,9400,21200,-11800,-,
26/09/2024,220000000,219958600,10400,11900,8900,100,1.0,2156,9800,9800,9800,9800,-,9800,9800,-600.0,-5.77,891,2318,9700,25400.0,100.0,1.0,11,11,-,9800,25500,-15700,-,
25/09/2024,220000000,219958600,10500,12000,9000,2100,22.0,2288,10100,10400,10400,10100,300,10362,10400,-100.0,-0.95,1131,4433,12600,64400.0,2100.0,22.0,13,15,-2,14700,66500,-51800,-,
24/09/2024,220000000,219958600,10500,12000,9000,-,,2310,10500,10500,10500,10500,-,10500,10500,,,600,1462,6600,19000.0,,,11,13,-2,6600,19000,-12400,-,
23/09/2024,220000000,219958600,10500,12000,9000,-,,2310,10500,10500,10500,10500,-,10500,10500,,,722,3121,6500,43700.0,,,9,14,-5,6500,43700,-37200,-,
20/09/2024,220000000,219958600,10500,12000,9000,-,,2310,10500,10500,10500,10500,-,10500,10500,,,630,1655,6300,18200.0,,,10,11,-1,6300,18200,-11900,-,
19/09/2024,220000000,219958600,10100,11600,8600,1000,11.0,2332,10300,10600,10600,10300,300,10530,10600,500.0,4.95,1080,2490,9800,23900.0,1000.0,11.0,10,10,-,10800,24900,-14100,-,
18/09/2024,220000000,219958600,9900,11300,8500,3400,34.0,2266,10100,10300,10300,10100,200,10124,10300,400.0,4.04,725,1560,14000,20000.0,3400.0,34.0,24,15,9,17400,23400,-6000,-,
17/09/2024,220000000,219958600,9900,11300,8500,-,,2178,9900,9900,9900,9900,-,9900,9900,,,746,1683,9700,10100.0,,,13,6,7,9700,10100,-400,-,
