Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
26/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
25/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
24/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
23/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
20/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
19/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
18/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
17/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
16/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
13/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
12/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
11/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
10/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
09/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
06/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
05/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
04/09/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
30/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
29/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
28/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
27/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
26/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
23/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
22/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
21/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
20/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
19/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
16/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
15/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
14/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
13/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
12/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
09/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
08/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
07/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
06/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
05/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
02/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
01/08/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
31/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
30/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
29/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
26/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
25/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
24/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
23/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
22/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
19/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
18/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
17/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
16/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
15/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
12/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
11/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
10/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
09/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
08/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
05/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
04/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
03/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
02/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
01/07/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
28/06/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
27/06/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
26/06/2024,83150661,83150661,1700,2300,1100,-,,141,1700,1700,1700,1700,-,1700.0,1700,,,-,-,,,,,,,-,,,-,-,
