Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12807000,12807000,3600,4100,3100,7308,30.0,53,4100,4100,4100,4100,-,4100,4100,500.0,13.89,424,645,13492.0,,7308.0,30.0,49,11,38,20800,7100,13700,-,
26/09/2024,12807000,12807000,3300,3700,2900,8577,30.0,47,3400,3700,3700,3400,300,3554,3700,400.0,12.12,606,473,21323.0,,7177.0,26.0,47,15,32,28500,7100,21400,1400,4.0
25/09/2024,12807000,12807000,3300,3700,2900,8900,30.0,44,3300,3400,3400,3300,100,3346,3400,100.0,3.03,611,1914,7600.0,4500.0,8900.0,30.0,27,7,20,16500,13400,3100,-,
24/09/2024,12807000,12807000,3400,3900,2900,2900,10.0,42,3400,3300,3400,3300,100,3310,3300,-100.0,-2.94,256,1427,1700.0,12800.0,2900.0,10.0,18,11,7,4600,15700,-11100,-,
23/09/2024,12807000,12807000,3400,3900,2900,2223,8.0,44,3400,3400,3400,3400,-,3400,3400,,,464,1417,2877.0,6277.0,2223.0,8.0,11,6,5,5100,8500,-3400,-,
20/09/2024,12807000,12807000,3500,4000,3000,7315,25.0,45,3400,3500,3600,3400,200,3432,3500,,,471,1393,7285.0,13585.0,7315.0,25.0,31,15,16,14600,20900,-6300,-,
19/09/2024,12807000,12807000,3500,4000,3000,544,2.0,46,3500,3600,3600,3400,200,3500,3600,100.0,2.86,177,720,1756.0,6656.0,544.0,2.0,13,10,3,2300,7200,-4900,-,
18/09/2024,12807000,12807000,3400,3900,2900,201,1.0,45,3500,3500,3500,3500,-,3500,3500,100.0,2.94,506,540,8399.0,5199.0,201.0,1.0,17,10,7,8600,5400,3200,-,
17/09/2024,12807000,12807000,3600,4100,3100,4439,15.0,44,3600,3400,3600,3400,200,3418,3400,-200.0,-5.56,646,1208,3961.0,10061.0,4439.0,15.0,13,12,1,8400,14500,-6100,-,
16/09/2024,12807000,12807000,3400,3900,2900,100,0.0,46,3600,3600,3600,3600,-,3600,3600,200.0,5.88,386,1800,2600.0,8900.0,100.0,0.0,7,5,2,2700,9000,-6300,-,
13/09/2024,12807000,12807000,3700,4200,3200,4067,14.0,44,3400,3400,3400,3400,-,3400,3400,-300.0,-8.11,673,1345,6033.0,10733.0,4067.0,14.0,15,11,4,10100,14800,-4700,-,
12/09/2024,12807000,12807000,3600,4100,3100,3600,13.0,49,3600,3800,4000,3400,600,3686,3800,200.0,5.56,772,662,10300.0,10300.0,3600.0,13.0,18,21,-3,13900,13900,-,-,
11/09/2024,12807000,12807000,3600,4100,3100,-,,46,3600,3600,3600,3600,-,3600,3600,,,1525,1356,6100.0,12200.0,,,4,9,-5,6100,12200,-6100,-,
10/09/2024,12807000,12807000,3600,4100,3100,2666,10.0,47,3600,3700,3700,3500,200,3592,3700,100.0,2.78,294,1143,2334.0,13334.0,2666.0,10.0,17,14,3,5000,16000,-11000,-,
09/09/2024,12807000,12807000,3700,4200,3200,6861,25.0,50,3700,3900,3900,3500,400,3588,3900,200.0,5.41,600,806,5739.0,7639.0,6861.0,25.0,21,18,3,12600,14500,-1900,-,
06/09/2024,12807000,12807000,3700,4200,3200,13301,49.0,47,3400,3700,3700,3400,300,3659,3700,,,1411,1407,13499.0,7799.0,13301.0,49.0,19,15,4,26800,21100,5700,-,
05/09/2024,12807000,12807000,4000,4600,3400,11285,41.0,50,4000,3900,4000,3400,600,3665,3900,-100.0,-2.5,852,1042,8315.0,13715.0,11285.0,41.0,23,24,-1,19600,25000,-5400,-,
04/09/2024,12807000,12807000,4000,4600,3400,2120,8.0,51,4000,4000,4000,4000,-,4000,4000,,,578,1008,3080.0,9980.0,2120.0,8.0,9,12,-3,5200,12100,-6900,-,
30/08/2024,12807000,12807000,3500,4000,3000,54308,217.0,51,4000,4000,4000,4000,-,4000,4000,500.0,14.29,656,1429,3392.0,,54308.0,217.0,88,38,50,57700,54300,3400,-,
29/08/2024,12807000,12807000,3600,4100,3100,2601,9.0,47,3500,3700,3800,3500,300,3535,3700,100.0,2.78,292,918,1199.0,7499.0,2601.0,9.0,13,11,2,3800,10100,-6300,-,
28/08/2024,12807000,12807000,4000,4600,3400,550,2.0,50,3500,3900,3900,3500,400,3640,3900,-100.0,-2.5,286,1208,3450.0,15150.0,550.0,2.0,14,13,1,4000,15700,-11700,-,
27/08/2024,12807000,12807000,4000,4600,3400,-,,51,4000,4000,4000,4000,-,4000,4000,,,140,2118,700.0,23300.0,,,5,11,-6,700,23300,-22600,-,
26/08/2024,12807000,12807000,4000,4600,3400,-,,51,4000,4000,4000,4000,-,4000,4000,,,257,2043,1800.0,14300.0,,,7,7,-,1800,14300,-12500,-,
23/08/2024,12807000,12807000,3800,4300,3300,1400,6.0,51,3800,4000,4000,3800,200,3957,4000,200.0,5.26,427,1192,3300.0,14100.0,1400.0,6.0,11,13,-2,4700,15500,-10800,-,
22/08/2024,12807000,12807000,4200,4800,3600,1500,6.0,51,3600,4000,4000,3600,400,3827,4000,-200.0,-4.76,519,667,9400.0,6500.0,1500.0,6.0,21,12,9,10900,8000,2900,-,
21/08/2024,12807000,12807000,4200,4800,3600,-,,54,4200,4200,4200,4200,-,4200,4200,,,150,2220,300.0,22200.0,,,2,10,-8,300,22200,-21900,-,
20/08/2024,12807000,12807000,4200,4800,3600,34,0.0,54,4200,4200,4200,4200,-,4200,4200,,,75,2300,266.0,20666.0,34.0,0.0,4,9,-5,300,20700,-20400,-,
19/08/2024,12807000,12807000,4200,4800,3600,151,1.0,54,4200,4200,4200,4200,-,4200,4200,,,600,1590,3449.0,15749.0,151.0,1.0,6,10,-4,3600,15900,-12300,-,
16/08/2024,12807000,12807000,4200,4800,3600,500,2.0,54,4200,4200,4200,4000,200,4160,4200,,,529,2471,3200.0,34100.0,500.0,2.0,7,14,-7,3700,34600,-30900,-,
15/08/2024,12807000,12807000,4200,4800,3600,100,0.0,54,4200,4200,4200,4200,-,4200,4200,,,925,2670,3600.0,26600.0,100.0,0.0,4,10,-6,3700,26700,-23000,-,
14/08/2024,12807000,12807000,4300,4900,3700,300,1.0,54,4200,4200,4200,4200,-,4200,4200,-100.0,-2.33,475,2967,1600.0,26400.0,300.0,1.0,4,9,-5,1900,26700,-24800,-,
13/08/2024,12807000,12807000,4300,4900,3700,1,0.0,55,4300,4300,4300,4300,-,4300,4300,,,440,1689,2199.0,15199.0,1.0,0.0,5,9,-4,2200,15200,-13000,-,
12/08/2024,12807000,12807000,4500,5100,3900,3405,14.0,55,3900,4300,4300,3900,400,4256,4300,-200.0,-4.44,1156,1817,6995.0,18395.0,3405.0,14.0,9,12,-3,10400,21800,-11400,-,
09/08/2024,12807000,12807000,4500,5100,3900,-,,58,4500,4500,4500,4500,-,4500,4500,,,2125,1800,8500.0,16200.0,,,4,9,-5,8500,16200,-7700,-,
08/08/2024,12807000,12807000,4500,5100,3900,317,1.0,58,4500,4500,4500,4400,100,4467,4500,,,500,657,3183.0,4283.0,317.0,1.0,7,7,-,3500,4600,-1100,-,
07/08/2024,12807000,12807000,4500,5100,3900,300,1.0,58,4500,4500,4500,4500,-,4500,4500,,,900,2033,5100.0,18000.0,300.0,1.0,6,9,-3,5400,18300,-12900,-,
06/08/2024,12807000,12807000,4900,5600,4200,21805,98.0,63,4500,4900,4900,4500,400,4502,4900,,,1027,2640,4895.0,4595.0,21805.0,98.0,26,10,16,26700,26400,300,-,
05/08/2024,12807000,12807000,4800,5500,4100,205,1.0,63,4900,4900,4900,4900,-,4900,4900,100.0,2.08,2540,2867,12495.0,16995.0,205.0,1.0,5,6,-1,12700,17200,-4500,-,
02/08/2024,12807000,12807000,4500,5100,3900,24105,116.0,63,4500,4900,4900,4500,400,4810,4900,400.0,8.89,2407,3279,11995.0,21795.0,24105.0,116.0,15,14,1,36100,45900,-9800,-,
01/08/2024,12807000,12807000,4800,5500,4100,9805,44.0,63,5000,4900,5000,4400,600,4452,4900,100.0,2.08,1000,3086,5195.0,33395.0,9805.0,44.0,15,14,1,15000,43200,-28200,-,
31/07/2024,12807000,12807000,5100,5800,4400,1502,7.0,64,5000,5000,5000,4700,300,4780,5000,-100.0,-1.96,2129,1911,13398.0,32898.0,1502.0,7.0,7,18,-11,14900,34400,-19500,-,
30/07/2024,12807000,12807000,5200,5900,4500,301,2.0,65,5200,5100,5200,5100,100,5133,5100,-100.0,-1.92,1200,1707,14099.0,23599.0,301.0,2.0,12,14,-2,14400,23900,-9500,-,
29/07/2024,12807000,12807000,5400,6200,4600,3100,16.0,68,5200,5300,5300,5200,100,5203,5300,-100.0,-1.85,880,3243,5700.0,42300.0,3100.0,16.0,10,14,-4,8800,45400,-36600,-,
26/07/2024,12807000,12807000,5400,6200,4600,8500,46.0,69,5400,5400,5400,5200,200,5388,5400,,,1483,2000,9300.0,27500.0,8500.0,46.0,12,18,-6,17800,36000,-18200,-,
25/07/2024,12807000,12807000,5400,6200,4600,-,,69,5400,5400,5400,5400,-,5400,5400,,,1057,1463,7400.0,27800.0,,,7,19,-12,7400,27800,-20400,-,
24/07/2024,12807000,12807000,5400,6200,4600,615,3.0,69,5400,5400,5400,5400,-,5400,5400,,,1000,2958,5385.0,34885.0,615.0,3.0,6,12,-6,6000,35500,-29500,-,
23/07/2024,12807000,12807000,5400,6200,4600,1100,6.0,69,5400,5400,5400,5400,-,5400,5400,,,560,2700,1700.0,42100.0,1100.0,6.0,5,16,-11,2800,43200,-40400,-,
22/07/2024,12807000,12807000,5500,6300,4700,601,3.0,70,5500,5500,5500,5300,200,5367,5500,,,163,2527,699.0,37299.0,601.0,3.0,8,15,-7,1300,37900,-36600,-,
19/07/2024,12807000,12807000,5800,6600,5000,7304,40.0,72,5300,5600,5600,5300,300,5464,5600,-200.0,-3.45,1400,1796,2496.0,39396.0,7304.0,40.0,7,26,-19,9800,46700,-36900,-,
18/07/2024,12807000,12807000,5300,6000,4600,1000,6.0,74,5800,5800,5800,5800,-,5800,5800,500.0,9.43,520,1123,1600.0,13600.0,1000.0,6.0,5,13,-8,2600,14600,-12000,-,
17/07/2024,12807000,12807000,5500,6300,4700,2480,13.0,74,5200,5800,5800,5200,600,5275,5800,300.0,5.45,847,1137,10220.0,19120.0,2480.0,13.0,15,19,-4,12700,21600,-8900,-,
16/07/2024,12807000,12807000,5800,6600,5000,6529,36.0,74,5800,5800,5800,5500,300,5542,5800,,,1492,1273,11371.0,26571.0,6529.0,36.0,12,26,-14,17900,33100,-15200,-,
15/07/2024,12807000,12807000,5800,6600,5000,-,,74,5800,5800,5800,5800,-,5800,5800,,,2775,1623,11100.0,21100.0,,,4,13,-9,11100,21100,-10000,-,
12/07/2024,12807000,12807000,5800,6600,5000,16600,96.0,76,5600,5900,5900,5600,300,5760,5900,100.0,1.72,2000,1950,1400.0,30200.0,16600.0,96.0,9,24,-15,18000,46800,-28800,-,
11/07/2024,12807000,12807000,5500,6300,4700,4300,25.0,74,5900,5800,5900,5800,100,5830,5800,300.0,5.45,1747,1409,21900.0,28100.0,4300.0,25.0,15,23,-8,26200,32400,-6200,-,
10/07/2024,12807000,12807000,5500,6300,4700,808,4.0,70,5500,5500,5500,5500,-,5500,5500,,,2200,2013,21192.0,15292.0,808.0,4.0,10,8,2,22000,16100,5900,-,
09/07/2024,12807000,12807000,5600,6400,4800,17236,95.0,73,5600,5700,5700,5100,600,5492,5700,100.0,1.79,1568,1448,26664.0,16064.0,17236.0,95.0,28,23,5,43900,33300,10600,-,
08/07/2024,12807000,12807000,5700,6500,4900,1324,7.0,73,5700,5700,5700,5600,100,5638,5700,,,2515,1011,31376.0,17876.0,1324.0,7.0,13,19,-6,32700,19200,13500,-,
05/07/2024,12807000,12807000,5700,6500,4900,604,3.0,76,5700,5900,5900,5700,200,5733,5900,200.0,3.51,2164,1738,23196.0,27196.0,604.0,3.0,11,16,-5,23800,27800,-4000,-,
04/07/2024,12807000,12807000,5900,6700,5100,1000,6.0,73,5700,5700,5700,5700,-,5700,5700,-200.0,-3.39,5014,2106,34100.0,32700.0,1000.0,6.0,7,16,-9,35100,33700,1400,-,
03/07/2024,12807000,12807000,5800,6600,5000,400,2.0,77,5800,6000,6000,5800,200,5850,6000,200.0,3.45,2727,1993,29600.0,29500.0,400.0,2.0,11,15,-4,30000,29900,100,-,
02/07/2024,12807000,12807000,5800,6600,5000,4055,24.0,77,5800,6000,6000,5800,200,5820,6000,200.0,3.45,1775,2093,31445.0,27345.0,4055.0,24.0,20,15,5,35500,31400,4100,-,
01/07/2024,12807000,12807000,5900,6700,5100,3111,18.0,74,5800,5800,5800,5800,-,5800,5800,-100.0,-1.69,2920,1645,26089.0,33089.0,3111.0,18.0,10,22,-12,29200,36200,-7000,-,
28/06/2024,12807000,12807000,5800,6600,5000,11005,65.0,76,5900,5900,5900,5900,-,5900,5900,100.0,1.72,2400,1566,36995.0,39095.0,11005.0,65.0,20,32,-12,48000,50100,-2100,-,
27/06/2024,12807000,12807000,5800,6600,5000,6309,36.0,76,5900,5900,5900,5700,200,5757,5900,100.0,1.72,2172,1930,32791.0,45791.0,6309.0,36.0,18,27,-9,39100,52100,-13000,-,
26/06/2024,12807000,12807000,5900,6700,5100,3637,21.0,78,6200,6100,6200,5500,700,5772,6100,200.0,3.39,1389,1274,33863.0,40963.0,3637.0,21.0,27,35,-8,37500,44600,-7100,-,
25/06/2024,12807000,12807000,5900,6700,5100,4330,26.0,77,6000,6000,6000,5800,200,5947,6000,100.0,1.69,1496,1748,31570.0,42870.0,4330.0,26.0,24,27,-3,35900,47200,-11300,-,
24/06/2024,12807000,12807000,5500,6300,4700,24247,144.0,77,5700,6000,6200,5700,500,5946,6000,500.0,9.09,1065,1431,39653.0,21553.0,24247.0,144.0,60,32,28,63900,45800,18100,-,
21/06/2024,12807000,12807000,5700,6500,4900,32946,181.0,76,5300,5900,5900,5300,600,5498,5900,200.0,3.51,1202,1607,42754.0,10454.0,32946.0,181.0,63,27,36,75700,43400,32300,-,
20/06/2024,12807000,12807000,6100,7000,5200,38189,218.0,74,5800,5800,6000,5300,700,5706,5800,-300.0,-4.92,989,1910,31011.0,38211.0,38189.0,218.0,70,40,30,69200,76400,-7200,-,
19/06/2024,12807000,12807000,6200,7100,5300,22600,137.0,77,6200,6000,6300,6000,300,6072,6000,-200.0,-3.23,1245,2569,18500.0,51900.0,22600.0,137.0,33,29,4,41100,74500,-33400,-,
18/06/2024,12807000,12807000,6400,7300,5500,12347,77.0,82,6200,6400,6500,6200,300,6212,6400,,,744,1342,19653.0,29253.0,12347.0,77.0,43,31,12,32000,41600,-9600,-,
17/06/2024,12807000,12807000,6300,7200,5400,17923,115.0,82,6700,6400,6700,6100,600,6393,6400,100.0,1.59,725,1539,8177.0,32877.0,17923.0,115.0,36,33,3,26100,50800,-24700,-,
14/06/2024,12807000,12807000,6600,7500,5700,30907,195.0,79,6300,6200,6400,6200,200,6296,6200,-400.0,-6.06,727,2524,6893.0,54893.0,30907.0,195.0,52,34,18,37800,85800,-48000,-,
13/06/2024,12807000,12807000,6400,7300,5500,21317,141.0,85,6400,6600,6800,6400,400,6615,6600,200.0,3.13,742,1850,10583.0,63783.0,21317.0,141.0,43,46,-3,31900,85100,-53200,-,
12/06/2024,12807000,12807000,6400,7300,5500,14600,93.0,82,6400,6400,6500,6300,200,6367,6400,,,1280,2147,17400.0,49800.0,14600.0,93.0,25,30,-5,32000,64400,-32400,-,
11/06/2024,12807000,12807000,6500,7400,5600,5600,36.0,82,6400,6400,6500,6300,200,6404,6400,-100.0,-1.54,669,1288,11800.0,26600.0,5600.0,36.0,26,25,1,17400,32200,-14800,-,
10/06/2024,12807000,12807000,6500,7400,5600,7706,50.0,82,6400,6400,6500,6200,300,6455,6400,-100.0,-1.54,646,984,23294.0,23794.0,7706.0,50.0,48,32,16,31000,31500,-500,-,
07/06/2024,12807000,12807000,6300,7200,5400,20383,132.0,82,6300,6400,6500,6200,300,6467,6400,100.0,1.59,809,2313,15217.0,32817.0,20383.0,132.0,44,23,21,35600,53200,-17600,-,
06/06/2024,12807000,12807000,6400,7300,5500,2100,13.0,83,6400,6500,6500,6300,200,6333,6500,100.0,1.56,1608,970,36500.0,20200.0,2100.0,13.0,24,23,1,38600,22300,16300,-,
05/06/2024,12807000,12807000,6300,7200,5400,924,6.0,82,6400,6400,6600,6400,200,6433,6400,100.0,1.59,819,824,20376.0,19676.0,924.0,6.0,26,25,1,21300,20600,700,-,
04/06/2024,12807000,12807000,6300,7200,5400,9271,59.0,82,6300,6400,6400,6200,200,6316,6400,100.0,1.59,1335,1217,36129.0,19929.0,9271.0,59.0,34,24,10,45400,29200,16200,-,
03/06/2024,12807000,12807000,6500,7400,5600,12990,82.0,83,6700,6500,6700,6200,500,6330,6500,,,1064,1758,33810.0,53810.0,12990.0,82.0,44,38,6,46800,66800,-20000,-,
