Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,329999929,329999929,58900,64700,53100,1170775,68311,19173,59000,58100,59000,58100,900,58458,58100,-800.0,-1.36,908,2288,499925,739825,1170775,68311,1841,835,1006,1670700,1910600,-239900,-,
26/09/2024,329999929,329999929,58900,64700,53100,958234,56400,19437,58700,58900,59200,58500,700,58853,58900,,,1019,1580,362766,663666,858234,50517,1198,963,235,1221000,1521900,-300900,100000,5883.0
25/09/2024,329999929,329999929,59300,65200,53400,909234,53780,19437,59600,58900,59600,58900,700,59199,58900,-400.0,-0.67,755,1428,210766,973566,649934,38446,1140,1137,3,860700,1623500,-762800,259300,15333.0
24/09/2024,329999929,329999929,58400,64200,52600,1594002,94100,19569,58400,59300,59500,58300,1200,59017,59300,900.0,1.54,1317,1135,491498,637698,1594002,94100,1583,1966,-383,2085500,2231700,-146200,-,
23/09/2024,329999929,329999929,58500,64300,52700,1543694,84524,19272,58500,58400,58700,58200,500,58473,58400,-100.0,-0.17,714,1290,461106,535806,476494,27855,1313,785,528,937600,1012300,-74700,1067200,56668.0
20/09/2024,329999929,329999929,58700,64500,52900,883651,51914,19305,58900,58500,59300,58400,900,58784,58500,-200.0,-0.34,977,1573,363549,1199549,883651,51914,1276,1324,-48,1247200,2083200,-836000,-,
19/09/2024,329999929,329999929,58400,64200,52600,1064163,62164,19371,52600,58700,58800,52600,6200,58369,58700,300.0,0.51,1184,1205,685137,517337,1064163,62164,1478,1312,166,1749300,1581500,167800,-,
18/09/2024,329999929,329999929,58200,64000,52400,893184,52147,19272,57000,58400,58800,52400,6400,58381,58400,200.0,0.34,1315,1377,380616,717616,893184,52147,969,1170,-201,1273800,1610800,-337000,-,
17/09/2024,329999929,329999929,57800,63500,52100,845734,48977,19206,57800,58200,58400,57700,700,57896,58200,400.0,0.69,1100,1570,370366,364566,845734,48977,1106,771,335,1216100,1210300,5800,-,
16/09/2024,329999929,329999929,58400,64200,52600,647316,37557,19074,58400,57800,58400,57800,600,58078,57800,-600.0,-1.03,1279,1729,375884,592084,647316,37557,800,717,83,1023200,1239400,-216200,-,
13/09/2024,329999929,329999929,58300,64100,52500,601957,35016,19272,58100,58400,58600,57900,700,58086,58400,100.0,0.17,1094,1228,317943,463843,601957,35016,841,868,-27,919900,1065800,-145900,-,
12/09/2024,329999929,329999929,58200,64000,52400,512935,29853,19239,58200,58300,58400,57800,600,58174,58300,100.0,0.17,1256,1350,549465,645065,512935,29853,846,858,-12,1062400,1158000,-95600,-,
11/09/2024,329999929,329999929,58600,64400,52800,931498,53900,19206,58500,58200,58500,57600,900,57833,58200,-400.0,-0.68,1041,2111,569502,514202,931498,53900,1442,685,757,1501000,1445700,55300,-,
10/09/2024,329999929,329999929,59000,64900,53100,784257,45855,19338,59000,58600,59100,58000,1100,58417,58600,-400.0,-0.68,1039,1604,458443,693143,784257,45855,1196,921,275,1242700,1477400,-234700,-,
09/09/2024,329999929,329999929,58700,64500,52900,906116,52903,19470,58700,59000,59000,57900,1100,58144,59000,300.0,0.51,1073,1486,565884,498384,906116,52903,1372,945,427,1472000,1404500,67500,-,
06/09/2024,329999929,329999929,59000,64900,53100,925337,54128,19371,58900,58700,58900,58100,800,58459,58700,-300.0,-0.51,1088,1210,717063,594663,925337,54128,1509,1256,253,1642400,1520000,122400,-,
05/09/2024,329999929,329999929,60200,66200,54200,1542999,91179,19470,60000,59000,60000,58400,1600,59111,59000,-1200.0,-1.99,922,1853,403501,835701,1542999,91179,2112,1284,828,1946500,2378700,-432200,-,
04/09/2024,329999929,329999929,60600,66600,54600,936350,56015,19866,60200,60200,60200,59500,700,59787,60200,-400.0,-0.66,1013,1511,572250,551950,936350,56015,1489,985,504,1508600,1488300,20300,-,
30/08/2024,329999929,329999929,60800,66800,54800,737476,44635,19998,60800,60600,61000,60300,700,60497,60600,-200.0,-0.33,931,1857,500924,952024,737476,44635,1330,910,420,1238400,1689500,-451100,-,
29/08/2024,329999929,329999929,60900,66900,54900,641652,38840,20064,61000,60800,61000,60300,700,60454,60800,-100.0,-0.16,972,1566,397548,938548,641652,38840,1069,1009,60,1039200,1580200,-541000,-,
28/08/2024,329999929,329999929,61000,67100,54900,725549,43936,20097,61000,60900,61000,60200,800,60483,60900,-100.0,-0.16,1253,1299,831251,802351,725549,43936,1242,1176,66,1556800,1527900,28900,-,
27/08/2024,329999929,329999929,60700,66700,54700,965137,58448,20130,60600,61000,61000,60100,900,60447,61000,300.0,0.49,1066,1518,594563,815763,965137,58448,1463,1173,290,1559700,1780900,-221200,-,
26/08/2024,329999929,329999929,61500,67600,55400,849781,51906,20031,61500,60700,62000,60700,1300,61130,60700,-800.0,-1.3,866,1174,552119,1039619,849781,51906,1619,1609,10,1401900,1889400,-487500,-,
23/08/2024,329999929,329999929,60600,66600,54600,1434893,87549,20295,60600,61500,61800,60500,1300,60933,61500,900.0,1.49,1183,1293,696507,979707,1434893,87549,1802,1867,-65,2131400,2414600,-283200,-,
22/08/2024,329999929,329999929,61700,67800,55600,1298368,79127,19998,61700,60600,61800,60600,1200,60973,60600,-1100.0,-1.78,951,1373,580532,916532,1298368,79127,1975,1613,362,1878900,2214900,-336000,-,
21/08/2024,329999929,329999929,61800,67900,55700,1226945,75375,20361,61800,61700,62000,61200,800,61413,61700,-100.0,-0.16,1118,1528,438055,734455,1226945,75375,1489,1284,205,1665000,1961400,-296400,-,
20/08/2024,329999929,329999929,61700,67800,55600,1384193,85266,20394,61000,61800,62000,61000,1000,61587,61800,100.0,0.16,920,1322,556207,1026107,1384193,85266,2109,1823,286,1940400,2410300,-469900,-,
19/08/2024,329999929,329999929,60900,66900,54900,2232274,138276,20361,60000,61700,62600,60000,2600,61948,61700,800.0,1.31,1514,1141,494526,1154026,2232274,138276,1801,2969,-1168,2726800,3386300,-659500,-,
16/08/2024,329999929,329999929,59000,64900,53100,1579357,95024,20097,59200,60900,61000,58700,2300,60134,60900,1900.0,3.22,1277,1124,380543,882243,1579357,95024,1535,2191,-656,1959900,2461600,-501700,-,
15/08/2024,329999929,329999929,59400,65300,53500,1322533,77520,19470,59100,59000,59400,58200,1200,58546,59000,-400.0,-0.67,1099,1615,664967,746167,1322533,77520,1808,1281,527,1987500,2068700,-81200,-,
14/08/2024,329999929,329999929,60000,66000,54000,854739,50930,19602,60000,59400,60200,59300,900,59627,59400,-600.0,-1.0,1117,1350,303861,1143461,854739,50930,1037,1480,-443,1158600,1998200,-839600,-,
13/08/2024,329999929,329999929,60300,66300,54300,1070098,63833,19800,60300,60000,60400,59200,1200,59556,60000,-300.0,-0.5,1178,1621,360302,873402,1070098,63833,1214,1199,15,1430400,1943500,-513100,-,
12/08/2024,329999929,329999929,59800,65700,53900,833121,49890,19899,59800,60300,60400,59200,1200,59793,60300,500.0,0.84,1306,1348,390379,738079,833121,49890,937,1166,-229,1223500,1571200,-347700,-,
09/08/2024,329999929,329999929,59200,65100,53300,1257608,74564,19734,59200,59800,59900,58700,1200,59194,59800,600.0,1.01,2003,1737,1000292,1035692,1257608,74564,1127,1320,-193,2257900,2293300,-35400,-,
08/08/2024,329999929,329999929,59000,64900,53100,730060,42993,19536,59000,59200,59200,58300,900,58787,59200,200.0,0.34,1425,1350,698740,717440,730060,42993,1003,1072,-69,1428800,1447500,-18700,-,
07/08/2024,329999929,329999929,59000,64900,53100,1407005,82371,19470,58600,59000,59100,57900,1200,58459,59000,,,1813,1276,911295,815595,1407005,82371,1279,1742,-463,2318300,2222600,95700,-,
06/08/2024,329999929,329999929,56800,62400,51200,1419428,82073,19470,56500,59000,59000,56400,2600,57626,59000,2200.0,3.87,1625,1444,739772,726772,1419428,82073,1329,1486,-157,2159200,2146200,13000,-,
05/08/2024,329999929,329999929,58400,64200,52600,2059417,117414,18744,58000,56800,58100,56600,1500,57006,56800,-1600.0,-2.74,1698,2017,505483,501083,2032617,115834,1495,1256,239,2538100,2533700,4400,26800,1580.0
02/08/2024,329999929,329999929,57200,62900,51500,1214410,69450,19272,57100,58400,58400,56600,1800,57002,58400,1200.0,2.1,1715,1115,997290,212290,1214410,69450,1290,1279,11,2211700,1426700,785000,-,
01/08/2024,329999929,329999929,59000,64900,53100,1245513,71501,18876,59000,57200,59100,56800,2300,57469,57200,-1800.0,-3.05,1232,1278,832287,722687,1245513,71501,1687,1540,147,2077800,1968200,109600,-,
31/07/2024,329999929,329999929,58900,64700,53100,1329376,77599,19470,58900,59000,59300,57300,2000,58137,59000,100.0,0.17,1025,1145,432824,485924,1329376,77599,1720,1585,135,1762200,1815300,-53100,-,
30/07/2024,329999929,329999929,58500,64300,52700,1200593,71145,19437,58500,58900,59900,58200,1700,59296,58900,400.0,0.68,1208,1252,283607,1101507,1200593,71145,1229,1839,-610,1484200,2302100,-817900,-,
29/07/2024,329999929,329999929,57700,63400,52000,439465,25559,19305,58000,58500,58800,57700,1100,58086,58500,800.0,1.39,967,967,323135,518235,439465,25559,789,990,-201,762600,957700,-195100,-,
26/07/2024,329999929,329999929,57000,62700,51300,622038,35902,19041,57000,57700,58200,57000,1200,57719,57700,700.0,1.23,1318,1221,644462,601262,622038,35902,961,1002,-41,1266500,1223300,43200,-,
25/07/2024,329999929,329999929,58200,64000,52400,789728,45167,18810,58200,57000,58200,57000,1200,57170,57000,-1200.0,-2.06,1221,1406,1000272,515672,659728,37709,1360,836,524,1660000,1175400,484600,130000,7458.0
24/07/2024,329999929,329999929,57800,63500,52100,1755184,100047,19206,57800,58200,58200,56300,1900,56880,58200,400.0,0.69,1170,1521,1399016,307416,1755184,100047,2697,1356,1341,3154200,2062600,1091600,-,
23/07/2024,329999929,329999929,59400,65300,53500,1456442,84810,19074,59400,57800,59400,57800,1600,58342,57800,-1600.0,-2.69,1249,1048,531158,526258,1326442,77270,1487,1768,-281,1857600,1852700,4900,130000,7540.0
22/07/2024,329999929,329999929,59500,65400,53600,1261014,73856,19602,59500,59400,59500,58000,1500,58453,59400,-100.0,-0.17,1244,1325,828186,477686,1261014,73856,1680,1312,368,2089200,1738700,350500,-,
19/07/2024,329999929,329999929,60000,66000,54000,747185,44242,19635,60000,59500,60000,58700,1300,59163,59500,-500.0,-0.83,1097,1189,839415,618115,747185,44242,1446,1148,298,1586600,1365300,221300,-,
18/07/2024,329999929,329999929,58500,64300,52700,1222278,71860,19800,58400,60000,60000,58200,1800,58632,60000,1500.0,2.56,1284,1217,940522,321722,1222278,71860,1684,1269,415,2162800,1544000,618800,-,
17/07/2024,329999929,329999929,60100,66100,54100,2001381,118579,19305,60300,58500,60600,58100,2500,59296,58500,-1600.0,-2.66,952,1532,619219,738519,2001381,118579,2754,1788,966,2620600,2739900,-119300,-,
16/07/2024,329999929,329999929,60000,66000,54000,1371033,82433,19833,60000,60100,60500,59800,700,60128,60100,100.0,0.17,1016,1581,529367,645767,1371033,82433,1870,1276,594,1900400,2016800,-116400,-,
15/07/2024,329999929,329999929,61200,67300,55100,1877930,113384,19800,61200,60000,61600,60000,1600,60405,60000,-1200.0,-1.96,896,1367,977570,398170,1877930,113384,3186,1665,1521,2855500,2276100,579400,-,
12/07/2024,329999929,329999929,61600,67700,55500,1022181,62994,20196,61700,61200,62000,61200,800,61596,61200,-400.0,-0.65,726,1405,407119,769719,932181,57386,1846,1211,635,1339300,1701900,-362600,90000,5608.0
11/07/2024,329999929,329999929,61900,68000,55800,813685,50383,20328,62000,61600,62500,61600,900,61956,61600,-300.0,-0.48,928,1160,357315,865615,813685,50383,1262,1448,-186,1171000,1679300,-508300,-,
10/07/2024,329999929,329999929,62500,68700,56300,1268813,79102,20427,62500,61900,62900,61900,1000,62355,61900,-600.0,-0.96,983,945,312187,1105987,1178813,73477,1517,2418,-901,1491000,2284800,-793800,90000,5625.0
09/07/2024,329999929,329999929,62000,68200,55800,1429584,88805,20625,62000,62500,62700,61800,900,62027,62500,500.0,0.81,1210,1123,380616,847616,1429584,88805,1496,2028,-532,1810200,2277200,-467000,-,
08/07/2024,329999929,329999929,61000,67100,54900,2188791,135550,20460,61000,62000,62800,61000,1800,61923,62000,1000.0,1.64,1151,1137,588609,1185509,2188791,135550,2413,2967,-554,2777400,3374300,-596900,-,
05/07/2024,329999929,329999929,61000,67100,54900,1290949,78035,20130,61000,61000,61100,60000,1100,60371,61000,,,900,2021,679851,944351,1290949,78035,2189,1106,1083,1970800,2235300,-264500,-,
04/07/2024,329999929,329999929,61100,67200,55000,588416,35881,20130,61100,61000,61400,60700,700,60972,61000,-100.0,-0.16,1201,1529,637884,827884,588416,35881,1021,926,95,1226300,1416300,-190000,-,
03/07/2024,329999929,329999929,60900,66900,54900,849349,51767,20163,61000,61100,61200,60700,500,60914,61100,200.0,0.33,1150,1293,430551,733551,849349,51767,1113,1224,-111,1279900,1582900,-303000,-,
02/07/2024,329999929,329999929,60100,66100,54100,1021678,61668,20097,60500,60900,60900,59900,1000,60215,60900,800.0,1.33,1309,1060,696322,573922,899678,54283,1219,1390,-171,1596000,1473600,122400,122000,7384.0
01/07/2024,329999929,329999929,59700,65600,53800,700293,41695,19833,58700,60100,60100,58700,1400,59418,60100,400.0,0.67,937,1593,836907,528007,700293,41695,1640,771,869,1537200,1228300,308900,-,
28/06/2024,329999929,329999929,60600,66600,54600,1046083,62974,19701,60600,59700,60800,59700,1100,60333,59700,-900.0,-1.49,911,1606,482417,1070417,1046083,62974,1677,1318,359,1528500,2116500,-588000,-,
27/06/2024,329999929,329999929,60600,66600,54600,1132014,68691,19998,60800,60600,61400,60200,1200,60687,60600,,,1213,1797,687086,1020686,1132014,68691,1500,1198,302,1819100,2152700,-333600,-,
