Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,273172668,273172668,9370,10000,8720,2024500,19235,2609,9400,9550,9680,9350,330,9501,9600,180.0,1.92,2927,2546,37700.0,28200.0,2024500,19235,1347.0,1751.0,-404,3943300.0,4458400.0,-515100,-,
26/09/2024,273172668,273172668,9370,10000,8720,841600,7912,2560,9380,9370,9470,9340,130,9401,9400,,,2377,2755,80600.0,41200.0,841600,7912,828.0,913.0,-85,1967800.0,2515600.0,-547800,-,
25/09/2024,273172668,273172668,9260,9900,8620,866200,8087,2560,9400,9370,9400,9290,110,9336,9400,110.0,1.19,2220,1845,12900.0,59900.0,866200,8087,806.0,943.0,-137,1789100.0,1739600.0,49500,-,
24/09/2024,273172668,273172668,9250,9890,8610,531800,4912,2530,9230,9260,9280,9200,80,9237,9300,10.0,0.11,1578,2760,48200.0,62500.0,531800,4912,836.0,465.0,371,1319500.0,1283500.0,36000,-,
23/09/2024,273172668,273172668,9330,9980,8680,696100,6464,2527,9300,9250,9350,9230,120,9286,9300,-80.0,-0.86,1508,4077,29300.0,34900.0,696100,6464,775.0,462.0,313,1169000.0,1883700.0,-714700,-,
20/09/2024,273172668,273172668,9360,10000,8710,937100,8784,2549,9450,9330,9460,9330,130,9374,9300,-30.0,-0.32,2109,2768,57000.0,20100.0,937100,8784,813.0,810.0,3,1714400.0,2242000.0,-527600,-,
19/09/2024,273172668,273172668,9330,9980,8680,364800,3407,2557,9370,9360,9390,9300,90,9339,9400,30.0,0.32,1687,2269,20600.0,13200.0,364800,3407,568.0,535.0,33,958100.0,1213700.0,-255600,-,
18/09/2024,273172668,273172668,9220,9860,8580,755200,7055,2549,9220,9330,9400,9220,180,9342,9300,110.0,1.19,2302,1866,19100.0,5600.0,755200,7055,710.0,919.0,-209,1634100.0,1714800.0,-80700,-,
17/09/2024,273172668,273172668,9150,9790,8510,621400,5693,2519,9240,9220,9240,9120,120,9162,9200,70.0,0.77,1672,2535,73300.0,22800.0,621400,5693,957.0,404.0,553,1600400.0,1024300.0,576100,-,
