Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,377748384,377748384,13700,14650,12750,1648900,22645,5175,13700,13700,13800,13650,150,13726,13700,,,3278,3912,207200.0,195800.0,1628900,22359,816.0,984.0,-168,2674900.0,3849200.0,-1174300,20000,286.0
26/09/2024,377748384,377748384,13550,14450,12650,2524400,34783,5175,13850,13700,13900,13650,250,13779,13700,150.0,1.11,3992,4087,134700.0,358200.0,2524400,34783,1159.0,1381.0,-222,4627100.0,5644000.0,-1016900,-,
25/09/2024,377748384,377748384,14100,15050,13150,3233500,45860,5383,14150,14250,14250,14050,200,14183,13500,150.0,1.06,4763,4394,570900.0,345500.0,3233500,45860,1356.0,1511.0,-155,6458100.0,6638600.0,-180500,-,
24/09/2024,377748384,377748384,14050,15000,13100,1822400,25630,5326,14050,14100,14150,14000,150,14064,13400,50.0,0.36,3434,4675,243500.0,349200.0,1822400,25630,967.0,905.0,62,3320600.0,4230600.0,-910000,-,
23/09/2024,377748384,377748384,14050,15000,13100,1814600,25605,5307,14100,14050,14200,14000,200,14111,13400,,,4642,4105,222300.0,157700.0,1814600,25605,817.0,934.0,-117,3792400.0,3834000.0,-41600,-,
20/09/2024,377748384,377748384,14150,15100,13200,1751100,24822,5307,14200,14050,14250,14050,200,14176,13400,-100.0,-0.71,4276,3093,182900.0,98400.0,1701100,24114,1000.0,1374.0,-374,4275600.0,4250000.0,25600,50000,708.0
19/09/2024,377748384,377748384,13950,14900,13000,1525400,21479,5345,14100,14150,14150,14000,150,14081,13500,200.0,1.43,5571,3796,203700.0,305900.0,1525400,21479,825.0,980.0,-155,4595700.0,3720000.0,875700,-,
18/09/2024,377748384,377748384,14100,15050,13150,1389300,19509,5270,14150,13950,14150,13900,250,14036,13300,-150.0,-1.06,4542,5286,254600.0,55500.0,1339300,18799,933.0,786.0,147,4238100.0,4154800.0,83300,50000,710.0
17/09/2024,377748384,377748384,13850,14800,12900,658800,9200,5326,13900,14100,14100,13850,250,13965,13400,250.0,1.81,4461,3834,72600.0,231600.0,658800,9200,654.0,585.0,69,2917400.0,2242800.0,674600,-,
16/09/2024,377748384,377748384,13850,14800,12900,1525800,21345,5232,13950,13850,14200,13850,350,13989,13200,,,5535,4700,124700.0,96700.0,1525800,21345,804.0,1013.0,-209,4449800.0,4760700.0,-310900,-,
13/09/2024,377748384,377748384,13900,14850,12950,406400,5636,5232,13800,13850,13950,13800,150,13868,13200,-50.0,-0.36,4250,4781,106600.0,381800.0,406400,5636,511.0,527.0,-16,2171900.0,2519400.0,-347500,-,
12/09/2024,377748384,377748384,13750,14700,12800,1318100,18353,5251,13800,13900,14000,13800,200,13924,13200,150.0,1.09,5910,4263,441700.0,285600.0,1318100,18353,522.0,838.0,-316,3085200.0,3572100.0,-486900,-,
11/09/2024,377748384,377748384,13750,14700,12800,1333800,18253,5194,13700,13750,13850,13550,300,13685,13100,,,4309,5001,439800.0,154000.0,1333800,18253,911.0,643.0,268,3925100.0,3215400.0,709700,-,
10/09/2024,377748384,377748384,13800,14750,12850,1195700,16447,5194,13950,13750,13950,13600,350,13755,13100,-50.0,-0.36,3819,5435,109700.0,99500.0,1195700,16447,1039.0,700.0,339,3967500.0,3804800.0,162700,-,
09/09/2024,377748384,377748384,13900,14850,12950,952100,13210,5213,13850,13800,14000,13800,200,13875,13100,-100.0,-0.72,2935,5828,180500.0,40600.0,952100,13210,653.0,606.0,47,1916600.0,3531600.0,-1615000,-,
06/09/2024,377748384,377748384,13850,14800,12900,848200,11764,5251,13850,13900,14000,13800,200,13869,13200,50.0,0.36,3794,5362,231300.0,161100.0,848200,11764,793.0,582.0,211,3008500.0,3120400.0,-111900,-,
05/09/2024,377748384,377748384,14000,14950,13050,1816400,25434,5232,14150,13850,14200,13850,350,14002,13200,-150.0,-1.07,4306,5941,140300.0,148400.0,1816400,25434,829.0,856.0,-27,3569300.0,5085600.0,-1516300,-,
04/09/2024,377748384,377748384,13950,14900,13000,1551000,21632,5288,13850,14000,14050,13800,250,13947,13300,50.0,0.36,3386,5403,66300.0,148600.0,1551000,21632,990.0,779.0,211,3351800.0,4208900.0,-857100,-,
30/08/2024,377748384,377748384,13950,14900,13000,1942000,27248,5270,14100,13950,14150,13950,200,14031,13300,,,4349,5231,411000.0,50900.0,1942000,27248,541.0,381.0,160,2353000.0,1992900.0,360100,-,
29/08/2024,377748384,377748384,14150,15100,13200,3249200,45568,5270,14150,13950,14200,13850,350,14024,13300,-200.0,-1.41,3458,6646,404400.0,72400.0,3249200,45568,1714.0,985.0,729,5927300.0,6546300.0,-619000,-,
28/08/2024,377748384,377748384,14200,15150,13250,1534200,21753,5345,14300,14150,14400,14000,400,14179,13500,-50.0,-0.35,4044,4554,222300.0,181700.0,1534200,21753,1177.0,1050.0,127,4759700.0,4782100.0,-22400,-,
27/08/2024,377748384,377748384,14400,15400,13400,1823400,26114,5364,14450,14200,14500,14200,300,14315,13500,-200.0,-1.39,3021,4433,138200.0,112100.0,1803400,25816,1055.0,1115.0,-60,3187100.0,4942600.0,-1755500,20000,298.0
26/08/2024,377748384,377748384,14250,15200,13300,2803400,40519,5440,14350,14400,14600,14300,300,14454,13700,150.0,1.05,5328,3222,128700.0,128000.0,2803400,40519,1188.0,1846.0,-658,6329100.0,5948100.0,381000,-,
23/08/2024,377748384,377748384,14400,15400,13400,2858200,40862,5383,14450,14250,14450,14200,250,14296,13500,-150.0,-1.04,3414,4989,372800.0,99700.0,2858200,40862,1621.0,1192.0,429,5534100.0,5947300.0,-413200,-,
22/08/2024,377748384,377748384,14450,15450,13450,2113600,30539,5440,14450,14400,14550,14400,150,14449,13700,-50.0,-0.35,4255,4124,356500.0,171500.0,2113600,30539,1228.0,1303.0,-75,5225500.0,5373200.0,-147700,-,
21/08/2024,377748384,377748384,14600,15600,13600,2505200,36449,5458,14650,14450,14750,14400,350,14549,13700,-150.0,-1.03,4460,5463,465400.0,213600.0,2505200,36449,1410.0,1375.0,35,6289000.0,7511900.0,-1222900,-,
20/08/2024,377748384,377748384,14400,15400,13400,3532700,51515,5515,14450,14600,14800,14350,450,14582,13900,200.0,1.39,8596,4360,156000.0,163000.0,3532700,51515,1502.0,1743.0,-241,12911900.0,7599300.0,5312600,-,
19/08/2024,377748384,377748384,14450,15450,13450,1825400,26459,5440,14600,14400,14650,14350,300,14495,13700,-50.0,-0.35,4095,4736,252200.0,164800.0,1825400,26459,1111.0,1147.0,-36,4549600.0,5432300.0,-882700,-,
16/08/2024,377748384,377748384,13950,14900,13000,4360500,62838,5458,14150,14450,14650,14000,650,14411,13700,500.0,3.58,7798,4201,216100.0,151800.0,4360500,62838,1627.0,2004.0,-377,12687800.0,8418000.0,4269800,-,
15/08/2024,377748384,377748384,13900,14850,12950,1224700,17079,5270,14050,13950,14050,13800,250,13945,13300,50.0,0.36,2324,3029,72200.0,144200.0,1224700,17079,558.0,452.0,106,1296900.0,1368900.0,-72000,-,
14/08/2024,377748384,377748384,13900,14850,12950,2429400,34350,5251,14000,13900,14350,13900,450,14139,13200,,,3869,4016,158700.0,64600.0,2429400,34350,669.0,621.0,48,2588100.0,2494000.0,94100,-,
13/08/2024,377748384,377748384,13950,14900,13000,1180500,16524,5251,14000,13900,14150,13850,300,13997,13200,-50.0,-0.36,2130,2305,129200.0,61700.0,1180500,16524,615.0,539.0,76,1309700.0,1242200.0,67500,-,
12/08/2024,377748384,377748384,13950,14900,13000,991200,13834,5270,14050,13950,14050,13850,200,13957,13300,,,2129,2903,39300.0,263000.0,991200,13834,484.0,432.0,52,1030500.0,1254200.0,-223700,-,
09/08/2024,377748384,377748384,13650,14600,12700,1602000,22272,5270,13900,13950,14050,13750,300,13903,13300,300.0,2.2,2823,3724,114100.0,330700.0,1602000,22272,608.0,519.0,89,1716100.0,1932700.0,-216600,-,
08/08/2024,377748384,377748384,13850,14800,12900,2775900,38062,5156,13650,13650,14100,13500,600,13712,13000,-200.0,-1.44,2917,4770,103000.0,134000.0,2775900,38062,987.0,610.0,377,2878900.0,2909900.0,-31000,-,
07/08/2024,377748384,377748384,13900,14850,12950,1100800,15187,5232,13950,13850,13950,13600,350,13796,13200,-50.0,-0.36,2311,2384,158900.0,133900.0,1100800,15187,545.0,518.0,27,1259700.0,1234700.0,25000,-,
06/08/2024,377748384,377748384,13350,14250,12450,2525800,34404,5251,13500,13900,13900,13350,550,13621,13200,550.0,4.12,4087,3621,171500.0,262300.0,2525800,34404,660.0,770.0,-110,2697300.0,2788100.0,-90800,-,
05/08/2024,377748384,377748384,14200,15150,13250,4848200,65861,5043,14000,13350,14050,13250,800,13585,12700,-850.0,-5.99,6070,8342,657700.0,65100.0,4848200,65861,907.0,589.0,318,5505900.0,4913300.0,592600,-,
02/08/2024,377748384,377748384,13800,14750,12850,2044600,28477,5364,13650,14200,14350,13650,700,13928,13500,400.0,2.9,2653,3247,237300.0,88600.0,2044600,28477,860.0,657.0,203,2281900.0,2133200.0,148700,-,
01/08/2024,377748384,377748384,14750,15750,13750,9667200,136652,5213,14750,13800,14800,13750,1050,14136,13100,-950.0,-6.44,5730,9332,451200.0,57100.0,9667200,136652,1766.0,1042.0,724,10118400.0,9724300.0,394100,-,
31/07/2024,377748384,377748384,14950,15950,13950,2916200,43425,5572,14950,14750,15250,14600,650,14891,14000,-200.0,-1.34,3598,4147,185000.0,123900.0,2916200,43425,862.0,733.0,129,3101200.0,3040100.0,61100,-,
30/07/2024,377748384,377748384,15250,16300,14200,3634000,54836,5647,15400,14950,15400,14800,600,15090,14200,-300.0,-1.97,3627,4675,192700.0,120400.0,3634000,54836,1055.0,803.0,252,3826700.0,3754400.0,72300,-,
29/07/2024,377748384,377748384,15300,16350,14250,5294700,81355,5761,15350,15250,15550,15150,400,15365,14500,-50.0,-0.33,5471,5829,219800.0,120100.0,5294700,81355,1008.0,929.0,79,5514500.0,5414800.0,99700,-,
26/07/2024,377748384,377748384,14950,15950,13950,3264400,49897,5780,14950,15300,15500,14950,550,15285,14500,350.0,2.34,3482,3058,50000.0,219200.0,3264400,49897,952.0,1139.0,-187,3314400.0,3483600.0,-169200,-,
25/07/2024,377748384,377748384,14850,15850,13850,2542000,37411,5647,14700,14950,15050,14400,650,14717,14200,100.0,0.67,3475,3670,50300.0,122300.0,2542000,37411,746.0,726.0,20,2592300.0,2664300.0,-72000,-,
24/07/2024,377748384,377748384,14450,15450,13450,1725200,25203,5610,14450,14850,14950,14350,600,14609,14100,400.0,2.77,2239,2643,21000.0,119800.0,1725200,25203,780.0,698.0,82,1746200.0,1845000.0,-98800,-,
23/07/2024,377748384,377748384,14700,15700,13700,2273700,33357,5458,14850,14450,14950,14450,500,14671,13700,-250.0,-1.7,3601,3929,102700.0,111300.0,2273700,33357,660.0,607.0,53,2376400.0,2385000.0,-8600,-,
22/07/2024,377748384,377748384,14750,15750,13750,3285700,48198,5553,14800,14700,15000,14400,600,14669,14000,-50.0,-0.34,3152,4129,55600.0,96200.0,3285700,48198,1060.0,819.0,241,3341300.0,3381900.0,-40600,-,
19/07/2024,377748384,377748384,14950,15950,13950,2163500,32246,5572,14900,14750,15150,14700,450,14878,14000,-200.0,-1.34,2697,3500,168600.0,97300.0,2083500,30998,835.0,623.0,212,2252100.0,2180800.0,71300,80000,1248.0
18/07/2024,377748384,377748384,14650,15650,13650,3628800,53698,5647,14650,14950,15200,14600,600,14798,14200,300.0,2.05,3283,4196,159800.0,17700.0,3628800,53698,1154.0,869.0,285,3788600.0,3646500.0,142100,-,
17/07/2024,377748384,377748384,15700,16750,14650,8251400,124881,5534,15800,14650,15800,14650,1150,15129,13900,-1050.0,-6.69,4908,7024,,75000.0,8171400,123625,1665.0,1174.0,491,8171400.0,8246400.0,-75000,80000,1256.0
16/07/2024,377748384,377748384,16000,17100,14900,4077600,64772,5931,16000,15700,16150,15700,450,15885,14900,-300.0,-1.88,3731,3903,112300.0,246900.0,4077600,64772,1123.0,1108.0,15,4189900.0,4324500.0,-134600,-,
15/07/2024,377748384,377748384,15700,16750,14650,8910100,142303,6044,15700,16000,16100,15700,400,15971,15200,300.0,1.91,6184,5189,43800.0,648200.0,8910100,142303,1448.0,1842.0,-394,8953900.0,9558300.0,-604400,-,
12/07/2024,377748384,377748384,15650,16700,14600,2736500,42651,5931,15650,15700,15750,15350,400,15585,14900,50.0,0.32,2736,3647,114500.0,379900.0,2676500,41712,1020.0,838.0,182,2791000.0,3056400.0,-265400,60000,939.0
11/07/2024,377748384,377748384,15400,16450,14350,3664400,57394,5912,15550,15650,15900,15450,450,15663,14900,250.0,1.62,3889,3220,224100.0,485600.0,3664400,57394,1000.0,1289.0,-289,3888500.0,4150000.0,-261500,-,
