Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,18529939,18529939,4700,5400,4000,9296,44,89,4700,4800,4800,4700,100,4760,4800,100.0,2.13,2450,3514,44604,64504.0,9296,44,22,21,1,53900,73800,-19900,-,
26/09/2024,18529939,18529939,4800,5500,4100,28608,135,87,4900,4700,4900,4700,200,4712,4700,-100.0,-2.08,2663,3764,21992,76792.0,28608,135,19,28,-9,50600,105400,-54800,-,
25/09/2024,18529939,18529939,4600,5200,4000,10862,52,89,4700,4800,4800,4700,100,4755,4800,200.0,4.35,2321,2510,54138,39338.0,10862,52,28,20,8,65000,50200,14800,-,
24/09/2024,18529939,18529939,4600,5200,4000,12228,56,85,4600,4600,4700,4600,100,4604,4600,,,1161,2736,26072,56172.0,12228,56,33,25,8,38300,68400,-30100,-,
23/09/2024,18529939,18529939,4700,5400,4000,7181,33,85,4700,4600,4700,4600,100,4635,4600,-100.0,-2.13,868,3915,11919,98519.0,7181,33,22,27,-5,19100,105700,-86600,-,
20/09/2024,18529939,18529939,4800,5500,4100,20504,96,87,4700,4700,4700,4600,100,4670,4700,-100.0,-2.08,1508,2567,33796,79596.0,20504,96,36,39,-3,54300,100100,-45800,-,
19/09/2024,18529939,18529939,4800,5500,4100,6570,31,87,4800,4700,4800,4700,100,4788,4700,-100.0,-2.08,1117,3389,26930,115430.0,6570,31,30,36,-6,33500,122000,-88500,-,
18/09/2024,18529939,18529939,4800,5500,4100,6244,30,89,4900,4800,5000,4100,900,4793,4800,,,1758,2371,27156,90956.0,6244,30,19,41,-22,33400,97200,-63800,-,
17/09/2024,18529939,18529939,4900,5600,4200,18681,90,91,4900,4900,4900,4800,100,4808,4900,,,1241,5104,27219,124219.0,18681,90,37,28,9,45900,142900,-97000,-,
16/09/2024,18529939,18529939,5000,5700,4300,110240,480,89,5000,4800,5000,4800,200,4856,4800,-200.0,-4.0,1615,4040,22060,131160.0,10240,50,20,35,-15,32300,141400,-109100,100000,430.0
13/09/2024,18529939,18529939,5000,5700,4300,59207,295,93,5000,5000,5100,4900,200,4976,5000,,,1193,4784,9993,122593.0,59207,295,58,38,20,69200,181800,-112600,-,
12/09/2024,18529939,18529939,4900,5600,4200,22598,113,93,4900,5000,5000,4900,100,4982,5000,100.0,2.04,2194,3094,45402,85702.0,22598,113,31,35,-4,68000,108300,-40300,-,
11/09/2024,18529939,18529939,5000,5700,4300,18568,91,93,5000,5000,5000,4900,100,4902,5000,,,1505,3920,14532,118632.0,18568,91,22,35,-13,33100,137200,-104100,-,
10/09/2024,18529939,18529939,5000,5700,4300,37646,190,93,5000,5000,5100,5000,100,5035,5000,,,2163,4279,38054,146354.0,37646,190,35,43,-8,75700,184000,-108300,-,
09/09/2024,18529939,18529939,4800,5500,4100,80918,403,93,4800,5000,5100,4800,300,4978,5000,200.0,4.17,3134,2798,56982,84182.0,80918,403,44,59,-15,137900,165100,-27200,-,
06/09/2024,18529939,18529939,4800,5500,4100,17628,85,91,4800,4900,4900,4700,200,4829,4900,100.0,2.08,2408,3250,44972,79872.0,17628,85,26,30,-4,62600,97500,-34900,-,
05/09/2024,18529939,18529939,5000,5700,4300,40836,198,89,4900,4800,5000,4700,300,4843,4800,-200.0,-4.0,2525,3659,60164,109164.0,40836,198,40,41,-1,101000,150000,-49000,-,
04/09/2024,18529939,18529939,5000,5700,4300,13379,66,91,5000,4900,5000,4900,100,4962,4900,-100.0,-2.0,2009,4252,32821,126921.0,13379,66,23,33,-10,46200,140300,-94100,-,
30/08/2024,18529939,18529939,5000,5700,4300,44815,223,93,4900,5000,5100,4800,300,4966,5000,,,2785,3579,63785,126985.0,44815,223,39,48,-9,108600,171800,-63200,-,
29/08/2024,18529939,18529939,5000,5700,4300,36968,183,91,5000,4900,5100,4900,200,4954,4900,-100.0,-2.0,1908,3576,37432,138232.0,36968,183,39,49,-10,74400,175200,-100800,-,
28/08/2024,18529939,18529939,5000,5700,4300,26476,131,95,5000,5100,5100,4900,200,4952,5100,100.0,2.0,2110,3546,57924,143724.0,26476,131,40,48,-8,84400,170200,-85800,-,
27/08/2024,18529939,18529939,5000,5700,4300,17331,86,93,5000,5000,5100,4900,200,4986,5000,,,2158,2484,64669,106869.0,17331,86,38,50,-12,82000,124200,-42200,-,
26/08/2024,18529939,18529939,4900,5600,4200,66345,328,93,5000,5000,5100,4900,200,4950,5000,100.0,2.04,2251,3700,95755,96455.0,66345,328,72,44,28,162100,162800,-700,-,
23/08/2024,18529939,18529939,5000,5700,4300,71842,353,93,5000,5000,5000,4900,100,4906,5000,,,4871,4336,210658,227358.0,71842,353,58,69,-11,282500,299200,-16700,-,
22/08/2024,18529939,18529939,4800,5500,4100,93444,463,93,5000,5000,5100,4700,400,4950,5000,200.0,4.17,3086,4484,88656,247356.0,93444,463,59,76,-17,182100,340800,-158700,-,
21/08/2024,18529939,18529939,4700,5400,4000,34205,165,93,4600,5000,5000,4600,400,4813,5000,300.0,6.38,2070,4971,69295,204395.0,34205,165,50,48,2,103500,238600,-135100,-,
