Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12008672,12008672,32100,36900,27300,900,29.0,385,36800,32100,36800,32100,4700,32622,32100,,,256,145,3200.0,700.0,900.0,29.0,16,11.0,5,4100,1600.0,2500,-,
26/09/2024,12008672,12008672,31100,35700,26500,200,6.0,385,32100,32100,32100,32100,-,32100,32100,1000.0,3.22,242,100,2700.0,100.0,200.0,6.0,12,3.0,9,2900,300.0,2600,-,
25/09/2024,12008672,12008672,35100,40300,29900,100,3.0,373,31100,31100,31100,31100,-,31100,31100,-4000.0,-11.4,365,525,7200.0,2000.0,100.0,3.0,20,4.0,16,7300,2100.0,5200,-,
24/09/2024,12008672,12008672,35100,40300,29900,900,32.0,422,35100,35100,35100,35100,-,35100,35100,,,155,89,800.0,1600.0,900.0,32.0,11,28.0,-17,1700,2500.0,-800,-,
23/09/2024,12008672,12008672,36300,41700,30900,100,4.0,422,35100,35100,35100,35100,-,35100,35100,-1200.0,-3.31,190,933,1800.0,2700.0,100.0,4.0,10,3.0,7,1900,2800.0,-900,-,
20/09/2024,12008672,12008672,36000,41400,30600,600,22.0,437,36000,36400,36400,36000,400,36333,36400,400.0,1.11,218,340,1800.0,2800.0,600.0,22.0,11,10.0,1,2400,3400.0,-1000,-,
19/09/2024,12008672,12008672,31900,36600,27200,400,14.0,440,34000,36600,36600,34000,2600,35950,36600,4700.0,14.73,113,233,500.0,3100.0,400.0,14.0,8,15.0,-7,900,3500.0,-2600,-,
18/09/2024,12008672,12008672,37600,43200,32000,500,20.0,480,39800,40000,40000,39800,200,39940,31900,2400.0,6.38,40,860,300.0,3800.0,500.0,20.0,20,5.0,15,800,4300.0,-3500,-,
17/09/2024,12008672,12008672,40600,46600,34600,100,4.0,452,37600,37600,37600,37600,-,37600,30000,-3000.0,-7.39,46,680,500.0,3300.0,100.0,4.0,13,5.0,8,600,3400.0,-2800,-,
16/09/2024,12008672,12008672,35900,41200,30600,600,24.0,492,39900,41000,41000,39900,1100,40633,32700,5100.0,14.21,154,222,1400.0,4500.0,600.0,24.0,13,23.0,-10,2000,5100.0,-3100,-,
13/09/2024,12008672,12008672,35900,41200,30600,-,,431,35900,35900,35900,35900,-,35900,28700,,,193,75,2900.0,300.0,,,15,4.0,11,2900,300.0,2600,-,
12/09/2024,12008672,12008672,39700,45600,33800,600,22.0,418,37600,34800,37600,34800,2800,35867,27800,-4900.0,-12.34,162,89,2800.0,200.0,600.0,22.0,21,9.0,12,3400,800.0,2600,-,
11/09/2024,12008672,12008672,39200,45000,33400,300,12.0,479,39200,39900,39900,39200,700,39667,31900,700.0,1.79,100,183,600.0,800.0,300.0,12.0,9,6.0,3,900,1100.0,-200,-,
10/09/2024,12008672,12008672,39200,45000,33400,2800,110.0,471,39200,39200,39300,39200,100,39204,31300,,,246,336,400.0,900.0,2800.0,110.0,13,11.0,2,3200,3700.0,-500,-,
09/09/2024,12008672,12008672,39200,45000,33400,900,35.0,461,38400,38400,43300,38300,5000,39233,30700,-800.0,-2.04,267,82,3100.0,500.0,900.0,35.0,15,17.0,-2,4000,1400.0,2600,-,
06/09/2024,12008672,12008672,38900,44700,33100,1200,47.0,524,38400,43600,43600,38000,5600,39200,34800,4700.0,12.08,133,159,1200.0,1500.0,1200.0,47.0,18,17.0,1,2400,2700.0,-300,-,
05/09/2024,12008672,12008672,38500,44200,32800,1200,47.0,468,37100,39000,39900,37100,2800,38917,31100,500.0,1.3,173,400,2600.0,400.0,1200.0,47.0,22,4.0,18,3800,1600.0,2200,-,
04/09/2024,12008672,12008672,38200,43900,32500,200,8.0,479,37100,39900,39900,37100,2800,38500,31900,1700.0,4.45,76,320,1100.0,1400.0,200.0,8.0,17,5.0,12,1300,1600.0,-300,-,
30/08/2024,12008672,12008672,39900,45800,34000,200,8.0,479,36400,39900,39900,36400,3500,38150,31900,,,173,400,1700.0,1400.0,200.0,8.0,11,4.0,7,1900,1600.0,300,-,
29/08/2024,12008672,12008672,36600,42000,31200,100,4.0,479,39900,39900,39900,39900,-,39900,31900,3300.0,9.02,153,425,2200.0,1600.0,100.0,4.0,15,4.0,11,2300,1700.0,600,-,
28/08/2024,12008672,12008672,36300,41700,30900,3000,110.0,440,36600,36600,36600,36600,-,36600,29200,300.0,0.83,278,717,2000.0,1300.0,3000.0,110.0,18,6.0,12,5000,4300.0,700,-,
27/08/2024,12008672,12008672,36300,41700,30900,100,4.0,436,36300,36300,36300,36300,-,36300,29000,,,125,425,1400.0,1600.0,100.0,4.0,12,4.0,8,1500,1700.0,-200,-,
26/08/2024,12008672,12008672,38500,44200,32800,100,4.0,436,36300,36300,36300,36300,-,36300,29000,-2200.0,-5.71,231,375,2900.0,1400.0,100.0,4.0,13,4.0,9,3000,1500.0,1500,-,
23/08/2024,12008672,12008672,38000,43700,32300,1500,58.0,462,38500,38500,38500,38500,-,38500,30700,500.0,1.32,215,4600,1300.0,21500.0,1500.0,58.0,13,5.0,8,2800,23000.0,-20200,-,
22/08/2024,12008672,12008672,37900,43500,32300,100,4.0,456,38000,38000,38000,38000,-,38000,30400,100.0,0.26,100,367,900.0,1000.0,100.0,4.0,10,3.0,7,1000,1100.0,-100,-,
21/08/2024,12008672,12008672,37300,42800,31800,300,11.0,455,37900,37900,37900,37900,-,37900,30300,600.0,1.61,127,520,1600.0,2300.0,300.0,11.0,15,5.0,10,1900,2600.0,-700,-,
20/08/2024,12008672,12008672,38200,43900,32500,100,4.0,448,37300,37300,37300,37300,-,37300,29800,-900.0,-2.36,158,400,1800.0,2300.0,100.0,4.0,12,6.0,6,1900,2400.0,-500,-,
19/08/2024,12008672,12008672,38200,43900,32500,100,4.0,459,38200,38200,38200,38200,-,38200,30500,,,206,371,3200.0,2500.0,100.0,4.0,16,7.0,9,3300,2600.0,700,-,
16/08/2024,12008672,12008672,38400,44100,32700,900,34.0,462,35500,38500,38500,35500,3000,38167,30700,100.0,0.26,314,233,5700.0,1200.0,900.0,34.0,21,9.0,12,6600,2100.0,4500,-,
15/08/2024,12008672,12008672,38400,44100,32700,1300,50.0,462,38500,38500,38500,38100,400,38392,30700,100.0,0.26,286,220,4700.0,900.0,1300.0,50.0,21,10.0,11,6000,2200.0,3800,-,
14/08/2024,12008672,12008672,38100,43800,32400,4200,171.0,462,37300,38500,42500,37300,5200,40710,29000,400.0,1.05,344,1068,14700.0,16100.0,4200.0,171.0,55,19.0,36,18900,20300.0,-1400,-,
13/08/2024,12008672,12008672,41900,48100,35700,100,4.0,458,38100,38100,38100,38100,-,38100,28700,-3800.0,-9.07,630,263,20700.0,2000.0,100.0,4.0,33,8.0,25,20800,2100.0,18700,-,
12/08/2024,12008672,12008672,37100,42600,31600,6000,204.0,510,36100,42500,42500,36100,6400,41860,32000,5400.0,14.56,248,191,6200.0,1100.0,1000.0,42.0,29,11.0,18,7200,2100.0,5100,5000,163.0
09/08/2024,12008672,12008672,42500,48800,36200,100,4.0,446,37100,37100,37100,37100,-,37100,28000,-5400.0,-12.71,293,158,4300.0,1800.0,100.0,4.0,15,12.0,3,4400,1900.0,2500,-,
08/08/2024,12008672,12008672,38200,43900,32500,356200,11588.0,524,36900,43600,43600,36900,6700,42458,32800,5400.0,14.14,336,183,6200.0,1000.0,1200.0,51.0,22,12.0,10,7400,2200.0,5200,355000,11538.0
07/08/2024,12008672,12008672,34500,39600,29400,1139330,33507.0,456,37000,38000,39500,37000,2500,38233,28600,3500.0,10.14,253,136,14000.0,300.0,1200.0,46.0,60,11.0,49,15200,1500.0,13700,1138130,33461.0
06/08/2024,12008672,12008672,37000,42500,31500,2000,69.0,396,35200,33000,37000,33000,4000,34525,24900,-4000.0,-10.81,444,269,6000.0,1500.0,2000.0,69.0,18,13.0,5,8000,3500.0,4500,-,
05/08/2024,12008672,12008672,40000,46000,34000,200,7.0,444,36900,37000,37000,36900,100,36950,27900,-3000.0,-7.5,70,167,500.0,800.0,200.0,7.0,10,6.0,4,700,1000.0,-300,-,
02/08/2024,12008672,12008672,40000,46000,34000,-,,480,40000,40000,40000,40000,-,40000,30100,,,115,283,1500.0,1700.0,,,13,6.0,7,1500,1700.0,-200,-,
01/08/2024,12008672,12008672,36000,41400,30600,300,12.0,480,39900,40000,40000,39900,100,39967,30100,4000.0,11.11,289,140,7800.0,400.0,300.0,12.0,28,5.0,23,8100,700.0,7400,-,
31/07/2024,12008672,12008672,38700,44500,32900,200,7.0,444,35000,37000,37000,35000,2000,36000,27900,-1700.0,-4.39,200,133,2600.0,200.0,200.0,7.0,14,3.0,11,2800,400.0,2400,-,
30/07/2024,12008672,12008672,40000,46000,34000,200,8.0,486,36900,40500,40500,36900,3600,38700,30500,500.0,1.25,93,3600,1200.0,21400.0,200.0,8.0,15,6.0,9,1400,21600.0,-20200,-,
29/07/2024,12008672,12008672,34900,40100,29700,100,4.0,480,40000,40000,40000,40000,-,40000,30100,5100.0,14.61,445,100,8800.0,200.0,100.0,4.0,20,3.0,17,8900,300.0,8600,-,
26/07/2024,12008672,12008672,34900,40100,29700,-,,419,34900,34900,34900,34900,-,34900,26300,,,544,233,8700.0,700.0,,,16,3.0,13,8700,700.0,8000,-,
25/07/2024,12008672,12008672,39000,44800,33200,200,7.0,420,34700,35000,35000,34700,300,34850,26400,-4000.0,-10.26,160,169,1400.0,2500.0,200.0,7.0,10,16.0,-6,1600,2700.0,-1100,-,
24/07/2024,12008672,12008672,36600,42000,31200,600,23.0,479,34500,39900,39900,34500,5400,38967,30100,3300.0,9.02,642,425,7100.0,2800.0,600.0,23.0,12,8.0,4,7700,3400.0,4300,-,
23/07/2024,12008672,12008672,36100,41500,30700,1000,37.0,443,34500,36900,36900,34500,2400,36620,27800,800.0,2.22,294,160,3700.0,1400.0,1000.0,37.0,16,15.0,1,4700,2400.0,2300,-,
22/07/2024,12008672,12008672,37500,43100,31900,300,11.0,443,34500,36900,36900,34500,2400,36100,27800,-600.0,-1.6,573,190,6000.0,1600.0,300.0,11.0,11,10.0,1,6300,1900.0,4400,-,
19/07/2024,12008672,12008672,37500,43100,31900,-,,450,37500,37500,37500,37500,-,37500,28300,,,433,340,1300.0,1700.0,,,3,5.0,-2,1300,1700.0,-400,-,
18/07/2024,12008672,12008672,37000,42500,31500,200,8.0,450,37500,37500,37500,37500,-,37500,28300,500.0,1.35,756,667,6600.0,1800.0,200.0,8.0,9,3.0,6,6800,2000.0,4800,-,
17/07/2024,12008672,12008672,36900,42400,31400,200,7.0,444,37000,37000,37000,37000,-,37000,27900,100.0,0.27,317,400,3600.0,1800.0,200.0,7.0,12,5.0,7,3800,2000.0,1800,-,
16/07/2024,12008672,12008672,36900,42400,31400,-,,443,36900,36900,36900,36900,-,36900,27800,,,367,257,4400.0,1800.0,,,12,7.0,5,4400,1800.0,2600,-,
15/07/2024,12008672,12008672,38300,44000,32600,300,11.0,458,34400,38100,38200,34400,3800,36900,28700,-200.0,-0.52,156,270,2200.0,2400.0,300.0,11.0,16,10.0,6,2500,2700.0,-200,-,
12/07/2024,12008672,12008672,35600,40900,30300,200,8.0,460,38300,38300,38300,38300,-,38300,28900,2700.0,7.58,344,283,5300.0,1500.0,200.0,8.0,16,6.0,10,5500,1700.0,3800,-,
11/07/2024,12008672,12008672,38400,44100,32700,700,25.0,429,34200,35700,36500,34200,2300,35600,26900,-2700.0,-7.03,229,210,2500.0,1400.0,700.0,25.0,14,10.0,4,3200,2100.0,1100,-,
10/07/2024,12008672,12008672,34300,39400,29200,500,19.0,461,38400,38400,38500,38300,200,38420,28900,4100.0,11.95,419,200,8300.0,1900.0,500.0,19.0,21,12.0,9,8800,2400.0,6400,-,
09/07/2024,12008672,12008672,34300,39400,29200,-,,412,34300,34300,34300,34300,-,34300,25800,,,409,220,9000.0,1100.0,,,22,5.0,17,9000,1100.0,7900,-,
08/07/2024,12008672,12008672,34300,39400,29200,-,,412,34300,34300,34300,34300,-,34300,25800,,,474,125,9000.0,500.0,,,19,4.0,15,9000,500.0,8500,-,
05/07/2024,12008672,12008672,34100,39200,29000,1600,55.0,412,34300,34300,34300,34300,-,34300,25800,200.0,0.59,325,420,11400.0,500.0,1600.0,55.0,40,5.0,35,13000,2100.0,10900,-,
04/07/2024,12008672,12008672,34200,39300,29100,4300,147.0,409,34100,34100,34100,34100,-,34100,25700,-100.0,-0.29,565,1033,5300.0,1900.0,4300.0,147.0,17,6.0,11,9600,6200.0,3400,-,
03/07/2024,12008672,12008672,35000,40200,29800,17500,598.0,432,36000,36000,36000,34100,1900,34176,27100,1000.0,2.86,613,3343,5800.0,5900.0,17500.0,598.0,38,7.0,31,23300,23400.0,-100,-,
02/07/2024,12008672,12008672,34000,39100,28900,100,4.0,420,35000,35000,35000,35000,-,35000,26400,1000.0,2.94,262,460,3300.0,2200.0,100.0,4.0,13,5.0,8,3400,2300.0,1100,-,
01/07/2024,12008672,12008672,39100,44900,33300,300,10.0,408,34000,34000,34100,34000,100,34033,25600,-5100.0,-13.04,329,971,2000.0,6500.0,300.0,10.0,7,7.0,-,2300,6800.0,-4500,-,
28/06/2024,12008672,12008672,34000,39100,28900,600,23.0,470,39100,39100,39100,39100,-,39100,29500,5100.0,15.0,576,2120,9200.0,10000.0,600.0,23.0,17,5.0,12,9800,10600.0,-800,-,
27/06/2024,12008672,12008672,39500,45400,33600,13100,446.0,408,34000,34000,34200,34000,200,34044,25600,-5500.0,-13.92,608,2533,1500.0,9700.0,13100.0,446.0,24,9.0,15,14600,22800.0,-8200,-,
26/06/2024,12008672,12008672,36000,41400,30600,100,4.0,474,39500,39500,39500,39500,-,39500,29800,3500.0,9.72,113,2600,800.0,10300.0,100.0,4.0,8,4.0,4,900,10400.0,-9500,-,
25/06/2024,12008672,12008672,35700,41000,30400,10200,367.0,468,34000,39000,39000,34000,5000,36010,29400,3300.0,9.24,1567,3188,13300.0,15300.0,10200.0,367.0,15,8.0,7,23500,25500.0,-2000,-,
24/06/2024,12008672,12008672,35000,40200,29800,200,7.0,483,31100,40200,40200,31100,9100,35650,30300,5200.0,14.86,225,1733,2500.0,5000.0,200.0,7.0,12,3.0,9,2700,5200.0,-2500,-,
21/06/2024,12008672,12008672,40200,46200,34200,100,4.0,420,35000,35000,35000,35000,-,35000,26400,-5200.0,-12.94,60,260,200.0,1200.0,100.0,4.0,5,5.0,-,300,1300.0,-1000,-,
20/06/2024,12008672,12008672,35000,40200,29800,100,4.0,483,40200,40200,40200,40200,-,40200,30300,5200.0,14.86,264,100,2800.0,,100.0,4.0,11,1.0,10,2900,100.0,2800,-,
19/06/2024,12008672,12008672,36900,42400,31400,200,7.0,420,35000,35000,35000,35000,-,35000,26400,-1900.0,-5.15,233,150,1900.0,100.0,200.0,7.0,9,2.0,7,2100,300.0,1800,-,
18/06/2024,12008672,12008672,36900,42400,31400,-,,443,36900,36900,36900,36900,-,36900,27800,,,100,100,600.0,100.0,,,6,1.0,5,600,100.0,500,-,
17/06/2024,12008672,12008672,36000,41400,30600,300,11.0,443,36900,36900,36900,36900,-,36900,27800,900.0,2.5,278,133,2200.0,100.0,300.0,11.0,9,3.0,6,2500,400.0,2100,-,
14/06/2024,12008672,12008672,36000,41400,30600,-,,432,36000,36000,36000,36000,-,36000,27100,,,333,100,3000.0,100.0,,,9,1.0,8,3000,100.0,2900,-,
13/06/2024,12008672,12008672,40000,46000,34000,100,4.0,432,36000,36000,36000,36000,-,36000,27100,-4000.0,-10.0,107,420,1400.0,2000.0,100.0,4.0,14,5.0,9,1500,2100.0,-600,-,
12/06/2024,12008672,12008672,40000,46000,34000,200,8.0,551,34000,45900,45900,34000,11900,39950,34600,5900.0,14.75,217,1242,1100.0,32100.0,200.0,8.0,6,26.0,-20,1300,32300.0,-31000,-,
11/06/2024,12008672,12008672,40000,46000,34000,200,8.0,552,34000,46000,46000,34000,12000,40000,34700,6000.0,15.0,160,425,1400.0,1500.0,200.0,8.0,10,4.0,6,1600,1700.0,-100,-,
10/06/2024,12008672,12008672,35000,40200,29800,1100,44.0,480,40000,40000,40000,40000,-,40000,30100,5000.0,14.29,295,5300,5400.0,20100.0,1100.0,44.0,22,4.0,18,6500,21200.0,-14700,-,
07/06/2024,12008672,12008672,34500,39600,29400,100,4.0,420,35000,35000,35000,35000,-,35000,26400,500.0,1.45,338,450,2600.0,800.0,100.0,4.0,8,2.0,6,2700,900.0,1800,-,
06/06/2024,12008672,12008672,34500,39600,29400,-,,414,34500,34500,34500,34500,-,34500,26000,,,464,15400,5100.0,30800.0,,,11,2.0,9,5100,30800.0,-25700,-,
05/06/2024,12008672,12008672,34500,39600,29400,-,,414,34500,34500,34500,34500,-,34500,26000,,,430,800,4300.0,800.0,,,10,1.0,9,4300,800.0,3500,-,
04/06/2024,12008672,12008672,40000,46000,34000,200,7.0,420,34000,35000,35000,34000,1000,34500,26400,-5000.0,-12.5,286,533,3800.0,3000.0,200.0,7.0,14,6.0,8,4000,3200.0,800,-,
03/06/2024,12008672,12008672,35000,40200,29800,100,4.0,480,40000,40000,40000,40000,-,40000,30100,5000.0,14.29,344,900,3000.0,800.0,100.0,4.0,9,1.0,8,3100,900.0,2200,-,
31/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,963,900,7700.0,900.0,,,8,1.0,7,7700,900.0,6800,-,
30/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,813,900,6500.0,900.0,,,8,1.0,7,6500,900.0,5600,-,
29/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,488,-,3900.0,,,,8,,8,3900,,3900,-,
28/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,457,900,3200.0,900.0,,,7,1.0,6,3200,900.0,2300,-,
27/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,520,-,2600.0,,,,5,,5,2600,,2600,-,
24/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,363,900,2900.0,900.0,,,8,1.0,7,2900,900.0,2000,-,
23/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,588,300,4700.0,300.0,,,8,1.0,7,4700,300.0,4400,-,
22/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,438,-,3500.0,,,,8,,8,3500,,3500,-,
21/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,933,-,8400.0,,,,9,,9,8400,,8400,-,
20/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,329,300,4600.0,300.0,,,14,1.0,13,4600,300.0,4300,-,
17/05/2024,12008672,12008672,35000,40200,29800,-,,420,35000,35000,35000,35000,-,35000,26400,,,283,900,3400.0,900.0,,,12,1.0,11,3400,900.0,2500,-,
