Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,96375409,95935049,11500,12300,10700,531900,6085,1089,11600,11350,11650,11250,400,11440,11400,-150.0,-1.3,2205,3414,49600.0,34100.0,531900,6085,372.0,363.0,9,820400.0,1239100.0,-418700,-,
26/09/2024,96375409,95935049,11500,12300,10700,638000,7366,1103,11600,11500,11650,11400,250,11545,11500,,,2256,2811,49200.0,65500.0,638000,7366,398.0,426.0,-28,898000.0,1197500.0,-299500,-,
25/09/2024,96375409,95935049,11300,12050,10550,371000,4248,1103,11300,11500,11550,11300,250,11450,11500,200.0,1.77,2440,2047,47100.0,105200.0,371000,4248,282.0,369.0,-87,688200.0,755200.0,-67000,-,
24/09/2024,96375409,95935049,11300,12050,10550,327700,3700,1084,11250,11300,11400,11250,150,11291,11300,,,2457,3573,46800.0,25900.0,327700,3700,245.0,171.0,74,601900.0,611000.0,-9100,-,
23/09/2024,96375409,95935049,11500,12300,10700,338800,3867,1084,11550,11300,11550,11300,250,11414,11300,-200.0,-1.74,2324,3382,40500.0,24000.0,338800,3867,232.0,237.0,-5,539100.0,801600.0,-262500,-,
20/09/2024,96375409,95935049,11400,12150,10650,426300,4895,1103,11450,11500,11600,11400,200,11483,11500,100.0,0.88,2759,2450,97100.0,75600.0,426300,4895,270.0,383.0,-113,744900.0,938200.0,-193300,-,
19/09/2024,96375409,95935049,11400,12150,10650,250500,2853,1094,11500,11400,11500,11350,150,11389,11400,,,1995,2869,70600.0,101000.0,250500,2853,228.0,261.0,-33,454900.0,748900.0,-294000,-,
18/09/2024,96375409,95935049,11400,12150,10650,342400,3900,1094,11400,11400,11500,11300,200,11390,11400,,,2212,3238,32300.0,73000.0,342400,3900,250.0,238.0,12,553100.0,770700.0,-217600,-,
17/09/2024,96375409,95935049,11200,11950,10450,203800,2293,1094,11400,11400,11400,11100,300,11251,11400,200.0,1.79,1717,2622,1000.0,36900.0,203800,2293,228.0,181.0,47,391400.0,474600.0,-83200,-,
16/09/2024,96375409,95935049,11400,12150,10650,196900,2217,1074,11300,11200,11400,11150,250,11260,11200,-200.0,-1.75,1387,2927,37900.0,6400.0,196900,2217,255.0,175.0,80,353700.0,512300.0,-158600,-,
13/09/2024,96375409,95935049,11400,12150,10650,192700,2182,1094,11400,11400,11400,11250,150,11323,11400,,,1732,2790,23300.0,75300.0,192700,2182,244.0,205.0,39,422700.0,571900.0,-149200,-,
12/09/2024,96375409,95935049,11500,12300,10700,221500,2513,1094,11500,11400,11500,11200,300,11345,11400,-100.0,-0.87,1830,3763,53900.0,85500.0,221500,2513,236.0,155.0,81,431800.0,583200.0,-151400,-,
11/09/2024,96375409,95935049,11400,12150,10650,459700,5240,1103,11450,11500,11500,11200,300,11399,11500,100.0,0.88,2635,3012,7200.0,48700.0,459700,5240,307.0,266.0,41,808900.0,801300.0,7600,-,
10/09/2024,96375409,95935049,11450,12250,10650,332600,3781,1094,11600,11400,11600,11300,300,11368,11400,-50.0,-0.44,2094,3142,53900.0,28100.0,332600,3781,283.0,226.0,57,592500.0,710000.0,-117500,-,
09/09/2024,96375409,95935049,11500,12300,10700,182100,2088,1098,11500,11450,11700,11350,350,11466,11500,-50.0,-0.43,1465,2390,29500.0,39500.0,182100,2088,250.0,234.0,16,366200.0,559200.0,-193000,-,
06/09/2024,96375409,95935049,11450,12250,10650,258200,2960,1103,11500,11500,11550,11350,200,11464,11500,50.0,0.44,2123,2825,27400.0,49900.0,258200,2960,260.0,221.0,39,552100.0,624300.0,-72200,-,
05/09/2024,96375409,95935049,11500,12300,10700,398400,4614,1098,11500,11450,11700,11400,300,11581,11500,-50.0,-0.43,2301,2721,16000.0,47600.0,398400,4614,358.0,345.0,13,823900.0,938800.0,-114900,-,
04/09/2024,96375409,95935049,11450,12250,10650,225500,2568,1103,11400,11500,11650,11200,450,11388,11500,50.0,0.44,1948,2535,53300.0,37700.0,225500,2568,340.0,241.0,99,662300.0,610900.0,51400,-,
30/08/2024,96375409,95935049,11450,12250,10650,164400,1872,1098,11400,11450,11450,11200,250,11387,11500,,,1458,1242,63100.0,44200.0,164400,1872,156.0,168.0,-12,227500.0,208600.0,18900,-,
