Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,24533591,24461403,11900,12700,11100,47300,563,294,11900,12000,12000,11800,200,11903,12000,100.0,0.84,1131,3739,7000.0,12700.0,47300,563,80.0,75.0,5,90500.0,280400.0,-189900,-,
26/09/2024,24533591,24461403,12000,12800,11200,58300,700,291,12400,11900,12400,11900,500,12007,11900,-100.0,-0.83,1162,1070,10000.0,3800.0,58300,700,82.0,113.0,-31,95300.0,120900.0,-25600,-,
25/09/2024,24533591,24461403,12100,12900,11300,71100,852,294,12100,12000,12100,11700,400,11983,12000,-100.0,-0.83,730,1164,6700.0,2300.0,71100,852,144.0,84.0,60,105100.0,97800.0,7300,-,
24/09/2024,24533591,24461403,12100,12900,11300,20700,249,296,12050,12100,12100,11950,150,12029,12100,,,1122,930,8200.0,11100.0,20700,249,54.0,79.0,-25,60600.0,73500.0,-12900,-,
23/09/2024,24533591,24461403,12050,12850,11250,39500,468,296,12000,12100,12100,11700,400,11848,12100,50.0,0.41,889,1435,8600.0,11400.0,39500,468,71.0,75.0,-4,63100.0,107600.0,-44500,-,
20/09/2024,24533591,24461403,12000,12800,11200,74500,896,295,12000,12050,12200,11900,300,12027,12100,50.0,0.42,1032,1198,5400.0,15100.0,74500,896,98.0,129.0,-31,101100.0,154500.0,-53400,-,
19/09/2024,24533591,24461403,12000,12800,11200,20500,245,294,11850,12000,12100,11850,250,11951,12000,,,842,877,6600.0,9100.0,20500,245,57.0,75.0,-18,48000.0,65800.0,-17800,-,
18/09/2024,24533591,24461403,11600,12400,10800,129000,1514,294,11600,12000,12000,11300,700,11736,12000,400.0,3.45,1856,1444,6400.0,6200.0,129000,1514,134.0,133.0,1,248700.0,192100.0,56600,-,
17/09/2024,24533591,24461403,11600,12400,10800,20800,235,284,11200,11600,11600,11200,400,11298,11600,,,842,1000,7400.0,4200.0,20800,235,76.0,59.0,17,64000.0,59000.0,5000,-,
16/09/2024,24533591,24461403,11700,12500,10900,24000,278,284,11700,11600,11700,11500,200,11583,11600,-100.0,-0.85,770,1333,2400.0,9500.0,24000,278,46.0,69.0,-23,35400.0,92000.0,-56600,-,
13/09/2024,24533591,24461403,11600,12400,10800,30800,360,286,11850,11700,11850,11600,250,11688,11700,100.0,0.86,1466,1004,15800.0,10700.0,30800,360,50.0,74.0,-24,73300.0,74300.0,-1000,-,
12/09/2024,24533591,24461403,11750,12550,10950,49700,580,284,11750,11600,11800,11550,250,11670,11600,-150.0,-1.28,1464,1361,3300.0,2600.0,49700,580,67.0,76.0,-9,98100.0,103400.0,-5300,-,
11/09/2024,24533591,24461403,11450,12250,10650,30100,348,287,11650,11750,11750,11450,300,11561,11800,300.0,2.62,1322,813,7300.0,3800.0,30100,348,58.0,90.0,-32,76700.0,73200.0,3500,-,
10/09/2024,24533591,24461403,11550,12350,10750,35500,410,280,11850,11450,11850,11450,400,11549,11500,-100.0,-0.87,1716,935,14400.0,4600.0,35500,410,68.0,109.0,-41,116700.0,101900.0,14800,-,
09/09/2024,24533591,24461403,11200,11950,10450,50300,577,283,11300,11550,11850,11100,750,11471,11600,350.0,3.13,1222,1377,15500.0,6500.0,50300,577,81.0,69.0,12,99000.0,95000.0,4000,-,
06/09/2024,24533591,24461403,11500,12300,10700,26600,301,274,11500,11200,11500,11200,300,11316,11200,-300.0,-2.61,514,1589,6800.0,4600.0,26600,301,90.0,64.0,26,46300.0,101700.0,-55400,-,
05/09/2024,24533591,24461403,11550,12350,10750,56100,649,281,11550,11500,11950,11450,500,11569,11500,-50.0,-0.43,1062,1260,1600.0,10500.0,56100,649,93.0,87.0,6,98800.0,109600.0,-10800,-,
04/09/2024,24533591,24461403,11900,12700,11100,33300,385,283,11550,11550,11700,11500,200,11562,11600,-350.0,-2.94,702,950,8000.0,6800.0,33300,385,127.0,88.0,39,89100.0,83600.0,5500,-,
30/08/2024,24533591,24461403,12150,13000,11300,67000,806,291,12100,11900,12200,11900,300,12030,11900,-250.0,-2.06,677,903,18300.0,10700.0,67000,806,126.0,86.0,40,85300.0,77700.0,7600,-,
29/08/2024,24533591,24461403,12250,13100,11400,32100,391,297,12450,12150,12450,12050,400,12181,12200,-100.0,-0.82,803,1247,12800.0,16600.0,32100,391,77.0,96.0,-19,61800.0,119700.0,-57900,-,
28/08/2024,24533591,24461403,12100,12900,11300,22800,279,300,12500,12250,12500,12150,350,12237,12300,150.0,1.24,816,1096,9900.0,9800.0,22800,279,92.0,91.0,1,75100.0,99700.0,-24600,-,
27/08/2024,24533591,24461403,12450,13300,11600,58000,702,296,12500,12100,12650,12000,650,12103,12100,-350.0,-2.81,1228,1432,35600.0,10400.0,58000,702,127.0,115.0,12,155900.0,164700.0,-8800,-,
26/08/2024,24533591,24461403,12700,13550,11850,34700,433,305,12700,12450,12700,12450,250,12478,12500,-250.0,-1.97,1001,1096,6200.0,14400.0,34700,433,81.0,100.0,-19,81100.0,109600.0,-28500,-,
23/08/2024,24533591,24461403,12750,13600,11900,53800,685,311,12700,12700,12800,12650,150,12732,12700,-50.0,-0.39,1481,1301,6200.0,39700.0,53800,685,84.0,104.0,-20,124400.0,135300.0,-10900,-,
22/08/2024,24533591,24461403,12750,13600,11900,53600,682,312,12700,12750,12900,12650,250,12724,12800,,,1247,1526,5400.0,21500.0,53600,682,106.0,134.0,-28,132200.0,204500.0,-72300,-,
21/08/2024,24533591,24461403,12700,13550,11850,45200,574,312,12950,12750,12950,12500,450,12699,12800,50.0,0.39,1417,1674,31800.0,40300.0,45200,574,138.0,140.0,-2,195500.0,234300.0,-38800,-,
20/08/2024,24533591,24461403,12600,13450,11750,113400,1436,311,12650,12700,12950,12600,350,12663,12700,100.0,0.79,1667,1862,17100.0,42700.0,113400,1436,140.0,169.0,-29,233400.0,314700.0,-81300,-,
19/08/2024,24533591,24461403,12600,13450,11750,57500,723,308,12550,12600,12900,12200,700,12574,12600,,,1727,1887,40300.0,8500.0,57500,723,142.0,178.0,-36,245200.0,335800.0,-90600,-,
16/08/2024,24533591,24461403,12100,12900,11300,63200,780,308,12100,12600,12700,12000,700,12342,12600,500.0,4.13,2737,1578,49800.0,22500.0,63200,780,147.0,166.0,-19,402400.0,261900.0,140500,-,
15/08/2024,24533591,24461403,12600,13450,11750,161900,1930,296,12450,12100,12600,11750,850,11921,12100,-500.0,-3.97,1445,987,108400.0,2000.0,161900,1930,187.0,166.0,21,270300.0,163900.0,106400,-,
14/08/2024,24533591,24461403,12700,13550,11850,62100,781,308,12700,12600,12700,12400,300,12576,12600,-100.0,-0.79,916,1225,6600.0,5300.0,62100,781,75.0,55.0,20,68700.0,67400.0,1300,-,
13/08/2024,24533591,24461403,12800,13650,11950,64900,820,311,13050,12700,13050,12550,500,12635,12700,-100.0,-0.78,1058,1337,36700.0,4600.0,64900,820,96.0,52.0,44,101600.0,69500.0,32100,-,
12/08/2024,24533591,24461403,12750,13600,11900,47500,604,313,12750,12800,12950,12550,400,12716,12800,50.0,0.39,732,647,21300.0,13300.0,47500,604,94.0,94.0,-,68800.0,60800.0,8000,-,
09/08/2024,24533591,24461403,12650,13500,11800,34200,435,312,12650,12750,12900,12650,250,12719,12800,100.0,0.79,609,600,13300.0,4200.0,34200,435,78.0,64.0,14,47500.0,38400.0,9100,-,
08/08/2024,24533591,24461403,13000,13900,12100,59300,752,309,12500,12650,12950,12500,450,12681,12700,-350.0,-2.69,665,765,6500.0,5000.0,59300,752,99.0,84.0,15,65800.0,64300.0,1500,-,
07/08/2024,24533591,24461403,13200,14100,12300,93400,1196,318,13200,13000,13200,12550,650,12805,13000,-200.0,-1.52,1119,815,16300.0,22400.0,93400,1196,98.0,142.0,-44,109700.0,115800.0,-6100,-,
06/08/2024,24533591,24461403,12600,13450,11750,152100,1912,323,11850,13200,13400,11850,1550,12571,13200,600.0,4.76,751,659,1100.0,15400.0,152100,1912,204.0,254.0,-50,153200.0,167500.0,-14300,-,
05/08/2024,24533591,24461403,13500,14400,12600,180500,2304,308,13450,12600,13450,12600,850,12765,12600,-900.0,-6.67,945,1598,,56000.0,180500,2304,191.0,148.0,43,180500.0,236500.0,-56000,-,
02/08/2024,24533591,24461403,13300,14200,12400,138200,1799,330,13200,13500,13700,12750,950,13017,13500,200.0,1.5,714,1264,3900.0,9700.0,138200,1799,199.0,117.0,82,142100.0,147900.0,-5800,-,
01/08/2024,24533591,24461403,13300,14200,12400,204100,2702,325,13500,13300,13600,12800,800,13239,13300,,,774,691,6400.0,11500.0,204100,2702,272.0,312.0,-40,210500.0,215600.0,-5100,-,
31/07/2024,24533591,24461403,14000,14950,13050,126800,1761,325,13600,13300,14450,13300,1150,13888,13300,-700.0,-5.0,589,740,2100.0,12400.0,126800,1761,219.0,188.0,31,128900.0,139200.0,-10300,-,
30/07/2024,24533591,24461403,14350,15350,13350,89300,1249,342,14350,14000,14350,13600,750,13987,14000,-350.0,-2.44,543,690,4100.0,23800.0,89300,1249,172.0,164.0,8,93400.0,113100.0,-19700,-,
29/07/2024,24533591,24461403,13950,14900,13000,30700,442,351,14200,14350,14550,14000,550,14397,14400,400.0,2.87,237,274,6200.0,8000.0,30700,442,156.0,141.0,15,36900.0,38700.0,-1800,-,
26/07/2024,24533591,24461403,14050,15000,13100,72000,1006,341,14150,13950,14150,13800,350,13972,14000,-100.0,-0.71,524,518,10300.0,3600.0,72000,1006,157.0,146.0,11,82300.0,75600.0,6700,-,
25/07/2024,24533591,24461403,14600,15600,13600,57300,811,344,14850,14050,14850,14000,850,14154,14100,-550.0,-3.77,418,464,15000.0,12300.0,57300,811,173.0,150.0,23,72300.0,69600.0,2700,-,
24/07/2024,24533591,24461403,14900,15900,13900,81800,1172,357,14900,14600,15150,13900,1250,14328,14600,-300.0,-2.01,523,438,25500.0,8400.0,81800,1172,205.0,206.0,-1,107300.0,90200.0,17100,-,
23/07/2024,24533591,24461403,13950,14900,13000,336500,4796,364,13950,14900,14900,13900,1000,14375,14900,950.0,6.81,969,1350,5500.0,,306500,4406,322.0,227.0,95,312000.0,306500.0,5500,30000,390.0
22/07/2024,24533591,24461403,14600,15600,13600,189100,2630,341,14600,13950,14600,13700,900,13908,14000,-650.0,-4.45,749,1593,7100.0,27600.0,189100,2630,262.0,136.0,126,196200.0,216700.0,-20500,-,
19/07/2024,24533591,24461403,15350,16400,14300,140000,2071,357,15800,14600,15800,14400,1400,14793,14600,-750.0,-4.89,711,819,43400.0,6600.0,140000,2071,258.0,179.0,79,183400.0,146600.0,36800,-,
18/07/2024,24533591,24461403,15400,16450,14350,153400,2337,375,15400,15350,16000,14700,1300,15235,15400,-50.0,-0.32,673,1389,1400.0,50800.0,153400,2337,230.0,147.0,83,154800.0,204200.0,-49400,-,
17/07/2024,24533591,24461403,16500,17650,15350,264800,4175,377,16400,15400,16400,15350,1050,15767,15400,-1100.0,-6.67,1141,1563,47700.0,19700.0,264800,4175,274.0,182.0,92,312500.0,284500.0,28000,-,
16/07/2024,24533591,24461403,16350,17450,15250,249100,4113,404,15600,16500,17100,15500,1600,16511,16500,150.0,0.92,694,1056,21700.0,1200.0,249100,4113,390.0,237.0,153,270800.0,250300.0,20500,-,
15/07/2024,24533591,24461403,17550,18750,16350,250800,4229,400,17150,16350,17500,16350,1150,16862,16400,-1200.0,-6.84,1054,1574,,18400.0,250800,4229,238.0,171.0,67,250800.0,269200.0,-18400,-,
12/07/2024,24533591,24461403,17550,18750,16350,200600,3527,429,17750,17550,18000,17400,600,17582,17600,,,1105,1413,21600.0,25500.0,200600,3527,201.0,160.0,41,222200.0,226100.0,-3900,-,
11/07/2024,24533591,24461403,17800,19000,16600,365100,6446,429,17800,17550,18100,17500,600,17655,17600,-250.0,-1.4,1294,1484,20500.0,31000.0,365100,6446,298.0,267.0,31,385600.0,396100.0,-10500,-,
10/07/2024,24533591,24461403,18400,19650,17150,333300,6045,435,18400,17800,18500,17800,700,18137,17800,-600.0,-3.26,1523,1833,23000.0,2200.0,333300,6045,234.0,183.0,51,356300.0,335500.0,20800,-,
09/07/2024,24533591,24461403,18600,19900,17300,295700,5442,450,18900,18400,18900,18200,700,18404,18400,-200.0,-1.08,2374,3225,29100.0,21200.0,295700,5442,291.0,483.0,-192,690800.0,1557500.0,-866700,-,
08/07/2024,24533591,24461403,18300,19550,17050,510700,9573,455,18350,18600,19500,18300,1200,18745,18600,300.0,1.64,2379,2417,43900.0,13900.0,510700,9573,404.0,705.0,-301,961000.0,1704200.0,-743200,-,
05/07/2024,24533591,24461403,18350,19600,17100,284600,5165,448,18650,18300,18650,17800,850,18148,18300,-50.0,-0.27,2155,3056,36300.0,19100.0,284600,5165,253.0,380.0,-127,545200.0,1161100.0,-615900,-,
04/07/2024,24533591,24461403,18600,19900,17300,403600,7408,449,18950,18350,18950,18000,950,18355,18400,-250.0,-1.34,1814,2493,10100.0,10300.0,403600,7408,442.0,357.0,85,801600.0,890100.0,-88500,-,
