Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,69350000,69350000,10000,11000,9000,67908,677,694,10000,10000,10100,9900,200,9974,10000,,,862,2096,62192.0,95592.0,67908,677,151,78,73,130100,163500,-33400,-,
26/09/2024,69350000,69350000,10100,11100,9100,70022,692,694,10100,10000,10300,9200,1100,9867,10000,-100.0,-0.99,858,1764,41478.0,120478.0,70022,692,130,108,22,111500,190500,-79000,-,
25/09/2024,69350000,69350000,10100,11100,9100,83000,842,700,10100,10100,10300,10000,300,10155,10100,,,995,2829,24500.0,177300.0,83000,842,108,92,16,107500,260300,-152800,-,
24/09/2024,69350000,69350000,10000,11000,9000,10900,110,700,10000,10100,10200,10000,200,10056,10100,100.0,1.0,567,2011,30500.0,121800.0,10900,110,73,66,7,41400,132700,-91300,-,
23/09/2024,69350000,69350000,10200,11200,9200,70700,709,694,10100,10000,10100,10000,100,10030,10000,-200.0,-1.96,1590,2527,54900.0,113800.0,70700,709,79,73,6,125600,184500,-58900,-,
20/09/2024,69350000,69350000,10300,11300,9300,69600,701,707,10300,10200,10300,10000,300,10068,10200,-100.0,-0.97,822,3033,44700.0,124500.0,69600,701,139,64,75,114300,194100,-79800,-,
19/09/2024,69350000,69350000,10300,11300,9300,83404,851,714,10400,10300,10400,10000,400,10202,10300,,,1666,3162,14896.0,156896.0,83404,851,59,76,-17,98300,240300,-142000,-,
18/09/2024,69350000,69350000,10200,11200,9200,99500,1007,714,10200,10300,10400,10000,400,10113,10300,100.0,0.98,1644,2153,32000.0,57700.0,99500,1007,80,73,7,131500,157200,-25700,-,
17/09/2024,69350000,69350000,10000,11000,9000,19800,197,707,9900,10200,10200,9800,400,9939,10200,200.0,2.0,908,1820,37400.0,63900.0,19800,197,63,46,17,57200,83700,-26500,-,
16/09/2024,69350000,69350000,10200,11200,9200,6500,65,694,10200,10000,10200,10000,200,10133,10000,-200.0,-1.96,881,2377,17300.0,67200.0,6500,65,27,31,-4,23800,73700,-49900,-,
