Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,15322723,15043161,800,900,700,119400,107.0,14,900,900,900,900,-,900,900,100.0,12.5,5354,2437,228600.0,,119400.0,107.0,65.0,49.0,16,348000.0,119400.0,228600,-,
26/09/2024,15322723,15043161,800,900,700,-,,12,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
25/09/2024,15322723,15043161,800,900,700,-,,12,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
24/09/2024,15322723,15043161,800,900,700,-,,12,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
23/09/2024,15322723,15043161,800,900,700,-,,12,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
20/09/2024,15322723,15043161,700,800,600,68400,55.0,12,800,800,800,800,-,800,800,100.0,14.29,5066,3257,78500.0,,68400.0,55.0,29.0,21.0,8,146900.0,68400.0,78500,-,
19/09/2024,15322723,15043161,700,800,600,-,,11,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
18/09/2024,15322723,15043161,700,800,600,-,,11,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
17/09/2024,15322723,15043161,700,800,600,-,,11,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
16/09/2024,15322723,15043161,700,800,600,-,,11,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
13/09/2024,15322723,15043161,600,700,500,4200,3.0,11,700,700,700,700,-,700,700,100.0,16.67,1680,600,73100.0,,4200.0,3.0,46.0,7.0,39,77300.0,4200.0,73100,-,
12/09/2024,15322723,15043161,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
11/09/2024,15322723,15043161,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
10/09/2024,15322723,15043161,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
09/09/2024,15322723,15043161,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
06/09/2024,15322723,15043161,600,700,500,12400,7.0,9,600,600,600,600,-,600,600,,,773,1061,4600.0,6700.0,12400.0,7.0,22.0,18.0,4,17000.0,19100.0,-2100,-,
05/09/2024,15322723,15043161,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
04/09/2024,15322723,15043161,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
30/08/2024,15322723,15043161,600,700,500,11600,7.0,9,700,600,700,600,100,601,600,,,700,1221,2400.0,5500.0,11600.0,7.0,20.0,14.0,6,14000.0,17100.0,-3100,-,
29/08/2024,15322723,15043161,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
28/08/2024,15322723,15043161,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
27/08/2024,15322723,15043161,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
26/08/2024,15322723,15043161,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
23/08/2024,15322723,15043161,700,800,600,300,0.0,9,600,600,600,600,-,600,600,-100.0,-14.29,160,500,2900.0,3700.0,300.0,0.0,20.0,8.0,12,3200.0,4000.0,-800,-,
22/08/2024,15322723,15043161,700,800,600,-,,11,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
21/08/2024,15322723,15043161,700,800,600,-,,11,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
20/08/2024,15322723,15043161,700,800,600,-,,11,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
19/08/2024,15322723,15043161,700,800,600,-,,11,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
16/08/2024,15322723,15043161,800,900,700,31900,23.0,11,700,700,900,700,200,713,700,-100.0,-12.5,1140,987,2300.0,6600.0,31900.0,23.0,30.0,39.0,-9,34200.0,38500.0,-4300,-,
15/08/2024,15322723,15043161,800,900,700,-,,12,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
14/08/2024,15322723,15043161,800,900,700,-,,12,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
13/08/2024,15322723,15043161,800,900,700,-,,12,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
12/08/2024,15322723,15043161,800,900,700,-,,12,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
09/08/2024,15322723,15043161,900,1000,800,15100,12.0,12,800,800,800,800,-,800,800,-100.0,-11.11,1800,2155,2900.0,8600.0,15100.0,12.0,10.0,11.0,-1,18000.0,23700.0,-5700,-,
08/08/2024,15322723,15043161,900,1000,800,-,,14,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
07/08/2024,15322723,15043161,900,1000,800,-,,14,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
06/08/2024,15322723,15043161,900,1000,800,-,,14,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
05/08/2024,15322723,15043161,900,1000,800,-,,14,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
02/08/2024,15322723,15043161,900,1000,800,6800,6.0,14,900,900,1000,800,200,944,900,,,517,840,2500.0,5800.0,6800.0,6.0,18.0,15.0,3,9300.0,12600.0,-3300,-,
01/08/2024,15322723,15043161,900,1000,800,-,,14,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
31/07/2024,15322723,15043161,900,1000,800,-,,14,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
30/07/2024,15322723,15043161,900,1000,800,-,,14,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
29/07/2024,15322723,15043161,900,1000,800,-,,14,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
26/07/2024,15322723,15043161,1000,1100,900,24700,22.0,14,1000,900,1000,900,100,901,900,-100.0,-10.0,1179,2267,3600.0,29700.0,24700.0,22.0,24.0,24.0,-,28300.0,54400.0,-26100,-,
25/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
24/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
23/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
22/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
19/07/2024,15322723,15043161,1100,1200,1000,5900,6.0,15,1000,1000,1100,1000,100,1022,1000,-100.0,-9.09,422,600,3800.0,9700.0,5900.0,6.0,23.0,26.0,-3,9700.0,15600.0,-5900,-,
18/07/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
17/07/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
16/07/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
15/07/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
12/07/2024,15322723,15043161,1000,1100,900,25700,28.0,17,1000,1100,1100,1000,100,1082,1100,100.0,10.0,1093,1068,4900.0,1000.0,25700.0,28.0,28.0,25.0,3,30600.0,26700.0,3900,-,
11/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
10/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
09/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
08/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
05/07/2024,15322723,15043161,1000,1100,900,5300,5.0,15,1000,1000,1100,1000,100,1013,1000,,,654,1282,3200.0,8800.0,5300.0,5.0,13.0,11.0,2,8500.0,14100.0,-5600,-,
04/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
03/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
02/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
01/07/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
28/06/2024,15322723,15043161,1000,1100,900,14000,14.0,15,1000,1000,1100,1000,100,1032,1000,,,1219,1273,17700.0,,14000.0,14.0,26.0,11.0,15,31700.0,14000.0,17700,-,
27/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
26/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
25/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
24/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
21/06/2024,15322723,15043161,1000,1100,900,5600,6.0,17,1000,1100,1100,1000,100,1023,1100,100.0,10.0,2309,467,45200.0,,5600.0,6.0,22.0,12.0,10,50800.0,5600.0,45200,-,
20/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
19/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
18/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
17/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
14/06/2024,15322723,15043161,1000,1100,900,9400,9.0,15,1000,1000,1100,1000,100,1003,1000,,,1427,2300,6300.0,25100.0,9400.0,9.0,11.0,15.0,-4,15700.0,34500.0,-18800,-,
13/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
12/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
11/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
10/06/2024,15322723,15043161,1000,1100,900,-,,15,1000,1000,1000,1000,-,1000,1000,,,-,-,,,,,,,-,,,-,-,
07/06/2024,15322723,15043161,1100,1200,1000,3300,3.0,15,1100,1000,1100,1000,100,1048,1000,-100.0,-9.09,486,1457,100.0,6900.0,3300.0,3.0,7.0,7.0,-,3400.0,10200.0,-6800,-,
06/06/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
05/06/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
04/06/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
03/06/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
31/05/2024,15322723,15043161,1100,1200,1000,3500,4.0,18,1100,1200,1200,1100,100,1114,1200,100.0,9.09,1063,3520,5000.0,14100.0,3500.0,4.0,8.0,5.0,3,8500.0,17600.0,-9100,-,
30/05/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
29/05/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
28/05/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
27/05/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
24/05/2024,15322723,15043161,1100,1200,1000,17800,20.0,18,1100,1200,1200,1100,100,1144,1200,100.0,9.09,2244,2278,2400.0,2700.0,17800.0,20.0,9.0,9.0,-,20200.0,20500.0,-300,-,
23/05/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
22/05/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
21/05/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
20/05/2024,15322723,15043161,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
