Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,767604759,767604759,27950,29900,26000,4244100,118949,21531,28200,28050,28450,27800,650,28027,28100,100.0,0.36,2637,3308,70300.0,147600.0,4244100,118949,3127.0,3098.0,29,8245900.0,10248100.0,-2002200,-,
26/09/2024,767604759,767604759,28050,30000,26100,5081500,143067,21455,28200,27950,28550,27800,750,28154,28000,-100.0,-0.36,2738,3014,112700.0,140400.0,5081500,143067,3120.0,3728.0,-608,8543400.0,11237100.0,-2693700,-,
25/09/2024,767604759,767604759,28200,30150,26250,4155400,116849,21531,28400,28050,28400,27950,450,28120,28100,-150.0,-0.53,2391,2835,477600.0,127200.0,4155400,116849,3289.0,3665.0,-376,7862500.0,10390300.0,-2527800,-,
24/09/2024,767604759,767604759,26400,28200,24600,13128160,361574,21646,26350,28200,28200,26200,2000,27723,28200,1800.0,6.82,3890,2344,507000.0,407300.0,11979800,332111,6567.0,8025.0,-1458,25547800.0,18812600.0,6735200,1148360,29463.0
23/09/2024,767604759,767604759,26650,28500,24800,2278100,60456,20265,26650,26400,26800,26300,500,26538,26400,-250.0,-0.94,1970,3269,243500.0,224600.0,2278100,60456,2072.0,1611.0,461,4081000.0,5266300.0,-1185300,-,
20/09/2024,767604759,767604759,26750,28600,24900,4616300,123541,20457,26900,26650,27150,26500,650,26765,26700,-100.0,-0.37,2648,2335,254400.0,92000.0,4419300,118283,2903.0,4148.0,-1245,7687000.0,9683700.0,-1996700,197000,5258.0
19/09/2024,767604759,767604759,25250,27000,23500,5653100,148061,20533,25400,26750,26900,25400,1500,26191,26800,1500.0,5.94,4044,2078,108200.0,160600.0,5653100,148061,2843.0,4128.0,-1285,11496000.0,8580000.0,2916000,-,
18/09/2024,767604759,767604759,25250,27000,23500,1487400,37847,19382,25250,25250,25600,25250,350,25445,25300,,,2024,2473,90600.0,62500.0,1487400,37847,1278.0,1463.0,-185,2586700.0,3617900.0,-1031200,-,
17/09/2024,767604759,767604759,24700,26400,23000,2114400,52364,19382,24700,25250,25350,24450,900,24765,25300,550.0,2.23,2468,3316,57300.0,44700.0,2114400,52364,2058.0,1066.0,992,5079100.0,3535200.0,1543900,-,
