Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,28599996,28599996,17100,19600,14600,-,,489,17100,17100,17100,17100,-,17100,17100,,,770,-,7700.0,,,,10.0,,10,7700.0,,7700,-,
26/09/2024,28599996,28599996,17100,19600,14600,-,,489,17100,17100,17100,17100,-,17100,17100,,,844,-,7600.0,,,,9.0,,9,7600.0,,7600,-,
25/09/2024,28599996,28599996,17100,19600,14600,-,,489,17100,17100,17100,17100,-,17100,17100,,,594,-,9500.0,,,,16.0,,16,9500.0,,9500,-,
24/09/2024,28599996,28599996,17100,19600,14600,24590,359.0,489,17100,17100,17100,17100,-,17100,17100,,,633,-,11400.0,,,,18.0,,18,11400.0,,11400,24590,359.0
23/09/2024,28599996,28599996,27600,38600,16600,100,2.0,489,17100,17100,17100,17100,-,17100,17100,-10500.0,-38.04,427,100,6300.0,,100.0,2.0,15.0,1.0,14,6400.0,100.0,6300,-,
20/09/2024,28599996,28599996,27600,38600,16600,-,,789,27600,27600,27600,27600,-,27600,27600,,,2000,-,4000.0,,,,2.0,,2,4000.0,,4000,-,
19/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,100,100,100.0,100.0,,,1.0,1.0,-,100.0,100.0,-,-,
18/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
17/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
16/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
13/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
12/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,150,-,300.0,,,,2.0,,2,300.0,,300,-,
11/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
10/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
09/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,67,-,200.0,,,,3.0,,3,200.0,,200,-,
06/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,67,-,200.0,,,,3.0,,3,200.0,,200,-,
05/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,40,-,200.0,,,,5.0,,5,200.0,,200,-,
04/09/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,200,-,800.0,,,,4.0,,4,800.0,,800,-,
30/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
29/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,350,-,700.0,,,,2.0,,2,700.0,,700,-,
28/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,-,-,,,,,2.0,,2,,,-,-,
27/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
26/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,75,-,300.0,,,,4.0,,4,300.0,,300,-,
23/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,367,-,1100.0,,,,3.0,,3,1100.0,,1100,-,
22/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
21/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,175,-,700.0,,,,4.0,,4,700.0,,700,-,
20/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,175,-,700.0,,,,4.0,,4,700.0,,700,-,
19/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,133,-,800.0,,,,6.0,,6,800.0,,800,-,
16/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,867,-,2600.0,,,,3.0,,3,2600.0,,2600,-,
15/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,2500,-,2500.0,,,,1.0,,1,2500.0,,2500,-,
14/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
13/08/2024,28599996,28599996,27600,31700,23500,-,,789,27600,27600,27600,27600,-,27600,27600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
12/08/2024,28599996,28599996,24000,27600,20400,100,3.0,789,27600,27600,27600,27600,-,27600,27600,3600.0,15.0,300,100,1700.0,,100.0,3.0,6.0,1.0,5,1800.0,100.0,1700,-,
09/08/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,2500,100,2500.0,100.0,,,1.0,1.0,-,2500.0,100.0,2400,-,
08/08/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,100,100,100.0,100.0,,,1.0,1.0,-,100.0,100.0,-,-,
07/08/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
06/08/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
05/08/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,-,100,,100.0,,,2.0,1.0,1,,100.0,-100,-,
02/08/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,367,100,1100.0,100.0,,,3.0,1.0,2,1100.0,100.0,1000,-,
01/08/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
31/07/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,100,100,100.0,100.0,,,1.0,1.0,-,100.0,100.0,-,-,
30/07/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
29/07/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,100,100,200.0,100.0,,,2.0,1.0,1,200.0,100.0,100,-,
26/07/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,40,100,200.0,100.0,,,5.0,1.0,4,200.0,100.0,100,-,
25/07/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,100,100,100.0,100.0,,,1.0,1.0,-,100.0,100.0,-,-,
24/07/2024,28599996,28599996,24000,27600,20400,-,,686,24000,24000,24000,24000,-,24000,24000,,,1300,100,2600.0,100.0,,,2.0,1.0,1,2600.0,100.0,2500,-,
