Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,365281878,361481878,13200,15100,11300,335657,4605,4952,13200,13700,13900,13200,700,13718,13700,500.0,3.79,2606,2149,169843,158543,335657,4605,194,230,-36,505500,494200,11300,-,
26/09/2024,365281878,361481878,13100,15000,11200,123237,1632,4808,13100,13300,13400,13000,400,13240,13300,200.0,1.53,1107,1801,40663,49663,123237,1632,148,96,52,163900,172900,-9000,-,
25/09/2024,365281878,361481878,13100,15000,11200,58349,764,4735,13100,13100,13100,13100,-,13100,13100,,,1554,2255,25551,72451,58349,764,54,58,-4,83900,130800,-46900,-,
24/09/2024,365281878,361481878,13200,15100,11300,100021,1313,4772,13100,13200,13200,13000,200,13128,13200,,,1788,2715,44779,62879,100021,1313,81,60,21,144800,162900,-18100,-,
23/09/2024,365281878,361481878,13200,15100,11300,204909,2690,4772,13200,13200,13200,13100,100,13170,13200,,,2565,2805,36162,92562,86938,1145,48,64,-16,123100,179500,-56400,117971,1545.0
20/09/2024,365281878,361481878,13200,15100,11300,124248,1641,4772,13200,13200,13300,13200,100,13210,13200,,,2384,2541,59352,81552,124248,1641,77,81,-4,183600,205800,-22200,-,
19/09/2024,365281878,361481878,12900,14800,11000,200216,2633,4808,12900,13300,13300,12900,400,13151,13300,400.0,3.1,2342,2084,73784,118684,200216,2633,117,153,-36,274000,318900,-44900,-,
18/09/2024,365281878,361481878,12900,14800,11000,474844,5952,4663,12900,12900,13000,12900,100,12903,12900,,,1638,2610,49856,93856,41844,540,56,52,4,91700,135700,-44000,433000,5413.0
17/09/2024,365281878,361481878,13000,14900,11100,61131,788,4663,13000,12900,13000,12800,200,12886,12900,-100.0,-0.77,1525,3282,37969,142369,61131,788,65,62,3,99100,203500,-104400,-,
16/09/2024,365281878,361481878,13000,14900,11100,459558,5974,4699,13000,13000,13100,12900,200,12999,13000,,,2843,4087,51142,145642,99558,1294,53,60,-7,150700,245200,-94500,360000,4680.0
13/09/2024,365281878,361481878,13100,15000,11200,141264,1849,4735,13000,13100,13100,13000,100,13002,13100,,,3364,3722,93836,181636,101264,1317,58,76,-18,195100,282900,-87800,40000,532.0
12/09/2024,365281878,361481878,12900,14800,11000,128802,1685,4735,12900,13100,13200,12900,300,13079,13100,200.0,1.55,2345,2067,49398,121298,128802,1685,76,121,-45,178200,250100,-71900,-,
11/09/2024,365281878,361481878,13100,15000,11200,60076,775,4663,13000,12900,13000,12800,200,12909,12900,-200.0,-1.53,1860,2611,38524,135724,60076,775,53,75,-22,98600,195800,-97200,-,
10/09/2024,365281878,361481878,13000,14900,11100,92582,1209,4699,13000,13000,13400,13000,400,13061,13000,,,1805,2045,21118,103718,92582,1209,63,96,-33,113700,196300,-82600,-,
09/09/2024,365281878,361481878,12700,14600,10800,121330,1576,4735,12700,13100,13100,12700,400,12991,13100,400.0,3.15,1815,1877,49270,103870,121330,1576,94,120,-26,170600,225200,-54600,-,
