Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5992020,5992020,11900,13000,10800,2,0.0,71,11900,11900,11900,11900,-,11900,11900,,,200,3550,198.0,21298.0,2.0,0.0,1.0,6,-5,200.0,21300,-21100,-,
26/09/2024,5992020,5992020,11900,13000,10800,100,1.0,71,11900,11900,11900,11900,-,11900,11900,,,267,3057,700.0,21300.0,100.0,1.0,3.0,7,-4,800.0,21400,-20600,-,
25/09/2024,5992020,5992020,11900,13000,10800,-,,71,11900,11900,11900,11900,-,11900,11900,,,300,3550,600.0,21300.0,,,2.0,6,-4,600.0,21300,-20700,-,
24/09/2024,5992020,5992020,11900,13000,10800,-,,71,11900,11900,11900,11900,-,11900,11900,,,750,3550,1500.0,21300.0,,,2.0,6,-4,1500.0,21300,-19800,-,
23/09/2024,5992020,5992020,11900,13000,10800,1,0.0,71,11900,11900,11900,11900,-,11900,11900,,,500,3550,499.0,21299.0,1.0,0.0,1.0,6,-5,500.0,21300,-20800,-,
20/09/2024,5992020,5992020,11800,12900,10700,500,6.0,71,11900,11900,11900,11900,-,11900,11900,100.0,0.85,250,2380,,23300.0,500.0,6.0,2.0,10,-8,500.0,23800,-23300,-,
19/09/2024,5992020,5992020,11800,12900,10700,-,,71,11800,11800,11800,11800,-,11800,11800,,,633,3143,1900.0,22000.0,,,3.0,7,-4,1900.0,22000,-20100,-,
18/09/2024,5992020,5992020,11800,12900,10700,1000,12.0,71,11800,11800,11800,11800,-,11800,11800,,,467,2150,400.0,20500.0,1000.0,12.0,3.0,10,-7,1400.0,21500,-20100,-,
17/09/2024,5992020,5992020,11800,12900,10700,-,,71,11800,11800,11800,11800,-,11800,11800,,,500,2750,500.0,22000.0,,,1.0,8,-7,500.0,22000,-21500,-,
16/09/2024,5992020,5992020,11800,12900,10700,1300,15.0,71,11800,11800,12000,11800,200,11846,11800,,,450,2164,500.0,22500.0,1300.0,15.0,4.0,11,-7,1800.0,23800,-22000,-,
13/09/2024,5992020,5992020,11800,12900,10700,-,,71,11800,11800,11800,11800,-,11800,11800,,,200,2522,200.0,22700.0,,,1.0,9,-8,200.0,22700,-22500,-,
12/09/2024,5992020,5992020,11800,12900,10700,-,,71,11800,11800,11800,11800,-,11800,11800,,,350,3186,700.0,22300.0,,,2.0,7,-5,700.0,22300,-21600,-,
11/09/2024,5992020,5992020,11800,12900,10700,-,,71,11800,11800,11800,11800,-,11800,11800,,,400,4540,800.0,22700.0,,,2.0,5,-3,800.0,22700,-21900,-,
