Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3600000,3600000,27300,30000,24600,100,3.0,108,30000,30000,30000,30000,-,30000,30000,2700.0,9.89,1067,500,3100.0,900.0,100.0,3.0,3.0,2.0,1,3200.0,1000.0,2200,-,
26/09/2024,3600000,3600000,27000,29700,24300,1200,33.0,98,27300,27300,27300,27300,-,27300,27300,300.0,1.11,2000,550,4800.0,1000.0,1200.0,33.0,3.0,4.0,-1,6000.0,2200.0,3800,-,
25/09/2024,3600000,3600000,27000,29700,24300,2501,68.0,97,27000,27000,27000,27000,-,27000,27000,,,1300,543,99.0,1299.0,2501.0,68.0,2.0,7.0,-5,2600.0,3800.0,-1200,-,
24/09/2024,3600000,3600000,27000,29700,24300,-,,97,27000,27000,27000,27000,-,27000,27000,,,-,650,,1300.0,,,,2.0,-2,,1300.0,-1300,-,
23/09/2024,3600000,3600000,26800,29400,24200,3200,86.0,97,27000,27000,27000,27000,-,27000,27000,200.0,0.75,3200,1375,,2300.0,3200.0,86.0,1.0,4.0,-3,3200.0,5500.0,-2300,-,
20/09/2024,3600000,3600000,26700,29300,24100,3500,94.0,96,26800,26800,26800,26800,-,26800,26800,100.0,0.37,3600,2667,3700.0,4500.0,3500.0,94.0,2.0,3.0,-1,7200.0,8000.0,-800,-,
19/09/2024,3600000,3600000,26700,29300,24100,-,,96,26700,26700,26700,26700,-,26700,26700,,,4000,1400,4000.0,4200.0,,,1.0,3.0,-2,4000.0,4200.0,-200,-,
18/09/2024,3600000,3600000,26700,29300,24100,-,,96,26700,26700,26700,26700,-,26700,26700,,,-,900,,4500.0,,,1.0,5.0,-4,,4500.0,-4500,-,
17/09/2024,3600000,3600000,26000,28600,23400,7700,204.0,96,26500,26700,26700,26500,200,26533,26700,700.0,2.69,1417,1525,800.0,4500.0,7700.0,204.0,6.0,8.0,-2,8500.0,12200.0,-3700,-,
16/09/2024,3600000,3600000,26000,28600,23400,-,,94,26000,26000,26000,26000,-,26000,26000,,,100,3167,100.0,9500.0,,,1.0,3.0,-2,100.0,9500.0,-9400,-,
13/09/2024,3600000,3600000,25500,28000,23000,500,13.0,94,26000,26000,26000,26000,-,26000,26000,500.0,1.96,750,1125,1000.0,4000.0,500.0,13.0,2.0,4.0,-2,1500.0,4500.0,-3000,-,
12/09/2024,3600000,3600000,25500,28000,23000,34600,882.0,92,25500,25500,25500,25500,-,25500,25500,,,9750,6114,4400.0,8200.0,34600.0,882.0,4.0,7.0,-3,39000.0,42800.0,-3800,-,
11/09/2024,3600000,3600000,24500,26900,22100,36400,931.0,92,26900,25500,26900,25500,1400,25627,25500,1000.0,4.08,7557,5200,16500.0,,36400.0,931.0,7.0,7.0,-,52900.0,36400.0,16500,-,
10/09/2024,3600000,3600000,24500,26900,22100,-,,88,24500,24500,24500,24500,-,24500,24500,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
09/09/2024,3600000,3600000,25000,27500,22500,4500,110.0,88,24500,24500,24500,24500,-,25000,24500,-500.0,-2.0,3500,1950,2500.0,3300.0,4500.0,110.0,2.0,4.0,-2,7000.0,7800.0,-800,-,
06/09/2024,3600000,3600000,24200,26600,21800,7000,177.0,90,25200,25000,25500,25000,500,25243,25000,800.0,3.31,1333,2333,1000.0,,7000.0,177.0,6.0,3.0,3,8000.0,7000.0,1000,-,
