Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,15228019,15228019,16950,18100,15800,400,6.0,262,16950,17200,17200,16950,250,15000.0,17200,250.0,1.47,447,924,3600.0,5200.0,400.0,6.0,17.0,33.0,-16,7600.0,30500.0,-22900,-,
26/09/2024,15228019,15228019,17400,18600,16200,4800,81.0,258,16900,16950,16950,16800,150,16875.0,17000,-450.0,-2.59,775,1162,5200.0,8000.0,4800.0,81.0,32.0,21.0,11,24800.0,24400.0,400,-,
25/09/2024,15228019,15228019,17450,18650,16250,12100,203.0,265,16900,17400,17400,16800,600,16777.0,17400,-50.0,-0.29,853,2106,2600.0,3000.0,12100.0,203.0,40.0,17.0,23,34100.0,35800.0,-1700,-,
24/09/2024,15228019,15228019,17000,18150,15850,1300,22.0,266,17000,17450,17800,17000,800,16923.0,17500,450.0,2.65,596,692,1400.0,3000.0,1300.0,22.0,24.0,24.0,-,14300.0,16600.0,-2300,-,
23/09/2024,15228019,15228019,17000,18150,15850,300,5.0,259,17000,17000,17000,17000,-,16667.0,17000,,,593,858,2200.0,7800.0,300.0,5.0,14.0,12.0,2,8300.0,10300.0,-2000,-,
20/09/2024,15228019,15228019,17000,18150,15850,500,8.0,259,17000,17000,17000,17000,-,16000.0,17000,,,491,1436,1800.0,9400.0,500.0,8.0,23.0,11.0,12,11300.0,15800.0,-4500,-,
19/09/2024,15228019,15228019,17550,18750,16350,200,3.0,259,17700,17000,17700,17000,700,15000.0,17000,-550.0,-3.13,560,1996,900.0,17200.0,200.0,3.0,15.0,24.0,-9,8400.0,47900.0,-39500,-,
18/09/2024,15228019,15228019,17350,18550,16150,22700,385.0,267,17000,17550,17550,16900,650,16960.0,17600,200.0,1.15,817,2112,3000.0,6000.0,22700.0,385.0,41.0,26.0,15,33500.0,54900.0,-21400,-,
17/09/2024,15228019,15228019,17450,18650,16250,600,10.0,264,17500,17350,17500,17350,150,16667.0,17400,-100.0,-0.57,838,1142,3100.0,8200.0,600.0,10.0,16.0,12.0,4,13400.0,13700.0,-300,-,
16/09/2024,15228019,15228019,17650,18850,16450,6500,112.0,266,17650,17450,17650,17000,650,17231.0,17500,-200.0,-1.13,1050,1448,3500.0,8400.0,6500.0,112.0,22.0,21.0,1,23100.0,30400.0,-7300,-,
13/09/2024,15228019,15228019,17200,18400,16000,5700,99.0,269,17200,17650,17900,17000,900,17368.0,17700,450.0,2.62,1085,838,1700.0,4100.0,5700.0,99.0,26.0,21.0,5,28200.0,17600.0,10600,-,
12/09/2024,15228019,15228019,17200,18400,16000,1000,17.0,262,17200,17200,17200,17200,-,17000.0,17200,,,852,1245,6700.0,6600.0,1000.0,17.0,23.0,11.0,12,19600.0,13700.0,5900,-,
11/09/2024,15228019,15228019,16800,17950,15650,2100,34.0,262,16600,17200,17200,16600,600,16190.0,17200,400.0,2.38,817,1191,4000.0,7100.0,2100.0,34.0,18.0,11.0,7,14700.0,13100.0,1600,-,
10/09/2024,15228019,15228019,16750,17900,15600,18700,313.0,256,16850,16800,17200,16750,450,16738.0,16800,50.0,0.3,1363,1611,8200.0,1800.0,18700.0,313.0,32.0,18.0,14,43600.0,29000.0,14600,-,
