Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
26/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,400,-,1200.0,,,,3.0,,3,1200.0,,1200,-,
25/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,325,-,1300.0,,,,4.0,,4,1300.0,,1300,-,
24/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,400,-,1200.0,,,,3.0,,3,1200.0,,1200,-,
23/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
20/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
19/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
18/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
17/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
16/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
13/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
12/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,550,-,1100.0,,,,2.0,,2,1100.0,,1100,-,
11/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
10/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,550,-,1100.0,,,,2.0,,2,1100.0,,1100,-,
09/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
06/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
05/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
04/09/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
30/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
29/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
28/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
27/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
26/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
23/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
22/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
21/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
20/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
19/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
16/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
15/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
14/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
13/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
12/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
09/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
08/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
07/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,1.0,,1,,,-,-,
06/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
05/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
02/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
01/08/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
31/07/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
30/07/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
29/07/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
26/07/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
25/07/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,550,-,1100.0,,,,2.0,,2,1100.0,,1100,-,
24/07/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
23/07/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
22/07/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,300,-,600.0,,,,2.0,,2,600.0,,600,-,
19/07/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,-,-,,,,,,,-,,,-,-,
18/07/2024,1500000,1500000,14900,20800,9000,-,,22,14900,14900,14900,14900,-,14900,14900,,,500,-,500.0,,,,1.0,,1,500.0,,500,-,
17/07/2024,1500000,1500000,14900,17100,12700,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
16/07/2024,1500000,1500000,14900,17100,12700,-,,22,14900,14900,14900,14900,-,14900,14900,,,500,-,500.0,,,,1.0,,1,500.0,,500,-,
15/07/2024,1500000,1500000,14900,17100,12700,-,,22,14900,14900,14900,14900,-,14900,14900,,,3033,-,9100.0,,,,3.0,,3,9100.0,,9100,-,
12/07/2024,1500000,1500000,14900,17100,12700,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
11/07/2024,1500000,1500000,14900,17100,12700,-,,22,14900,14900,14900,14900,-,14900,14900,,,6000,-,12000.0,,,,2.0,,2,12000.0,,12000,-,
10/07/2024,1500000,1500000,14900,17100,12700,-,,22,14900,14900,14900,14900,-,14900,14900,,,1550,-,3100.0,,,,2.0,,2,3100.0,,3100,-,
09/07/2024,1500000,1500000,14900,17100,12700,-,,22,14900,14900,14900,14900,-,14900,14900,,,1550,-,3100.0,,,,2.0,,2,3100.0,,3100,-,
08/07/2024,1500000,1500000,14900,17100,12700,-,,22,14900,14900,14900,14900,-,14900,14900,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
