Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12703167,12703135,17000,18700,15300,59601,927.0,197,17000,15500,18100,15300,2800,15550,15500,-1500.0,-8.82,747,1784,7599.0,17099.0,59601.0,927.0,90.0,43,47,67200.0,76700,-9500,-,
26/09/2024,12703167,12703135,17900,19600,16200,28200,481.0,216,17100,17000,17100,17000,100,17074,17000,-900.0,-5.03,1364,2131,1800.0,5900.0,28200.0,481.0,22.0,16,6,30000.0,34100,-4100,-,
25/09/2024,12703167,12703135,18000,19800,16200,1000,17.0,227,17800,17900,17900,16800,1100,17380,17900,-100.0,-0.56,324,386,4500.0,4400.0,1000.0,17.0,17.0,14,3,5500.0,5400,100,-,
24/09/2024,12703167,12703135,18000,19800,16200,-,,229,18000,18000,18000,18000,-,18000,18000,,,610,622,6100.0,5600.0,,,10.0,9,1,6100.0,5600,500,-,
23/09/2024,12703167,12703135,18000,19800,16200,-,,229,18000,18000,18000,18000,-,18000,18000,,,760,520,3800.0,5200.0,,,5.0,10,-5,3800.0,5200,-1400,-,
20/09/2024,12703167,12703135,18300,20100,16500,201,4.0,229,17400,18000,18000,17400,600,17700,18000,-300.0,-1.64,447,359,6499.0,5899.0,201.0,4.0,15.0,17,-2,6700.0,6100,600,-,
19/09/2024,12703167,12703135,17400,19100,15700,300,5.0,232,18100,18300,18300,18100,200,18167,18300,900.0,5.17,290,255,5800.0,5300.0,300.0,5.0,21.0,22,-1,6100.0,5600,500,-,
18/09/2024,12703167,12703135,15900,17400,14400,7700,133.0,221,17100,17400,17400,17100,300,17336,17400,1500.0,9.43,329,465,4800.0,200.0,7700.0,133.0,38.0,17,21,12500.0,7900,4600,-,
17/09/2024,12703167,12703135,16500,18100,14900,4600,74.0,202,15400,15900,17500,15300,2200,16016,15900,-600.0,-3.64,659,455,9900.0,4500.0,4600.0,74.0,22.0,20,2,14500.0,9100,5400,-,
16/09/2024,12703167,12703135,17000,18700,15300,1008,17.0,210,17000,16500,17000,16500,500,16800,16500,-500.0,-2.94,295,455,5192.0,3992.0,1008.0,17.0,21.0,11,10,6200.0,5000,1200,-,
13/09/2024,12703167,12703135,18800,20600,17000,11300,193.0,216,17300,17000,17300,17000,300,17048,17000,-1800.0,-9.57,574,942,6500.0,6600.0,11300.0,193.0,31.0,19,12,17800.0,17900,-100,-,
12/09/2024,12703167,12703135,18800,20600,17000,-,,239,18800,18800,18800,18800,-,18800,18800,,,333,733,2000.0,6600.0,,,6.0,9,-3,2000.0,6600,-4600,-,
11/09/2024,12703167,12703135,18800,20600,17000,-,,239,18800,18800,18800,18800,-,18800,18800,,,350,618,1400.0,6800.0,,,4.0,11,-7,1400.0,6800,-5400,-,
10/09/2024,12703167,12703135,18700,20500,16900,26000,490.0,239,18700,18800,19000,18700,300,18843,18800,100.0,0.53,2573,1186,2300.0,8400.0,26000.0,490.0,11.0,29,-18,28300.0,34400,-6100,-,
09/09/2024,12703167,12703135,18700,20500,16900,-,,238,18700,18700,18700,18700,-,18700,18700,,,150,558,300.0,6700.0,,,2.0,12,-10,300.0,6700,-6400,-,
06/09/2024,12703167,12703135,18700,20500,16900,-,,238,18700,18700,18700,18700,-,18700,18700,,,500,700,1500.0,7700.0,,,3.0,11,-8,1500.0,7700,-6200,-,
05/09/2024,12703167,12703135,18800,20600,17000,2419,44.0,238,17000,18700,18700,17000,1700,17000,18700,-100.0,-0.53,825,723,881.0,6981.0,2419.0,44.0,4.0,13,-9,3300.0,9400,-6100,-,
04/09/2024,12703167,12703135,18800,20600,17000,-,,239,18800,18800,18800,18800,-,18800,18800,,,500,465,1000.0,7900.0,,,2.0,17,-15,1000.0,7900,-6900,-,
30/08/2024,12703167,12703135,18800,20600,17000,-,,239,18800,18800,18800,18800,-,18800,18800,,,600,489,1200.0,8800.0,,,2.0,18,-16,1200.0,8800,-7600,-,
29/08/2024,12703167,12703135,18800,20600,17000,-,,239,18800,18800,18800,18800,-,18800,18800,,,1000,569,1000.0,9100.0,,,1.0,16,-15,1000.0,9100,-8100,-,
28/08/2024,12703167,12703135,18800,20600,17000,-,,239,18800,18800,18800,18800,-,18800,18800,,,280,612,1400.0,10400.0,,,5.0,17,-12,1400.0,10400,-9000,-,
27/08/2024,12703167,12703135,18700,20500,16900,200,4.0,239,17000,18800,18800,17000,1800,17900,18800,100.0,0.53,325,458,1100.0,8500.0,200.0,4.0,4.0,19,-15,1300.0,8700,-7400,-,
26/08/2024,12703167,12703135,18400,20200,16600,98400,1684.0,238,17100,18700,18700,17000,1700,17114,18700,300.0,1.63,5033,5010,7300.0,6800.0,98400.0,1684.0,21.0,21,-,105700.0,105200,500,-,
23/08/2024,12703167,12703135,18400,20200,16600,-,,234,18400,18400,18400,18400,-,18400,18400,,,500,780,2000.0,7800.0,,,4.0,10,-6,2000.0,7800,-5800,-,
22/08/2024,12703167,12703135,18400,20200,16600,-,,234,18400,18400,18400,18400,-,18400,18400,,,725,778,5800.0,7000.0,,,8.0,9,-1,5800.0,7000,-1200,-,
21/08/2024,12703167,12703135,18400,20200,16600,-,,234,18400,18400,18400,18400,-,18400,18400,,,-,642,,7700.0,,,,12,-12,,7700,-7700,-,
20/08/2024,12703167,12703135,18400,20200,16600,-,,234,18400,18400,18400,18400,-,18400,18400,,,550,467,1100.0,5600.0,,,2.0,12,-10,1100.0,5600,-4500,-,
19/08/2024,12703167,12703135,18400,20200,16600,-,,234,18400,18400,18400,18400,-,18400,18400,,,1000,260,1000.0,2600.0,,,1.0,10,-9,1000.0,2600,-1600,-,
16/08/2024,12703167,12703135,18400,20200,16600,-,,234,18400,18400,18400,18400,-,18400,18400,,,1050,731,2100.0,9500.0,,,2.0,13,-11,2100.0,9500,-7400,-,
15/08/2024,12703167,12703135,18400,20200,16600,-,,234,18400,18400,18400,18400,-,18400,18400,,,1000,2325,1000.0,27900.0,,,1.0,12,-11,1000.0,27900,-26900,-,
14/08/2024,12703167,12703135,18400,20200,16600,-,,234,18400,18400,18400,18400,-,18400,18400,,,100,1840,200.0,27600.0,,,2.0,15,-13,200.0,27600,-27400,-,
13/08/2024,12703167,12703135,17100,18800,15400,101,2.0,234,18400,18400,18400,18400,-,17100,18400,1300.0,7.6,300,1979,1699.0,27599.0,101.0,2.0,6.0,14,-8,1800.0,27700,-25900,-,
12/08/2024,12703167,12703135,19000,20900,17100,500,9.0,217,17100,17100,18800,17100,1700,17440,17100,-1900.0,-10.0,420,2056,1600.0,32400.0,500.0,9.0,5.0,16,-11,2100.0,32900,-30800,-,
09/08/2024,12703167,12703135,19000,20900,17100,-,,241,19000,19000,19000,19000,-,19000,19000,,,1000,700,1000.0,5600.0,,,1.0,8,-7,1000.0,5600,-4600,-,
08/08/2024,12703167,12703135,19000,20900,17100,1,0.0,241,19000,19000,19000,19000,-,19000,19000,,,1000,3044,999.0,27399.0,1.0,0.0,1.0,9,-8,1000.0,27400,-26400,-,
07/08/2024,12703167,12703135,19000,20900,17100,-,,241,19000,19000,19000,19000,-,19000,19000,,,-,562,,7300.0,,,,13,-13,,7300,-7300,-,
06/08/2024,12703167,12703135,19300,21200,17400,9801,186.0,241,19000,19000,19000,19000,-,19000,19000,-300.0,-1.55,5400,1100,999.0,6699.0,9801.0,186.0,2.0,15,-13,10800.0,16500,-5700,-,
05/08/2024,12703167,12703135,19300,21200,17400,-,,245,19300,19300,19300,19300,-,19300,19300,,,-,600,,6000.0,,,,10,-10,,6000,-6000,-,
02/08/2024,12703167,12703135,19300,21200,17400,-,,245,19300,19300,19300,19300,-,19300,19300,,,-,792,,9500.0,,,,12,-12,,9500,-9500,-,
01/08/2024,12703167,12703135,19300,21200,17400,-,,245,19300,19300,19300,19300,-,19300,19300,,,100,573,100.0,6300.0,,,1.0,11,-10,100.0,6300,-6200,-,
31/07/2024,12703167,12703135,19300,21200,17400,-,,245,19300,19300,19300,19300,-,19300,19300,,,33,541,100.0,9200.0,,,3.0,17,-14,100.0,9200,-9100,-,
30/07/2024,12703167,12703135,18000,19800,16200,3100,54.0,245,17000,19300,19300,17000,2300,17077,19300,1300.0,7.22,500,1505,2400.0,25500.0,3100.0,54.0,11.0,19,-8,5500.0,28600,-23100,-,
