Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,50012010,50012010,37400,40000,34800,306000,11412,1850,37050,37000,38000,37000,1000,37294,37000,-400.0,-1.07,1049,816,33000.0,7800.0,306000,11412,595.0,585.0,10,624000.0,477500.0,146500,-,
26/09/2024,50012010,50012010,38050,40700,35400,91400,3439,1870,38500,37400,38500,37400,1100,37626,37400,-650.0,-1.71,860,1323,39700.0,1800.0,91400,3439,307.0,278.0,29,264100.0,367900.0,-103800,-,
25/09/2024,50012010,50012010,37900,40550,35250,237400,9126,1903,38000,38050,38950,37700,1250,38441,38100,150.0,0.4,2314,1037,3600.0,6800.0,237400,9126,405.0,572.0,-167,937000.0,593300.0,343700,-,
24/09/2024,50012010,50012010,36900,39450,34350,290400,10856,1895,36900,37900,37900,36800,1100,37383,37900,1000.0,2.71,1749,1183,16600.0,43600.0,290400,10856,395.0,543.0,-148,690800.0,642200.0,48600,-,
23/09/2024,50012010,50012010,37200,39800,34600,158000,5815,1845,37200,36900,37200,36500,700,36804,36900,-300.0,-0.81,923,1292,7900.0,8800.0,158000,5815,305.0,293.0,12,281500.0,378600.0,-97100,-,
20/09/2024,50012010,50012010,37700,40300,35100,123100,4600,1860,37900,37200,37900,37150,750,37368,37200,-500.0,-1.33,734,1357,6800.0,1800.0,123100,4600,338.0,268.0,70,248000.0,363800.0,-115800,-,
19/09/2024,50012010,50012010,37200,39800,34600,164800,6176,1885,37200,37700,37800,36850,950,37476,37700,500.0,1.34,1524,1316,15000.0,3800.0,164800,6176,199.0,262.0,-63,303300.0,344700.0,-41400,-,
18/09/2024,50012010,50012010,36950,39500,34400,69900,2601,1860,36950,37200,37800,36500,1300,37210,37200,250.0,0.68,765,1443,2600.0,15000.0,69900,2601,240.0,266.0,-26,183500.0,383900.0,-200400,-,
17/09/2024,50012010,50012010,36200,38700,33700,94600,3460,1848,36300,36950,36950,36000,950,36575,37000,750.0,2.07,844,1214,4900.0,15200.0,94600,3460,248.0,175.0,73,209300.0,212500.0,-3200,-,
16/09/2024,50012010,50012010,36750,39300,34200,97900,3562,1810,36600,36200,36950,36200,750,36384,36200,-550.0,-1.5,790,1186,5200.0,13900.0,97900,3562,266.0,201.0,65,210100.0,238300.0,-28200,-,
13/09/2024,50012010,50012010,36850,39400,34300,101400,3707,1838,36850,36750,36850,36450,400,36558,36800,-100.0,-0.27,869,1808,8600.0,5400.0,101400,3707,269.0,146.0,123,233700.0,264000.0,-30300,-,
12/09/2024,50012010,50012010,36650,39200,34100,90000,3298,1843,36750,36850,37250,36500,750,36644,36900,200.0,0.55,690,601,19500.0,4500.0,90000,3298,299.0,358.0,-59,206400.0,215300.0,-8900,-,
11/09/2024,50012010,50012010,37400,40000,34800,127400,4659,1833,36900,36650,37250,36300,950,36570,36700,-750.0,-2.01,830,2726,22800.0,25400.0,127400,4659,433.0,196.0,237,359600.0,534300.0,-174700,-,
10/09/2024,50012010,50012010,37200,39800,34600,125500,4642,1870,37200,37400,37400,36500,900,36988,37400,200.0,0.54,701,1472,4500.0,56500.0,125500,4642,321.0,205.0,116,224900.0,301800.0,-76900,-,
09/09/2024,50012010,50012010,37200,39800,34600,49900,1843,1860,37200,37200,37350,36900,450,36934,37200,,,679,1533,2200.0,25300.0,49900,1843,299.0,123.0,176,203000.0,188500.0,14500,-,
06/09/2024,50012010,50012010,37050,39600,34500,190900,7039,1860,37200,37200,37200,36550,650,36873,37200,150.0,0.4,1149,1544,5500.0,14200.0,190900,7039,356.0,208.0,148,409000.0,321200.0,87800,-,
05/09/2024,50012010,50012010,37900,40550,35250,140300,5225,1853,37900,37050,37900,36850,1050,37242,37100,-850.0,-2.24,699,969,18600.0,12400.0,140300,5225,445.0,377.0,68,310900.0,365400.0,-54500,-,
04/09/2024,50012010,50012010,38000,40650,35350,161700,6059,1895,37400,37900,37950,37300,650,37471,37900,-100.0,-0.26,850,959,4600.0,40200.0,161700,6059,383.0,365.0,18,325700.0,349900.0,-24200,-,
30/08/2024,50012010,50012010,38150,40800,35500,74400,2836,1900,38150,38000,38700,38000,700,38118,38000,-150.0,-0.39,822,723,62900.0,3700.0,74400,2836,167.0,108.0,59,137300.0,78100.0,59200,-,
29/08/2024,50012010,50012010,38450,41100,35800,150400,5717,1908,38450,38150,38450,37900,550,38012,38200,-300.0,-0.78,676,1078,10400.0,3900.0,150400,5717,466.0,291.0,175,315000.0,313800.0,1200,-,
28/08/2024,50012010,50012010,38050,40700,35400,75100,2867,1923,38050,38450,38600,38000,600,38176,38500,400.0,1.05,1101,1181,1800.0,9300.0,75100,2867,241.0,226.0,15,265300.0,266800.0,-1500,-,
27/08/2024,50012010,50012010,38500,41150,35850,162700,6204,1903,38850,38050,38850,37900,950,38132,38100,-450.0,-1.17,915,1628,7300.0,10100.0,162700,6204,458.0,319.0,139,419000.0,519300.0,-100300,-,
26/08/2024,50012010,50012010,39300,42050,36550,189900,7406,1925,39550,38500,39550,38000,1550,38999,38500,-800.0,-2.04,757,1377,1800.0,8600.0,189900,7406,449.0,411.0,38,340100.0,565800.0,-225700,-,
23/08/2024,50012010,50012010,39800,42550,37050,103600,4085,1965,39900,39300,39900,39250,650,39431,39300,-500.0,-1.26,725,1335,16000.0,3000.0,103600,4085,370.0,324.0,46,268200.0,432500.0,-164300,-,
22/08/2024,50012010,50012010,39600,42350,36850,245500,9686,1990,40000,39800,40000,39200,800,39454,39800,200.0,0.51,1107,867,7100.0,11800.0,245500,9686,414.0,657.0,-243,458200.0,569500.0,-111300,-,
21/08/2024,50012010,50012010,39800,42550,37050,169100,6681,1980,39800,39600,39950,39350,600,39509,39600,-200.0,-0.5,929,1332,3400.0,22400.0,169100,6681,466.0,383.0,83,432800.0,510200.0,-77400,-,
20/08/2024,50012010,50012010,39750,42500,37000,209500,8334,1990,39750,39800,40800,39300,1500,39780,39800,50.0,0.13,1112,1090,7900.0,31100.0,209500,8334,501.0,639.0,-138,557300.0,696800.0,-139500,-,
19/08/2024,50012010,50012010,39350,42100,36600,175200,7022,1988,39400,39750,40900,39300,1600,40080,39800,400.0,1.02,1210,994,10900.0,6200.0,175200,7022,383.0,475.0,-92,463500.0,472100.0,-8600,-,
16/08/2024,50012010,50012010,38400,41050,35750,250100,9791,1968,38500,39350,39900,35750,4150,39148,39400,950.0,2.47,915,1158,14700.0,17900.0,250100,9791,709.0,550.0,159,648800.0,637100.0,11700,-,
15/08/2024,50012010,50012010,39400,42150,36650,125500,4830,1920,38950,38400,39000,38100,900,38486,38400,-1000.0,-2.54,485,555,3500.0,500.0,125500,4830,266.0,227.0,39,129000.0,126000.0,3000,-,
14/08/2024,50012010,50012010,39400,42150,36650,95300,3734,1970,39400,39400,39600,38600,1000,39182,39400,,,459,693,4200.0,21900.0,95300,3734,217.0,169.0,48,99500.0,117200.0,-17700,-,
13/08/2024,50012010,50012010,39400,42150,36650,137300,5345,1970,39350,39400,39400,38500,900,38929,39400,,,674,920,3500.0,21800.0,137300,5345,209.0,173.0,36,140800.0,159100.0,-18300,-,
12/08/2024,50012010,50012010,39150,41850,36450,134100,5228,1970,38700,39400,39400,38450,950,38986,39400,250.0,0.64,636,1075,3900.0,30400.0,134100,5228,217.0,153.0,64,138000.0,164500.0,-26500,-,
09/08/2024,50012010,50012010,39000,41700,36300,119200,4615,1958,39000,39150,39150,38250,900,38716,39200,150.0,0.38,296,564,3600.0,12200.0,119200,4615,415.0,233.0,182,122800.0,131400.0,-8600,-,
08/08/2024,50012010,50012010,39000,41700,36300,158700,6133,1950,38550,39000,39000,38050,950,38645,39000,,,687,808,26900.0,10100.0,158700,6133,270.0,209.0,61,185600.0,168800.0,16800,-,
07/08/2024,50012010,50012010,38300,40950,35650,99600,3837,1950,38000,39000,39000,37550,1450,38524,39000,700.0,1.83,529,481,4700.0,8200.0,99600,3837,197.0,224.0,-27,104300.0,107800.0,-3500,-,
06/08/2024,50012010,50012010,37200,39800,34600,207200,7858,1915,38200,38300,38800,37000,1800,37925,38300,1100.0,2.96,492,682,16800.0,15800.0,207200,7858,455.0,327.0,128,224000.0,223000.0,1000,-,
05/08/2024,50012010,50012010,38850,41550,36150,191900,7223,1860,37100,37200,39500,37000,2500,37639,37200,-1650.0,-4.25,551,698,9200.0,2200.0,191900,7223,365.0,278.0,87,201100.0,194100.0,7000,-,
02/08/2024,50012010,50012010,37650,40250,35050,379600,14492,1943,37000,38850,40250,36700,3550,38177,38900,1200.0,3.19,947,841,41900.0,30600.0,379600,14492,445.0,488.0,-43,421500.0,410200.0,11300,-,
01/08/2024,50012010,50012010,40450,43250,37650,564000,21570,1883,40000,37650,40000,37650,2350,38245,37700,-2800.0,-6.92,950,1181,83900.0,5400.0,564000,21570,682.0,482.0,200,647900.0,569400.0,78500,-,
31/07/2024,50012010,50012010,41600,44500,38700,279100,11256,2023,41500,40450,41500,39650,1850,40330,40500,-1150.0,-2.76,644,979,6400.0,76400.0,279100,11256,443.0,363.0,80,285500.0,355500.0,-70000,-,
30/07/2024,50012010,50012010,42000,44900,39100,325100,13237,2080,42350,41600,42350,39150,3200,40717,41600,-400.0,-0.95,639,715,8500.0,4000.0,325100,13237,522.0,460.0,62,333600.0,329100.0,4500,-,
