Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,2500000,2500000,30500,35000,26000,300,9.0,75,30000,30000,30000,30000,-,30000,30000,-500.0,-1.64,427,220,4400.0,800.0,300.0,9.0,11,5,6,4700.0,1100,3600,-,
26/09/2024,2500000,2500000,30500,35000,26000,-,,76,30500,30500,30500,30500,-,30500,30500,,,280,420,1400.0,2100.0,,,5,5,-,1400.0,2100,-700,-,
25/09/2024,2500000,2500000,30000,34500,25500,100,3.0,76,30500,30500,30500,30500,-,30500,30500,500.0,1.67,50,525,300.0,2000.0,100.0,3.0,8,4,4,400.0,2100,-1700,-,
24/09/2024,2500000,2500000,30000,34500,25500,-,,75,30000,30000,30000,30000,-,30000,30000,,,58,525,700.0,2100.0,,,12,4,8,700.0,2100,-1400,-,
23/09/2024,2500000,2500000,30000,34500,25500,-,,75,30000,30000,30000,30000,-,30000,30000,,,192,133,2300.0,400.0,,,12,3,9,2300.0,400,1900,-,
20/09/2024,2500000,2500000,30300,34800,25800,5700,171.0,75,30000,30000,30000,30000,-,30000,30000,-300.0,-0.99,345,1714,1900.0,6300.0,5700.0,171.0,22,7,15,7600.0,12000,-4400,-,
19/09/2024,2500000,2500000,30300,34800,25800,-,,76,30300,30300,30300,30300,-,30300,30300,,,457,175,3200.0,700.0,,,7,4,3,3200.0,700,2500,-,
18/09/2024,2500000,2500000,30000,34500,25500,100,3.0,76,30300,30300,30300,30300,-,30300,30300,300.0,1.0,533,133,3100.0,700.0,100.0,3.0,6,6,-,3200.0,800,2400,-,
17/09/2024,2500000,2500000,30000,34500,25500,-,,75,30000,30000,30000,30000,-,30000,30000,,,740,120,3700.0,600.0,,,5,5,-,3700.0,600,3100,-,
16/09/2024,2500000,2500000,30000,34500,25500,2400,72.0,75,30000,30000,30000,30000,-,30000,30000,,,429,517,3600.0,700.0,2400.0,72.0,14,6,8,6000.0,3100,2900,-,
13/09/2024,2500000,2500000,29900,34300,25500,600,18.0,75,30000,30000,30000,30000,-,30000,30000,100.0,0.33,450,4300,4800.0,12300.0,600.0,18.0,12,3,9,5400.0,12900,-7500,-,
12/09/2024,2500000,2500000,34800,40000,29600,600,18.0,75,30000,29800,30000,29800,200,29900,29800,-5000.0,-14.37,200,138,1000.0,500.0,600.0,18.0,8,8,-,1600.0,1100,500,-,
11/09/2024,2500000,2500000,34800,40000,29600,54,2.0,87,34800,34800,34800,34800,-,34800,34800,,,167,500,446.0,3446.0,54.0,2.0,3,7,-4,500.0,3500,-3000,-,
10/09/2024,2500000,2500000,34800,40000,29600,-,,87,34800,34800,34800,34800,-,34800,34800,,,400,600,400.0,3000.0,,,1,5,-4,400.0,3000,-2600,-,
09/09/2024,2500000,2500000,34800,40000,29600,-,,87,34800,34800,34800,34800,-,34800,34800,,,200,200,200.0,1200.0,,,1,6,-5,200.0,1200,-1000,-,
